seed,role,release,target,candidate_id,family,selected,independent_selected,selected_within_family,auc_selected,audit_budget,reused_reference,diagnostic_only,fit_rows,fit_support,fit_coverage_complete,epoch,optimizer_steps,validation_log_loss,checkpoint_selected,evidence_audit_budget,origin_metrics,origin_release,validation_auroc,validation_coverage_complete
0,transfer,E_F_W,same_residence,mlp,mlp,True,True,True,True,,False,False,2048,"[500,1548]",True,0,0,0.623713163233262,False,,results/redesign_20260908_acs_restricted_inputs_v1/E_F/seed_0/metrics.json,W,,
0,transfer,E_F_W,same_residence,mlp,mlp,True,True,True,True,,False,False,2048,"[500,1548]",True,5,40,0.540829391603639,False,,results/redesign_20260908_acs_restricted_inputs_v1/E_F/seed_0/metrics.json,W,,
0,transfer,E_F_W,same_residence,mlp,mlp,True,True,True,True,,False,False,2048,"[500,1548]",True,10,80,0.5268463221960533,False,,results/redesign_20260908_acs_restricted_inputs_v1/E_F/seed_0/metrics.json,W,,
0,transfer,E_F_W,same_residence,mlp,mlp,True,True,True,True,,False,False,2048,"[500,1548]",True,15,120,0.5217356058056677,False,,results/redesign_20260908_acs_restricted_inputs_v1/E_F/seed_0/metrics.json,W,,
0,transfer,E_F_W,same_residence,mlp,mlp,True,True,True,True,,False,False,2048,"[500,1548]",True,20,160,0.5196259845385788,False,,results/redesign_20260908_acs_restricted_inputs_v1/E_F/seed_0/metrics.json,W,,
0,transfer,E_F_W,same_residence,mlp,mlp,True,True,True,True,,False,False,2048,"[500,1548]",True,25,200,0.5176919155585995,False,,results/redesign_20260908_acs_restricted_inputs_v1/E_F/seed_0/metrics.json,W,,
0,transfer,E_F_W,same_residence,mlp,mlp,True,True,True,True,,False,False,2048,"[500,1548]",True,30,240,0.5169547011872511,True,,results/redesign_20260908_acs_restricted_inputs_v1/E_F/seed_0/metrics.json,W,,
0,transfer,E_F_W,same_residence,mlp,mlp,True,True,True,True,,False,False,2048,"[500,1548]",True,35,280,0.5193994345945215,False,,results/redesign_20260908_acs_restricted_inputs_v1/E_F/seed_0/metrics.json,W,,
0,transfer,E_F_W,same_residence,mlp,mlp,True,True,True,True,,False,False,2048,"[500,1548]",True,40,320,0.5199159271093594,False,,results/redesign_20260908_acs_restricted_inputs_v1/E_F/seed_0/metrics.json,W,,
0,transfer,E_F_W,commute_over20,mlp,mlp,True,True,True,False,,False,False,2048,"[997,1051]",True,0,0,0.6996082706837741,False,,results/redesign_20260908_acs_restricted_inputs_v1/E_F/seed_0/metrics.json,W,,
0,transfer,E_F_W,commute_over20,mlp,mlp,True,True,True,False,,False,False,2048,"[997,1051]",True,5,40,0.6862159034564713,False,,results/redesign_20260908_acs_restricted_inputs_v1/E_F/seed_0/metrics.json,W,,
0,transfer,E_F_W,commute_over20,mlp,mlp,True,True,True,False,,False,False,2048,"[997,1051]",True,10,80,0.6853073276674204,False,,results/redesign_20260908_acs_restricted_inputs_v1/E_F/seed_0/metrics.json,W,,
0,transfer,E_F_W,commute_over20,mlp,mlp,True,True,True,False,,False,False,2048,"[997,1051]",True,15,120,0.6833381840508113,True,,results/redesign_20260908_acs_restricted_inputs_v1/E_F/seed_0/metrics.json,W,,
0,transfer,E_F_W,commute_over20,mlp,mlp,True,True,True,False,,False,False,2048,"[997,1051]",True,20,160,0.6848581018089228,False,,results/redesign_20260908_acs_restricted_inputs_v1/E_F/seed_0/metrics.json,W,,
0,transfer,E_F_W,commute_over20,mlp,mlp,True,True,True,False,,False,False,2048,"[997,1051]",True,25,200,0.6847034217303254,False,,results/redesign_20260908_acs_restricted_inputs_v1/E_F/seed_0/metrics.json,W,,
0,transfer,E_F_W,commute_over20,mlp,mlp,True,True,True,False,,False,False,2048,"[997,1051]",True,30,240,0.6876206779808799,False,,results/redesign_20260908_acs_restricted_inputs_v1/E_F/seed_0/metrics.json,W,,
0,transfer,E_F_W,commute_over20,mlp,mlp,True,True,True,False,,False,False,2048,"[997,1051]",True,35,280,0.6888247414760227,False,,results/redesign_20260908_acs_restricted_inputs_v1/E_F/seed_0/metrics.json,W,,
0,transfer,E_F_W,commute_over20,mlp,mlp,True,True,True,False,,False,False,2048,"[997,1051]",True,40,320,0.6898298682877554,False,,results/redesign_20260908_acs_restricted_inputs_v1/E_F/seed_0/metrics.json,W,,
0,transfer,E_F_W,income_binary,mlp,mlp,False,False,True,False,,False,False,2048,"[1652,396]",True,0,0,0.7048216826254472,False,,results/redesign_20260908_acs_restricted_inputs_v1/E_F/seed_0/metrics.json,W,,
0,transfer,E_F_W,income_binary,mlp,mlp,False,False,True,False,,False,False,2048,"[1652,396]",True,5,40,0.417207857029398,False,,results/redesign_20260908_acs_restricted_inputs_v1/E_F/seed_0/metrics.json,W,,
0,transfer,E_F_W,income_binary,mlp,mlp,False,False,True,False,,False,False,2048,"[1652,396]",True,10,80,0.3276613958577749,False,,results/redesign_20260908_acs_restricted_inputs_v1/E_F/seed_0/metrics.json,W,,
