seed,role,release,target,candidate_id,family,selected,independent_selected,selected_within_family,auc_selected,audit_budget,reused_reference,diagnostic_only,fit_rows,fit_support,fit_coverage_complete,optimizer_steps,selected_epoch,selected_optimizer_steps,training_row_exposures,schedule_hash,initialization_seed,schedule_seed,restart_index,parameters,fit_runtime_seconds,warnings,fit_warnings,fallback_reason,initial_fidelity_exact,inherited_fit_pool,inherited_fit_rows,inherited_fit_coverage,inherited_common_warm_adversary_optimizer_steps,inherited_common_warm_adversary_row_exposures,inherited_continuation_adversary_optimizer_steps,inherited_continuation_adversary_row_exposures,inherited_total_optimizer_steps,inherited_total_row_exposures,inherited_total_row_passes_equivalent,inherited_total_known_label_exposures,inherited_continuation_schedule_hash,inherited_fit_raw_row_sha256,inherited_training_label_sha256,evidence_audit_budget,origin_metrics,origin_release
0,transfer,E_F_W,same_residence,logistic,logistic,False,False,True,False,,False,False,2048,"[500,1548]",True,24,,,,,,,,"{""C"":1.0,""max_iter"":500,""solver"":""lbfgs"",""tol"":0.0001}",0.005943041993305087,,[],,,,,,,,,,,,,,,,,,results/redesign_20260908_acs_restricted_inputs_v1/E_F/seed_0/metrics.json,W
0,transfer,E_F_W,same_residence,mlp,mlp,True,True,True,True,,False,False,2048,"[500,1548]",True,320,30,240,81920,ee8943e0edcf48411f3bceff950844d10bddb587d934cfe598206c2e39e4ebeb,1250000,1950000,,"{""hidden"":[64,32],""epochs"":40,""batch_size"":256,""lr"":0.001,""validation_interval"":5,""weight_decay"":0.0}",0.08578366599977016,,,,,,,,,,,,,,,,,,,,results/redesign_20260908_acs_restricted_inputs_v1/E_F/seed_0/metrics.json,W
0,transfer,E_F_W,commute_over20,logistic,logistic,False,False,True,True,,False,False,2048,"[997,1051]",True,45,,,,,,,,"{""C"":1.0,""max_iter"":500,""solver"":""lbfgs"",""tol"":0.0001}",0.004266125033609569,,[],,,,,,,,,,,,,,,,,,results/redesign_20260908_acs_restricted_inputs_v1/E_F/seed_0/metrics.json,W
0,transfer,E_F_W,commute_over20,mlp,mlp,True,True,True,False,,False,False,2048,"[997,1051]",True,320,15,120,81920,8805fac2d66d18ece39f39efbe46665308c5377a171fac16e4fc1d57a4cc355c,1250001,1950001,,"{""hidden"":[64,32],""epochs"":40,""batch_size"":256,""lr"":0.001,""validation_interval"":5,""weight_decay"":0.0}",0.07976258301641792,,,,,,,,,,,,,,,,,,,,results/redesign_20260908_acs_restricted_inputs_v1/E_F/seed_0/metrics.json,W
0,transfer,E_F_W,income_binary,logistic,logistic,True,True,True,True,,False,False,2048,"[1652,396]",True,26,,,,,,,,"{""C"":1.0,""max_iter"":500,""solver"":""lbfgs"",""tol"":0.0001}",0.003588375053368509,,[],,,,,,,,,,,,,,,,,,results/redesign_20260908_acs_restricted_inputs_v1/E_F/seed_0/metrics.json,W
0,transfer,E_F_W,income_binary,mlp,mlp,False,False,True,False,,False,False,2048,"[1652,396]",True,320,35,280,81920,d0246d72e4afef6aed82b4e92294b78ac1a27b6cf348120b32689bf0fff4986e,1250002,1950002,,"{""hidden"":[64,32],""epochs"":40,""batch_size"":256,""lr"":0.001,""validation_interval"":5,""weight_decay"":0.0}",0.08688762504607439,,,,,,,,,,,,,,,,,,,,results/redesign_20260908_acs_restricted_inputs_v1/E_F/seed_0/metrics.json,W
0,transfer,E_F_W,civilian_at_work,logistic,logistic,True,True,True,True,,False,False,2048,"[665,1383]",True,27,,,,,,,,"{""C"":1.0,""max_iter"":500,""solver"":""lbfgs"",""tol"":0.0001}",0.0035882910015061498,,[],,,,,,,,,,,,,,,,,,results/redesign_20260908_acs_restricted_inputs_v1/E_F/seed_0/metrics.json,W
0,transfer,E_F_W,civilian_at_work,mlp,mlp,False,False,True,False,,False,False,2048,"[665,1383]",True,320,25,200,81920,c3edb72c9dc0b01d3bce341c953834c87a3758e43c71ce432f1e36c95017a8ba,1250003,1950003,,"{""hidden"":[64,32],""epochs"":40,""batch_size"":256,""lr"":0.001,""validation_interval"":5,""weight_decay"":0.0}",0.08353274990804493,,,,,,,,,,,,,,,,,,,,results/redesign_20260908_acs_restricted_inputs_v1/E_F/seed_0/metrics.json,W
0,transfer,E_F_W,public_coverage,logistic,logistic,True,True,True,True,,False,False,2048,"[1531,517]",True,29,,,,,,,,"{""C"":1.0,""max_iter"":500,""solver"":""lbfgs"",""tol"":0.0001}",0.003676542080938816,,[],,,,,,,,,,,,,,,,,,results/redesign_20260908_acs_restricted_inputs_v1/E_F/seed_0/metrics.json,W
0,transfer,E_F_W,public_coverage,mlp,mlp,False,False,True,False,,False,False,2048,"[1531,517]",True,320,25,200,81920,bc25b611873303f1cd65073a1c59a4016c970a12ca7d98a6b4d830db56209a35,1250004,1950004,,"{""hidden"":[64,32],""epochs"":40,""batch_size"":256,""lr"":0.001,""validation_interval"":5,""weight_decay"":0.0}",0.08324112498667091,,,,,,,,,,,,,,,,,,,,results/redesign_20260908_acs_restricted_inputs_v1/E_F/seed_0/metrics.json,W
