comparison,left,right,role,target,audit_budget,selector,split,n_seeds,n_defined,complete,mean,sample_sd,per_seed
K_minus_F,E_K_C,E_F_C,transfer,same_residence,,primary,validation,3,3,True,0.0010840715496510667,0.002474728565487608,"{""0"":0.0027915117321125615,""1"":-0.0017540294249605015,""2"":0.00221473234180114}"
K_minus_F,E_K_C,E_F_C,transfer,same_residence,,primary,development_evaluation,3,3,True,0.0015826930426954267,0.001756893440260738,"{""0"":0.000863612634160793,""1"":0.0035850561482450027,""2"":0.0002994103456804842}"
K_minus_F,E_K_C,E_F_C,transfer,same_residence,,primary,validation_person_weighted,3,3,True,0.0006610239281085543,0.0017832708472641562,"{""0"":0.0017921050600614996,""1"":-0.0013946664690618338,""2"":0.001585633193325997}"
K_minus_F,E_K_C,E_F_C,transfer,same_residence,,primary,development_evaluation_person_weighted,3,3,True,0.001620692942504054,0.002128454536603154,"{""0"":0.0004428735634346981,""1"":0.0040777233045604655,""2"":0.0003414819595169982}"
K_minus_F,E_K_C,E_F_C,transfer,commute_over20,,primary,validation,3,3,True,0.0014805675375506588,0.001375107006387998,"{""0"":0.003068404263696478,""1"":0.0006862280518632469,""2"":0.0006870702970922515}"
K_minus_F,E_K_C,E_F_C,transfer,commute_over20,,primary,development_evaluation,3,3,True,0.002135565801437589,0.0039493564671023605,"{""0"":0.004269676030989489,""1"":0.004558725099893968,""2"":-0.0024217037265706898}"
K_minus_F,E_K_C,E_F_C,transfer,commute_over20,,primary,validation_person_weighted,3,3,True,0.002474038636259205,0.00259885304852008,"{""0"":0.005436354212210226,""1"":0.0005774870722583536,""2"":0.001408274624309036}"
K_minus_F,E_K_C,E_F_C,transfer,commute_over20,,primary,development_evaluation_person_weighted,3,3,True,0.0021263118539516976,0.004193801192495084,"{""0"":0.005406287417278999,""1"":0.0035716585225794573,""2"":-0.0025990103780033635}"
K_minus_F,E_K_C,E_F_C,transfer,income_binary,,primary,validation,3,3,True,0.02830311639990289,0.01369514942650427,"{""0"":0.04227035395054579,""1"":0.02774167203962291,""2"":0.014897323209539959}"
K_minus_F,E_K_C,E_F_C,transfer,income_binary,,primary,development_evaluation,3,3,True,0.029290690602458758,0.012666404058749301,"{""0"":0.032078112778361534,""1"":0.04033122657612975,""2"":0.015462732452884986}"
K_minus_F,E_K_C,E_F_C,transfer,income_binary,,primary,validation_person_weighted,3,3,True,0.024643447272316432,0.010252111033426962,"{""0"":0.035712617239372524,""1"":0.022743540792044548,""2"":0.015474183785532225}"
K_minus_F,E_K_C,E_F_C,transfer,income_binary,,primary,development_evaluation_person_weighted,3,3,True,0.0291309310213137,0.012756868146420202,"{""0"":0.028198602678776108,""1"":0.04232838569281955,""2"":0.016865804692345443}"
K_minus_F,E_K_C,E_F_C,transfer,civilian_at_work,,primary,validation,3,3,True,0.06559863907096286,0.03144913062828694,"{""0"":0.09648599454357576,""1"":0.06669359099997008,""2"":0.03361633166934275}"
K_minus_F,E_K_C,E_F_C,transfer,civilian_at_work,,primary,development_evaluation,3,3,True,0.06422250806670526,0.03644848159735319,"{""0"":0.10250608406484912,""1"":0.06022230741336271,""2"":0.02993913272190396}"
K_minus_F,E_K_C,E_F_C,transfer,civilian_at_work,,primary,validation_person_weighted,3,3,True,0.06109093982726891,0.030719938165258948,"{""0"":0.09519514682336411,""1"":0.05248820907238705,""2"":0.03558946358605558}"
K_minus_F,E_K_C,E_F_C,transfer,civilian_at_work,,primary,development_evaluation_person_weighted,3,3,True,0.06212305232586135,0.03616041610949311,"{""0"":0.10214653830688691,""1"":0.05241500385026293,""2"":0.031807614820434205}"
K_minus_F,E_K_C,E_F_C,transfer,public_coverage,,primary,validation,3,3,True,0.017685151231888463,0.014305671215181653,"{""0"":0.022394411396515157,""1"":0.029042537064212615,""2"":0.0016185052349376172}"
K_minus_F,E_K_C,E_F_C,transfer,public_coverage,,primary,development_evaluation,3,3,True,0.014319044367518796,0.005716553015467547,"{""0"":0.018683228319463785,""1"":0.016425821963337972,""2"":0.007848082819754632}"
K_minus_F,E_K_C,E_F_C,transfer,public_coverage,,primary,validation_person_weighted,3,3,True,0.01839843088669076,0.012963683766255516,"{""0"":0.018804348639183788,""1"":0.031154388627011198,""2"":0.005236555393877296}"
K_minus_F,E_K_C,E_F_C,transfer,public_coverage,,primary,development_evaluation_person_weighted,3,3,True,0.011669349745317062,0.004465313304704143,"{""0"":0.01277352075113214,""1"":0.015478987262227017,""2"":0.006755541222592032}"
K_minus_F,E_K_C,E_F_C,audit,SEX,120,primary,validation,3,3,True,0.0053030810382984255,0.004830152872177944,"{""0"":0.00935908049088685,""1"":0.006590504075251857,""2"":-4.0341451243430804e-05}"
K_minus_F,E_K_C,E_F_C,audit,SEX,120,primary,development_evaluation,3,3,True,0.006529192792420628,0.0005955261014194195,"{""0"":0.005998949766313655,""1"":0.007173501709564101,""2"":0.006415126901384127}"
K_minus_F,E_K_C,E_F_C,audit,SEX,120,primary,validation_person_weighted,3,3,True,0.006910952984064411,0.005151071795727584,"{""0"":0.011970241937567239,""1"":0.007089857400809918,""2"":0.0016727596138160772}"
K_minus_F,E_K_C,E_F_C,audit,SEX,120,primary,development_evaluation_person_weighted,3,3,True,0.007341373135717477,0.0009704044121322205,"{""0"":0.006633489422102179,""1"":0.006943078188663243,""2"":0.00844755179638701}"
K_minus_F,E_K_C,E_F_C,audit,RAC1P,120,primary,validation,3,3,True,0.0032831435301407343,0.004965673333301971,"{""0"":0.007895977581320102,""1"":0.003926172751777202,""2"":-0.0019727197426750998}"
K_minus_F,E_K_C,E_F_C,audit,RAC1P,120,primary,development_evaluation,3,3,True,0.004891322842447347,0.005606934813044637,"{""0"":0.003969070761254967,""1"":0.010902206204024711,""2"":-0.00019730843793763775}"
K_minus_F,E_K_C,E_F_C,audit,RAC1P,120,primary,validation_person_weighted,3,3,True,0.004092558251447498,0.0021201223667228937,"{""0"":0.006445900356628842,""1"":0.003500057167157289,""2"":0.0023317172305563627}"
K_minus_F,E_K_C,E_F_C,audit,RAC1P,120,primary,development_evaluation_person_weighted,3,3,True,0.0049270653626358,0.00875068982262581,"{""0"":0.0008251576569118235,""1"":0.01497522730658174,""2"":-0.0010191888755861633}"
K_minus_F,E_K_C,E_F_C,audit,SEX,120,pooled,validation,3,3,True,0.004496257443251883,0.008997599173254748,"{""0"":0.01485907625457561,""1"":-0.0013299624735765292,""2"":-4.0341451243430804e-05}"
K_minus_F,E_K_C,E_F_C,audit,SEX,120,pooled,development_evaluation,3,3,True,0.005476643168288368,0.003374673032682192,"{""0"":0.008282741633606538,""1"":0.0017320609698744382,""2"":0.006415126901384127}"
K_minus_F,E_K_C,E_F_C,audit,SEX,120,pooled,validation_person_weighted,3,3,True,0.0038262317580007865,0.01044596854064085,"{""0"":0.01518110856882715,""1"":-0.005375172908640868,""2"":0.0016727596138160772}"
K_minus_F,E_K_C,E_F_C,audit,SEX,120,pooled,development_evaluation_person_weighted,3,3,True,0.008385971971531977,0.0012534796348569177,"{""0"":0.009607526715690318,""1"":0.0071028374025186025,""2"":0.00844755179638701}"
