seed,release,role,target,selector,split,log_loss,prior_relative_gain,candidate,evidence_audit_budget
0,E_direct,transfer,same_residence,primary,validation,0.5203507923983103,,mlp,
0,E_direct,transfer,same_residence,primary,development_evaluation,0.5062425530673161,,mlp,
0,E_direct,transfer,same_residence,primary,validation_person_weighted,0.48877910493447874,,mlp,
0,E_direct,transfer,same_residence,primary,development_evaluation_person_weighted,0.49221860088303276,,mlp,
0,E_direct,transfer,commute_over20,primary,validation,0.6904241368577224,,mlp,
0,E_direct,transfer,commute_over20,primary,development_evaluation,0.6917552423468185,,mlp,
0,E_direct,transfer,commute_over20,primary,validation_person_weighted,0.6906307780117733,,mlp,
0,E_direct,transfer,commute_over20,primary,development_evaluation_person_weighted,0.692605006125834,,mlp,
0,E_direct,transfer,income_binary,primary,validation,0.36182154794021876,,mlp,
0,E_direct,transfer,income_binary,primary,development_evaluation,0.35843763570156006,,mlp,
0,E_direct,transfer,income_binary,primary,validation_person_weighted,0.3441570528198044,,mlp,
0,E_direct,transfer,income_binary,primary,development_evaluation_person_weighted,0.3717116285202458,,mlp,
0,E_direct,transfer,civilian_at_work,primary,validation,0.4976715494559405,,mlp,
0,E_direct,transfer,civilian_at_work,primary,development_evaluation,0.4761251929074017,,mlp,
0,E_direct,transfer,civilian_at_work,primary,validation_person_weighted,0.5047474112308443,,mlp,
0,E_direct,transfer,civilian_at_work,primary,development_evaluation_person_weighted,0.4626186717459945,,mlp,
0,E_direct,transfer,public_coverage,primary,validation,0.5231717059315278,,mlp,
0,E_direct,transfer,public_coverage,primary,development_evaluation,0.5546175353142732,,mlp,
0,E_direct,transfer,public_coverage,primary,validation_person_weighted,0.5359361466216791,,mlp,
0,E_direct,transfer,public_coverage,primary,development_evaluation_person_weighted,0.5580593891899894,,mlp,
0,E_direct,audit,SEX,primary,validation,0.6843966574854639,0.008467730583694988,mlp_0,360
0,E_direct,audit,SEX,primary,development_evaluation,0.6871420417380362,0.005760190531542864,mlp_0,360
0,E_direct,audit,SEX,primary,validation_person_weighted,0.6830608349500343,0.009429288393300927,mlp_0,360
0,E_direct,audit,SEX,primary,development_evaluation_person_weighted,0.6897453833588074,0.0030386229890594363,mlp_0,360
0,E_direct,audit,RAC1P,primary,validation,1.257905641258475,0.01910401850030574,mlp_0,360
0,E_direct,audit,RAC1P,primary,development_evaluation,1.2355778240932,0.051650489151382484,mlp_0,360
0,E_direct,audit,RAC1P,primary,validation_person_weighted,1.2653409244897802,0.02016068239028468,mlp_0,360
0,E_direct,audit,RAC1P,primary,development_evaluation_person_weighted,1.2195680963219246,0.04139205029506221,mlp_0,360
0,E_direct,audit,SEX,pooled,validation,0.6843966574854639,0.008467730583694988,mlp_0,360
0,E_direct,audit,SEX,pooled,development_evaluation,0.6871420417380362,0.005760190531542864,mlp_0,360
0,E_direct,audit,SEX,pooled,validation_person_weighted,0.6830608349500343,0.009429288393300927,mlp_0,360
0,E_direct,audit,SEX,pooled,development_evaluation_person_weighted,0.6897453833588074,0.0030386229890594363,mlp_0,360
0,E_direct,audit,RAC1P,pooled,validation,1.257905641258475,0.01910401850030574,mlp_0,360
0,E_direct,audit,RAC1P,pooled,development_evaluation,1.2355778240932,0.051650489151382484,mlp_0,360
0,E_direct,audit,RAC1P,pooled,validation_person_weighted,1.2653409244897802,0.02016068239028468,mlp_0,360
0,E_direct,audit,RAC1P,pooled,development_evaluation_person_weighted,1.2195680963219246,0.04139205029506221,mlp_0,360
1,E_direct,transfer,same_residence,primary,validation,0.5064611522906083,,logistic,
1,E_direct,transfer,same_residence,primary,development_evaluation,0.5102995582754515,,logistic,
1,E_direct,transfer,same_residence,primary,validation_person_weighted,0.48480254923927124,,logistic,
1,E_direct,transfer,same_residence,primary,development_evaluation_person_weighted,0.4857146569926202,,logistic,
1,E_direct,transfer,commute_over20,primary,validation,0.683581491977486,,mlp,
1,E_direct,transfer,commute_over20,primary,development_evaluation,0.6860699628523571,,mlp,
1,E_direct,transfer,commute_over20,primary,validation_person_weighted,0.6793853404390032,,mlp,
1,E_direct,transfer,commute_over20,primary,development_evaluation_person_weighted,0.6874666229638202,,mlp,
1,E_direct,transfer,income_binary,primary,validation,0.3905704078286586,,mlp,
1,E_direct,transfer,income_binary,primary,development_evaluation,0.3732613728927019,,mlp,
1,E_direct,transfer,income_binary,primary,validation_person_weighted,0.38704383899054556,,mlp,
1,E_direct,transfer,income_binary,primary,development_evaluation_person_weighted,0.3874881271671845,,mlp,
1,E_direct,transfer,civilian_at_work,primary,validation,0.4064029464518591,,mlp,
1,E_direct,transfer,civilian_at_work,primary,development_evaluation,0.3692321077071426,,mlp,
1,E_direct,transfer,civilian_at_work,primary,validation_person_weighted,0.39606905874534754,,mlp,
1,E_direct,transfer,civilian_at_work,primary,development_evaluation_person_weighted,0.3516816253641852,,mlp,
