case,q1,q2,bound,coalition_accuracy,exact_equality
disjoint/q1=0/q2=0,0,0,1,1,True
disjoint/q1=0/q2=1/8,0,1/8,7/8,7/8,True
disjoint/q1=0/q2=1/4,0,1/4,3/4,3/4,True
disjoint/q1=0/q2=3/8,0,3/8,5/8,5/8,True
disjoint/q1=0/q2=1/2,0,1/2,1/2,1/2,True
disjoint/q1=1/8/q2=0,1/8,0,7/8,7/8,True
disjoint/q1=1/8/q2=1/8,1/8,1/8,3/4,3/4,True
disjoint/q1=1/8/q2=1/4,1/8,1/4,5/8,5/8,True
disjoint/q1=1/8/q2=3/8,1/8,3/8,1/2,1/2,True
disjoint/q1=1/4/q2=0,1/4,0,3/4,3/4,True
disjoint/q1=1/4/q2=1/8,1/4,1/8,5/8,5/8,True
disjoint/q1=1/4/q2=1/4,1/4,1/4,1/2,1/2,True
disjoint/q1=3/8/q2=0,3/8,0,5/8,5/8,True
disjoint/q1=3/8/q2=1/8,3/8,1/8,1/2,1/2,True
disjoint/q1=1/2/q2=0,1/2,0,1/2,1/2,True
