case,S,history,probability,numerator,denominator
independent/fresh/k1,-1,--,3/32,3,32
independent/fresh/k1,-1,-+,5/32,5,32
independent/fresh/k1,-1,+-,5/32,5,32
independent/fresh/k1,-1,++,3/32,3,32
independent/fresh/k1,1,--,5/32,5,32
independent/fresh/k1,1,-+,3/32,3,32
independent/fresh/k1,1,+-,3/32,3,32
independent/fresh/k1,1,++,5/32,5,32
independent/fresh/k2,-1,--/--,9/512,9,512
independent/fresh/k2,-1,--/-+,15/512,15,512
independent/fresh/k2,-1,--/+-,15/512,15,512
independent/fresh/k2,-1,--/++,9/512,9,512
independent/fresh/k2,-1,-+/--,15/512,15,512
independent/fresh/k2,-1,-+/-+,41/512,41,512
independent/fresh/k2,-1,-+/+-,9/512,9,512
independent/fresh/k2,-1,-+/++,15/512,15,512
independent/fresh/k2,-1,+-/--,15/512,15,512
independent/fresh/k2,-1,+-/-+,9/512,9,512
independent/fresh/k2,-1,+-/+-,41/512,41,512
independent/fresh/k2,-1,+-/++,15/512,15,512
independent/fresh/k2,-1,++/--,9/512,9,512
independent/fresh/k2,-1,++/-+,15/512,15,512
independent/fresh/k2,-1,++/+-,15/512,15,512
independent/fresh/k2,-1,++/++,9/512,9,512
independent/fresh/k2,1,--/--,41/512,41,512
independent/fresh/k2,1,--/-+,15/512,15,512
independent/fresh/k2,1,--/+-,15/512,15,512
independent/fresh/k2,1,--/++,9/512,9,512
independent/fresh/k2,1,-+/--,15/512,15,512
independent/fresh/k2,1,-+/-+,9/512,9,512
independent/fresh/k2,1,-+/+-,9/512,9,512
independent/fresh/k2,1,-+/++,15/512,15,512
independent/fresh/k2,1,+-/--,15/512,15,512
independent/fresh/k2,1,+-/-+,9/512,9,512
independent/fresh/k2,1,+-/+-,9/512,9,512
independent/fresh/k2,1,+-/++,15/512,15,512
independent/fresh/k2,1,++/--,9/512,9,512
independent/fresh/k2,1,++/-+,15/512,15,512
independent/fresh/k2,1,++/+-,15/512,15,512
independent/fresh/k2,1,++/++,41/512,41,512
independent/fresh/k4,-1,--/--/--/--,81/131072,81,131072
independent/fresh/k4,-1,--/--/--/-+,135/131072,135,131072
independent/fresh/k4,-1,--/--/--/+-,135/131072,135,131072
independent/fresh/k4,-1,--/--/--/++,81/131072,81,131072
independent/fresh/k4,-1,--/--/-+/--,135/131072,135,131072
independent/fresh/k4,-1,--/--/-+/-+,369/131072,369,131072
independent/fresh/k4,-1,--/--/-+/+-,81/131072,81,131072
independent/fresh/k4,-1,--/--/-+/++,135/131072,135,131072
independent/fresh/k4,-1,--/--/+-/--,135/131072,135,131072
independent/fresh/k4,-1,--/--/+-/-+,81/131072,81,131072
independent/fresh/k4,-1,--/--/+-/+-,369/131072,369,131072
independent/fresh/k4,-1,--/--/+-/++,135/131072,135,131072
independent/fresh/k4,-1,--/--/++/--,81/131072,81,131072
independent/fresh/k4,-1,--/--/++/-+,135/131072,135,131072
independent/fresh/k4,-1,--/--/++/+-,135/131072,135,131072
independent/fresh/k4,-1,--/--/++/++,81/131072,81,131072
independent/fresh/k4,-1,--/-+/--/--,135/131072,135,131072
independent/fresh/k4,-1,--/-+/--/-+,369/131072,369,131072
independent/fresh/k4,-1,--/-+/--/+-,81/131072,81,131072
independent/fresh/k4,-1,--/-+/--/++,135/131072,135,131072
independent/fresh/k4,-1,--/-+/-+/--,369/131072,369,131072
independent/fresh/k4,-1,--/-+/-+/-+,1095/131072,1095,131072
independent/fresh/k4,-1,--/-+/-+/+-,135/131072,135,131072
independent/fresh/k4,-1,--/-+/-+/++,369/131072,369,131072
independent/fresh/k4,-1,--/-+/+-/--,81/131072,81,131072
independent/fresh/k4,-1,--/-+/+-/-+,135/131072,135,131072
independent/fresh/k4,-1,--/-+/+-/+-,135/131072,135,131072
independent/fresh/k4,-1,--/-+/+-/++,81/131072,81,131072
independent/fresh/k4,-1,--/-+/++/--,135/131072,135,131072
independent/fresh/k4,-1,--/-+/++/-+,369/131072,369,131072
independent/fresh/k4,-1,--/-+/++/+-,81/131072,81,131072
independent/fresh/k4,-1,--/-+/++/++,135/131072,135,131072
independent/fresh/k4,-1,--/+-/--/--,135/131072,135,131072
independent/fresh/k4,-1,--/+-/--/-+,81/131072,81,131072
independent/fresh/k4,-1,--/+-/--/+-,369/131072,369,131072
independent/fresh/k4,-1,--/+-/--/++,135/131072,135,131072
independent/fresh/k4,-1,--/+-/-+/--,81/131072,81,131072
independent/fresh/k4,-1,--/+-/-+/-+,135/131072,135,131072
independent/fresh/k4,-1,--/+-/-+/+-,135/131072,135,131072
independent/fresh/k4,-1,--/+-/-+/++,81/131072,81,131072
independent/fresh/k4,-1,--/+-/+-/--,369/131072,369,131072
independent/fresh/k4,-1,--/+-/+-/-+,135/131072,135,131072
independent/fresh/k4,-1,--/+-/+-/+-,1095/131072,1095,131072
independent/fresh/k4,-1,--/+-/+-/++,369/131072,369,131072
independent/fresh/k4,-1,--/+-/++/--,135/131072,135,131072
independent/fresh/k4,-1,--/+-/++/-+,81/131072,81,131072
independent/fresh/k4,-1,--/+-/++/+-,369/131072,369,131072
independent/fresh/k4,-1,--/+-/++/++,135/131072,135,131072
independent/fresh/k4,-1,--/++/--/--,81/131072,81,131072
independent/fresh/k4,-1,--/++/--/-+,135/131072,135,131072
independent/fresh/k4,-1,--/++/--/+-,135/131072,135,131072
