case,counts_order,counts,ordered_history_multiplicity,P_Sminus_one_history,P_Splus_one_history,bayes_accuracy_contribution
independent/fresh/k1,"--,-+,+-,++","[0, 0, 0, 1]",1,3/32,5/32,5/32
independent/fresh/k1,"--,-+,+-,++","[0, 0, 1, 0]",1,5/32,3/32,5/32
independent/fresh/k1,"--,-+,+-,++","[0, 1, 0, 0]",1,5/32,3/32,5/32
independent/fresh/k1,"--,-+,+-,++","[1, 0, 0, 0]",1,3/32,5/32,5/32
independent/fresh/k2,"--,-+,+-,++","[0, 0, 0, 2]",1,9/512,41/512,41/512
independent/fresh/k2,"--,-+,+-,++","[0, 0, 1, 1]",2,15/512,15/512,15/256
independent/fresh/k2,"--,-+,+-,++","[0, 0, 2, 0]",1,41/512,9/512,41/512
independent/fresh/k2,"--,-+,+-,++","[0, 1, 0, 1]",2,15/512,15/512,15/256
independent/fresh/k2,"--,-+,+-,++","[0, 1, 1, 0]",2,9/512,9/512,9/256
independent/fresh/k2,"--,-+,+-,++","[0, 2, 0, 0]",1,41/512,9/512,41/512
independent/fresh/k2,"--,-+,+-,++","[1, 0, 0, 1]",2,9/512,9/512,9/256
independent/fresh/k2,"--,-+,+-,++","[1, 0, 1, 0]",2,15/512,15/512,15/256
independent/fresh/k2,"--,-+,+-,++","[1, 1, 0, 0]",2,15/512,15/512,15/256
independent/fresh/k2,"--,-+,+-,++","[2, 0, 0, 0]",1,9/512,41/512,41/512
independent/fresh/k4,"--,-+,+-,++","[0, 0, 0, 4]",1,81/131072,3281/131072,3281/131072
independent/fresh/k4,"--,-+,+-,++","[0, 0, 1, 3]",4,135/131072,1095/131072,1095/32768
independent/fresh/k4,"--,-+,+-,++","[0, 0, 2, 2]",6,369/131072,369/131072,1107/65536
independent/fresh/k4,"--,-+,+-,++","[0, 0, 3, 1]",4,1095/131072,135/131072,1095/32768
independent/fresh/k4,"--,-+,+-,++","[0, 0, 4, 0]",1,3281/131072,81/131072,3281/131072
independent/fresh/k4,"--,-+,+-,++","[0, 1, 0, 3]",4,135/131072,1095/131072,1095/32768
independent/fresh/k4,"--,-+,+-,++","[0, 1, 1, 2]",12,81/131072,369/131072,1107/32768
independent/fresh/k4,"--,-+,+-,++","[0, 1, 2, 1]",12,135/131072,135/131072,405/32768
independent/fresh/k4,"--,-+,+-,++","[0, 1, 3, 0]",4,369/131072,81/131072,369/32768
independent/fresh/k4,"--,-+,+-,++","[0, 2, 0, 2]",6,369/131072,369/131072,1107/65536
independent/fresh/k4,"--,-+,+-,++","[0, 2, 1, 1]",12,135/131072,135/131072,405/32768
independent/fresh/k4,"--,-+,+-,++","[0, 2, 2, 0]",6,81/131072,81/131072,243/65536
independent/fresh/k4,"--,-+,+-,++","[0, 3, 0, 1]",4,1095/131072,135/131072,1095/32768
independent/fresh/k4,"--,-+,+-,++","[0, 3, 1, 0]",4,369/131072,81/131072,369/32768
independent/fresh/k4,"--,-+,+-,++","[0, 4, 0, 0]",1,3281/131072,81/131072,3281/131072
independent/fresh/k4,"--,-+,+-,++","[1, 0, 0, 3]",4,81/131072,369/131072,369/32768
independent/fresh/k4,"--,-+,+-,++","[1, 0, 1, 2]",12,135/131072,135/131072,405/32768
independent/fresh/k4,"--,-+,+-,++","[1, 0, 2, 1]",12,369/131072,81/131072,1107/32768
independent/fresh/k4,"--,-+,+-,++","[1, 0, 3, 0]",4,1095/131072,135/131072,1095/32768
independent/fresh/k4,"--,-+,+-,++","[1, 1, 0, 2]",12,135/131072,135/131072,405/32768
independent/fresh/k4,"--,-+,+-,++","[1, 1, 1, 1]",24,81/131072,81/131072,243/16384
independent/fresh/k4,"--,-+,+-,++","[1, 1, 2, 0]",12,135/131072,135/131072,405/32768
independent/fresh/k4,"--,-+,+-,++","[1, 2, 0, 1]",12,369/131072,81/131072,1107/32768
independent/fresh/k4,"--,-+,+-,++","[1, 2, 1, 0]",12,135/131072,135/131072,405/32768
independent/fresh/k4,"--,-+,+-,++","[1, 3, 0, 0]",4,1095/131072,135/131072,1095/32768
independent/fresh/k4,"--,-+,+-,++","[2, 0, 0, 2]",6,81/131072,81/131072,243/65536
independent/fresh/k4,"--,-+,+-,++","[2, 0, 1, 1]",12,135/131072,135/131072,405/32768
independent/fresh/k4,"--,-+,+-,++","[2, 0, 2, 0]",6,369/131072,369/131072,1107/65536
independent/fresh/k4,"--,-+,+-,++","[2, 1, 0, 1]",12,135/131072,135/131072,405/32768
independent/fresh/k4,"--,-+,+-,++","[2, 1, 1, 0]",12,81/131072,369/131072,1107/32768
independent/fresh/k4,"--,-+,+-,++","[2, 2, 0, 0]",6,369/131072,369/131072,1107/65536
independent/fresh/k4,"--,-+,+-,++","[3, 0, 0, 1]",4,81/131072,369/131072,369/32768
independent/fresh/k4,"--,-+,+-,++","[3, 0, 1, 0]",4,135/131072,1095/131072,1095/32768
independent/fresh/k4,"--,-+,+-,++","[3, 1, 0, 0]",4,135/131072,1095/131072,1095/32768
independent/fresh/k4,"--,-+,+-,++","[4, 0, 0, 0]",1,81/131072,3281/131072,3281/131072
coordinated/fresh/k1,"--,-+,+-,++","[0, 0, 0, 1]",1,1/8,1/8,1/8
coordinated/fresh/k1,"--,-+,+-,++","[0, 0, 1, 0]",1,1/8,1/8,1/8
coordinated/fresh/k1,"--,-+,+-,++","[0, 1, 0, 0]",1,1/8,1/8,1/8
coordinated/fresh/k1,"--,-+,+-,++","[1, 0, 0, 0]",1,1/8,1/8,1/8
coordinated/fresh/k2,"--,-+,+-,++","[0, 0, 0, 2]",1,1/32,1/16,1/16
coordinated/fresh/k2,"--,-+,+-,++","[0, 0, 1, 1]",2,1/32,1/32,1/16
coordinated/fresh/k2,"--,-+,+-,++","[0, 0, 2, 0]",1,1/16,1/32,1/16
coordinated/fresh/k2,"--,-+,+-,++","[0, 1, 0, 1]",2,1/32,1/32,1/16
coordinated/fresh/k2,"--,-+,+-,++","[0, 1, 1, 0]",2,0,1/32,1/16
coordinated/fresh/k2,"--,-+,+-,++","[0, 2, 0, 0]",1,1/16,1/32,1/16
coordinated/fresh/k2,"--,-+,+-,++","[1, 0, 0, 1]",2,1/32,0,1/16
coordinated/fresh/k2,"--,-+,+-,++","[1, 0, 1, 0]",2,1/32,1/32,1/16
coordinated/fresh/k2,"--,-+,+-,++","[1, 1, 0, 0]",2,1/32,1/32,1/16
coordinated/fresh/k2,"--,-+,+-,++","[2, 0, 0, 0]",1,1/32,1/16,1/16
coordinated/fresh/k4,"--,-+,+-,++","[0, 0, 0, 4]",1,1/512,1/64,1/64
coordinated/fresh/k4,"--,-+,+-,++","[0, 0, 1, 3]",4,1/512,1/128,1/32
coordinated/fresh/k4,"--,-+,+-,++","[0, 0, 2, 2]",6,1/256,1/256,3/128
coordinated/fresh/k4,"--,-+,+-,++","[0, 0, 3, 1]",4,1/128,1/512,1/32
coordinated/fresh/k4,"--,-+,+-,++","[0, 0, 4, 0]",1,1/64,1/512,1/64
coordinated/fresh/k4,"--,-+,+-,++","[0, 1, 0, 3]",4,1/512,1/128,1/32
coordinated/fresh/k4,"--,-+,+-,++","[0, 1, 1, 2]",12,0,1/256,3/64
coordinated/fresh/k4,"--,-+,+-,++","[0, 1, 2, 1]",12,0,1/512,3/128
coordinated/fresh/k4,"--,-+,+-,++","[0, 1, 3, 0]",4,0,1/512,1/128
coordinated/fresh/k4,"--,-+,+-,++","[0, 2, 0, 2]",6,1/256,1/256,3/128
coordinated/fresh/k4,"--,-+,+-,++","[0, 2, 1, 1]",12,0,1/512,3/128
coordinated/fresh/k4,"--,-+,+-,++","[0, 2, 2, 0]",6,0,1/512,3/256
coordinated/fresh/k4,"--,-+,+-,++","[0, 3, 0, 1]",4,1/128,1/512,1/32
coordinated/fresh/k4,"--,-+,+-,++","[0, 3, 1, 0]",4,0,1/512,1/128
coordinated/fresh/k4,"--,-+,+-,++","[0, 4, 0, 0]",1,1/64,1/512,1/64
coordinated/fresh/k4,"--,-+,+-,++","[1, 0, 0, 3]",4,1/512,0,1/128
coordinated/fresh/k4,"--,-+,+-,++","[1, 0, 1, 2]",12,1/512,0,3/128
coordinated/fresh/k4,"--,-+,+-,++","[1, 0, 2, 1]",12,1/256,0,3/64
coordinated/fresh/k4,"--,-+,+-,++","[1, 0, 3, 0]",4,1/128,1/512,1/32
coordinated/fresh/k4,"--,-+,+-,++","[1, 1, 0, 2]",12,1/512,0,3/128
coordinated/fresh/k4,"--,-+,+-,++","[1, 1, 1, 1]",24,0,0,0
coordinated/fresh/k4,"--,-+,+-,++","[1, 1, 2, 0]",12,0,1/512,3/128
coordinated/fresh/k4,"--,-+,+-,++","[1, 2, 0, 1]",12,1/256,0,3/64
coordinated/fresh/k4,"--,-+,+-,++","[1, 2, 1, 0]",12,0,1/512,3/128
coordinated/fresh/k4,"--,-+,+-,++","[1, 3, 0, 0]",4,1/128,1/512,1/32
coordinated/fresh/k4,"--,-+,+-,++","[2, 0, 0, 2]",6,1/512,0,3/256
coordinated/fresh/k4,"--,-+,+-,++","[2, 0, 1, 1]",12,1/512,0,3/128
coordinated/fresh/k4,"--,-+,+-,++","[2, 0, 2, 0]",6,1/256,1/256,3/128
coordinated/fresh/k4,"--,-+,+-,++","[2, 1, 0, 1]",12,1/512,0,3/128
coordinated/fresh/k4,"--,-+,+-,++","[2, 1, 1, 0]",12,0,1/256,3/64
coordinated/fresh/k4,"--,-+,+-,++","[2, 2, 0, 0]",6,1/256,1/256,3/128
coordinated/fresh/k4,"--,-+,+-,++","[3, 0, 0, 1]",4,1/512,0,1/128
coordinated/fresh/k4,"--,-+,+-,++","[3, 0, 1, 0]",4,1/512,1/128,1/32
coordinated/fresh/k4,"--,-+,+-,++","[3, 1, 0, 0]",4,1/512,1/128,1/32
coordinated/fresh/k4,"--,-+,+-,++","[4, 0, 0, 0]",1,1/512,1/64,1/64
noiseless/fresh/k1,"--,-+,+-,++","[0, 0, 0, 1]",1,0,1/4,1/4
noiseless/fresh/k1,"--,-+,+-,++","[0, 0, 1, 0]",1,1/4,0,1/4
noiseless/fresh/k1,"--,-+,+-,++","[0, 1, 0, 0]",1,1/4,0,1/4
noiseless/fresh/k1,"--,-+,+-,++","[1, 0, 0, 0]",1,0,1/4,1/4
noiseless/fresh/k2,"--,-+,+-,++","[0, 0, 0, 2]",1,0,1/4,1/4
noiseless/fresh/k2,"--,-+,+-,++","[0, 0, 1, 1]",2,0,0,0
