case,purpose,target,own_history,prediction,tie,joint_target_minus,joint_target_plus,posterior_prediction_correct,other_purpose_history_used
independent/fresh/k1,1,U,-,-1,False,3/8,1/8,3/4,False
independent/fresh/k1,1,U,+,1,False,1/8,3/8,3/4,False
independent/fresh/k1,2,V,-,-1,False,3/8,1/8,3/4,False
independent/fresh/k1,2,V,+,1,False,1/8,3/8,3/4,False
independent/fresh/k2,1,U,--,-1,False,9/32,1/32,9/10,False
independent/fresh/k2,1,U,-+,1,True,3/32,3/32,1/2,False
independent/fresh/k2,1,U,+-,1,True,3/32,3/32,1/2,False
independent/fresh/k2,1,U,++,1,False,1/32,9/32,9/10,False
independent/fresh/k2,2,V,--,-1,False,9/32,1/32,9/10,False
independent/fresh/k2,2,V,-+,1,True,3/32,3/32,1/2,False
independent/fresh/k2,2,V,+-,1,True,3/32,3/32,1/2,False
independent/fresh/k2,2,V,++,1,False,1/32,9/32,9/10,False
independent/fresh/k4,1,U,----,-1,False,81/512,1/512,81/82,False
independent/fresh/k4,1,U,---+,-1,False,27/512,3/512,9/10,False
independent/fresh/k4,1,U,--+-,-1,False,27/512,3/512,9/10,False
independent/fresh/k4,1,U,--++,1,True,9/512,9/512,1/2,False
independent/fresh/k4,1,U,-+--,-1,False,27/512,3/512,9/10,False
independent/fresh/k4,1,U,-+-+,1,True,9/512,9/512,1/2,False
independent/fresh/k4,1,U,-++-,1,True,9/512,9/512,1/2,False
independent/fresh/k4,1,U,-+++,1,False,3/512,27/512,9/10,False
independent/fresh/k4,1,U,+---,-1,False,27/512,3/512,9/10,False
independent/fresh/k4,1,U,+--+,1,True,9/512,9/512,1/2,False
independent/fresh/k4,1,U,+-+-,1,True,9/512,9/512,1/2,False
independent/fresh/k4,1,U,+-++,1,False,3/512,27/512,9/10,False
independent/fresh/k4,1,U,++--,1,True,9/512,9/512,1/2,False
independent/fresh/k4,1,U,++-+,1,False,3/512,27/512,9/10,False
independent/fresh/k4,1,U,+++-,1,False,3/512,27/512,9/10,False
independent/fresh/k4,1,U,++++,1,False,1/512,81/512,81/82,False
independent/fresh/k4,2,V,----,-1,False,81/512,1/512,81/82,False
independent/fresh/k4,2,V,---+,-1,False,27/512,3/512,9/10,False
independent/fresh/k4,2,V,--+-,-1,False,27/512,3/512,9/10,False
independent/fresh/k4,2,V,--++,1,True,9/512,9/512,1/2,False
independent/fresh/k4,2,V,-+--,-1,False,27/512,3/512,9/10,False
independent/fresh/k4,2,V,-+-+,1,True,9/512,9/512,1/2,False
independent/fresh/k4,2,V,-++-,1,True,9/512,9/512,1/2,False
independent/fresh/k4,2,V,-+++,1,False,3/512,27/512,9/10,False
independent/fresh/k4,2,V,+---,-1,False,27/512,3/512,9/10,False
independent/fresh/k4,2,V,+--+,1,True,9/512,9/512,1/2,False
independent/fresh/k4,2,V,+-+-,1,True,9/512,9/512,1/2,False
independent/fresh/k4,2,V,+-++,1,False,3/512,27/512,9/10,False
independent/fresh/k4,2,V,++--,1,True,9/512,9/512,1/2,False
independent/fresh/k4,2,V,++-+,1,False,3/512,27/512,9/10,False
independent/fresh/k4,2,V,+++-,1,False,3/512,27/512,9/10,False
independent/fresh/k4,2,V,++++,1,False,1/512,81/512,81/82,False
independent/cached/k1,1,U,-,-1,False,3/8,1/8,3/4,False
independent/cached/k1,1,U,+,1,False,1/8,3/8,3/4,False
independent/cached/k1,2,V,-,-1,False,3/8,1/8,3/4,False
independent/cached/k1,2,V,+,1,False,1/8,3/8,3/4,False
independent/cached/k2,1,U,--,-1,False,3/8,1/8,3/4,False
independent/cached/k2,1,U,++,1,False,1/8,3/8,3/4,False
independent/cached/k2,2,V,--,-1,False,3/8,1/8,3/4,False
independent/cached/k2,2,V,++,1,False,1/8,3/8,3/4,False
independent/cached/k4,1,U,----,-1,False,3/8,1/8,3/4,False
independent/cached/k4,1,U,++++,1,False,1/8,3/8,3/4,False
independent/cached/k4,2,V,----,-1,False,3/8,1/8,3/4,False
independent/cached/k4,2,V,++++,1,False,1/8,3/8,3/4,False
coordinated/fresh/k1,1,U,-,-1,False,3/8,1/8,3/4,False
coordinated/fresh/k1,1,U,+,1,False,1/8,3/8,3/4,False
coordinated/fresh/k1,2,V,-,-1,False,3/8,1/8,3/4,False
coordinated/fresh/k1,2,V,+,1,False,1/8,3/8,3/4,False
coordinated/fresh/k2,1,U,--,-1,False,9/32,1/32,9/10,False
coordinated/fresh/k2,1,U,-+,1,True,3/32,3/32,1/2,False
coordinated/fresh/k2,1,U,+-,1,True,3/32,3/32,1/2,False
coordinated/fresh/k2,1,U,++,1,False,1/32,9/32,9/10,False
coordinated/fresh/k2,2,V,--,-1,False,9/32,1/32,9/10,False
coordinated/fresh/k2,2,V,-+,1,True,3/32,3/32,1/2,False
coordinated/fresh/k2,2,V,+-,1,True,3/32,3/32,1/2,False
coordinated/fresh/k2,2,V,++,1,False,1/32,9/32,9/10,False
coordinated/fresh/k4,1,U,----,-1,False,81/512,1/512,81/82,False
coordinated/fresh/k4,1,U,---+,-1,False,27/512,3/512,9/10,False
coordinated/fresh/k4,1,U,--+-,-1,False,27/512,3/512,9/10,False
coordinated/fresh/k4,1,U,--++,1,True,9/512,9/512,1/2,False
coordinated/fresh/k4,1,U,-+--,-1,False,27/512,3/512,9/10,False
coordinated/fresh/k4,1,U,-+-+,1,True,9/512,9/512,1/2,False
coordinated/fresh/k4,1,U,-++-,1,True,9/512,9/512,1/2,False
coordinated/fresh/k4,1,U,-+++,1,False,3/512,27/512,9/10,False
coordinated/fresh/k4,1,U,+---,-1,False,27/512,3/512,9/10,False
coordinated/fresh/k4,1,U,+--+,1,True,9/512,9/512,1/2,False
coordinated/fresh/k4,1,U,+-+-,1,True,9/512,9/512,1/2,False
coordinated/fresh/k4,1,U,+-++,1,False,3/512,27/512,9/10,False
coordinated/fresh/k4,1,U,++--,1,True,9/512,9/512,1/2,False
coordinated/fresh/k4,1,U,++-+,1,False,3/512,27/512,9/10,False
coordinated/fresh/k4,1,U,+++-,1,False,3/512,27/512,9/10,False
coordinated/fresh/k4,1,U,++++,1,False,1/512,81/512,81/82,False
coordinated/fresh/k4,2,V,----,-1,False,81/512,1/512,81/82,False
coordinated/fresh/k4,2,V,---+,-1,False,27/512,3/512,9/10,False
coordinated/fresh/k4,2,V,--+-,-1,False,27/512,3/512,9/10,False
coordinated/fresh/k4,2,V,--++,1,True,9/512,9/512,1/2,False
coordinated/fresh/k4,2,V,-+--,-1,False,27/512,3/512,9/10,False
coordinated/fresh/k4,2,V,-+-+,1,True,9/512,9/512,1/2,False
