case,law,policy,k,coalition_accuracy,own1_accuracy,own2_accuracy,individual1_S_accuracy,individual2_S_accuracy,coalition_independent,individual1_S_independent,individual2_S_independent,coalition_independence_max_residual,decoder_error_bound,forward_inverse_exact,count_vector_bayes_exact,latent_positive_cells,latent_all_cells
independent/fresh/k1,independent,fresh,1,5/8,3/4,3/4,1/2,1/2,False,True,True,1/32,1/2,True,True,16,16
independent/fresh/k2,independent,fresh,2,5/8,3/4,3/4,1/2,1/2,False,True,True,1/32,1/2,True,True,64,64
independent/fresh/k4,independent,fresh,4,377/512,27/32,27/32,1/2,1/2,False,True,True,25/2048,11/16,True,True,1024,1024
independent/cached/k1,independent,cached,1,5/8,3/4,3/4,1/2,1/2,False,True,True,1/32,1/2,True,False,16,16
independent/cached/k2,independent,cached,2,5/8,3/4,3/4,1/2,1/2,False,True,True,1/32,1/2,True,False,16,64
independent/cached/k4,independent,cached,4,5/8,3/4,3/4,1/2,1/2,False,True,True,1/32,1/2,True,False,16,1024
coordinated/fresh/k1,coordinated,fresh,1,1/2,3/4,3/4,1/2,1/2,True,True,True,0,1/2,True,True,12,16
coordinated/fresh/k2,coordinated,fresh,2,5/8,3/4,3/4,1/2,1/2,False,True,True,1/64,1/2,True,True,36,64
coordinated/fresh/k4,coordinated,fresh,4,107/128,27/32,27/32,1/2,1/2,False,True,True,7/1024,11/16,True,True,324,1024
coordinated/cached/k1,coordinated,cached,1,1/2,3/4,3/4,1/2,1/2,True,True,True,0,1/2,True,False,12,16
coordinated/cached/k2,coordinated,cached,2,1/2,3/4,3/4,1/2,1/2,True,True,True,0,1/2,True,False,12,64
coordinated/cached/k4,coordinated,cached,4,1/2,3/4,3/4,1/2,1/2,True,True,True,0,1/2,True,False,12,1024
noiseless/fresh/k1,noiseless,fresh,1,1,1,1,1/2,1/2,False,True,True,1/8,1,True,True,4,16
noiseless/fresh/k2,noiseless,fresh,2,1,1,1,1/2,1/2,False,True,True,1/8,1,True,True,4,64
noiseless/fresh/k4,noiseless,fresh,4,1,1,1,1/2,1/2,False,True,True,1/8,1,True,True,4,1024
noiseless/cached/k1,noiseless,cached,1,1,1,1,1/2,1/2,False,True,True,1/8,1,True,False,4,16
noiseless/cached/k2,noiseless,cached,2,1,1,1,1/2,1/2,False,True,True,1/8,1,True,False,4,64
noiseless/cached/k4,noiseless,cached,4,1,1,1,1/2,1/2,False,True,True,1/8,1,True,False,4,1024
