case,U,V,S,history,probability,numerator,denominator
disjoint/q1=0/q2=0,-1,-1,1,--,1/4,1,4
disjoint/q1=0/q2=0,-1,-1,1,-+,0,0,1
disjoint/q1=0/q2=0,-1,-1,1,+-,0,0,1
disjoint/q1=0/q2=0,-1,-1,1,++,0,0,1
disjoint/q1=0/q2=0,-1,1,-1,--,0,0,1
disjoint/q1=0/q2=0,-1,1,-1,-+,1/4,1,4
disjoint/q1=0/q2=0,-1,1,-1,+-,0,0,1
disjoint/q1=0/q2=0,-1,1,-1,++,0,0,1
disjoint/q1=0/q2=0,1,-1,-1,--,0,0,1
disjoint/q1=0/q2=0,1,-1,-1,-+,0,0,1
disjoint/q1=0/q2=0,1,-1,-1,+-,1/4,1,4
disjoint/q1=0/q2=0,1,-1,-1,++,0,0,1
disjoint/q1=0/q2=0,1,1,1,--,0,0,1
disjoint/q1=0/q2=0,1,1,1,-+,0,0,1
disjoint/q1=0/q2=0,1,1,1,+-,0,0,1
disjoint/q1=0/q2=0,1,1,1,++,1/4,1,4
disjoint/q1=0/q2=1/8,-1,-1,1,--,7/32,7,32
disjoint/q1=0/q2=1/8,-1,-1,1,-+,1/32,1,32
disjoint/q1=0/q2=1/8,-1,-1,1,+-,0,0,1
disjoint/q1=0/q2=1/8,-1,-1,1,++,0,0,1
disjoint/q1=0/q2=1/8,-1,1,-1,--,1/32,1,32
disjoint/q1=0/q2=1/8,-1,1,-1,-+,7/32,7,32
disjoint/q1=0/q2=1/8,-1,1,-1,+-,0,0,1
disjoint/q1=0/q2=1/8,-1,1,-1,++,0,0,1
disjoint/q1=0/q2=1/8,1,-1,-1,--,0,0,1
disjoint/q1=0/q2=1/8,1,-1,-1,-+,0,0,1
disjoint/q1=0/q2=1/8,1,-1,-1,+-,7/32,7,32
disjoint/q1=0/q2=1/8,1,-1,-1,++,1/32,1,32
disjoint/q1=0/q2=1/8,1,1,1,--,0,0,1
disjoint/q1=0/q2=1/8,1,1,1,-+,0,0,1
disjoint/q1=0/q2=1/8,1,1,1,+-,1/32,1,32
disjoint/q1=0/q2=1/8,1,1,1,++,7/32,7,32
disjoint/q1=0/q2=1/4,-1,-1,1,--,3/16,3,16
disjoint/q1=0/q2=1/4,-1,-1,1,-+,1/16,1,16
disjoint/q1=0/q2=1/4,-1,-1,1,+-,0,0,1
disjoint/q1=0/q2=1/4,-1,-1,1,++,0,0,1
disjoint/q1=0/q2=1/4,-1,1,-1,--,1/16,1,16
disjoint/q1=0/q2=1/4,-1,1,-1,-+,3/16,3,16
