case,purpose,S,own_history,probability
independent/fresh/k1,1,-1,-,1/4
independent/fresh/k1,1,-1,+,1/4
independent/fresh/k1,1,1,-,1/4
independent/fresh/k1,1,1,+,1/4
independent/fresh/k1,2,-1,-,1/4
independent/fresh/k1,2,-1,+,1/4
independent/fresh/k1,2,1,-,1/4
independent/fresh/k1,2,1,+,1/4
independent/fresh/k2,1,-1,--,5/32
independent/fresh/k2,1,-1,-+,3/32
independent/fresh/k2,1,-1,+-,3/32
independent/fresh/k2,1,-1,++,5/32
independent/fresh/k2,1,1,--,5/32
independent/fresh/k2,1,1,-+,3/32
independent/fresh/k2,1,1,+-,3/32
independent/fresh/k2,1,1,++,5/32
independent/fresh/k2,2,-1,--,5/32
independent/fresh/k2,2,-1,-+,3/32
independent/fresh/k2,2,-1,+-,3/32
independent/fresh/k2,2,-1,++,5/32
independent/fresh/k2,2,1,--,5/32
independent/fresh/k2,2,1,-+,3/32
independent/fresh/k2,2,1,+-,3/32
independent/fresh/k2,2,1,++,5/32
independent/fresh/k4,1,-1,----,41/512
independent/fresh/k4,1,-1,---+,15/512
independent/fresh/k4,1,-1,--+-,15/512
independent/fresh/k4,1,-1,--++,9/512
independent/fresh/k4,1,-1,-+--,15/512
independent/fresh/k4,1,-1,-+-+,9/512
independent/fresh/k4,1,-1,-++-,9/512
independent/fresh/k4,1,-1,-+++,15/512
independent/fresh/k4,1,-1,+---,15/512
independent/fresh/k4,1,-1,+--+,9/512
independent/fresh/k4,1,-1,+-+-,9/512
independent/fresh/k4,1,-1,+-++,15/512
independent/fresh/k4,1,-1,++--,9/512
independent/fresh/k4,1,-1,++-+,15/512
independent/fresh/k4,1,-1,+++-,15/512
independent/fresh/k4,1,-1,++++,41/512
independent/fresh/k4,1,1,----,41/512
independent/fresh/k4,1,1,---+,15/512
independent/fresh/k4,1,1,--+-,15/512
independent/fresh/k4,1,1,--++,9/512
independent/fresh/k4,1,1,-+--,15/512
independent/fresh/k4,1,1,-+-+,9/512
independent/fresh/k4,1,1,-++-,9/512
independent/fresh/k4,1,1,-+++,15/512
