case,U,V,S,history,probability,numerator,denominator
independent/fresh/k1,-1,-1,1,--,9/64,9,64
independent/fresh/k1,-1,-1,1,-+,3/64,3,64
independent/fresh/k1,-1,-1,1,+-,3/64,3,64
independent/fresh/k1,-1,-1,1,++,1/64,1,64
independent/fresh/k1,-1,1,-1,--,3/64,3,64
independent/fresh/k1,-1,1,-1,-+,9/64,9,64
independent/fresh/k1,-1,1,-1,+-,1/64,1,64
independent/fresh/k1,-1,1,-1,++,3/64,3,64
independent/fresh/k1,1,-1,-1,--,3/64,3,64
independent/fresh/k1,1,-1,-1,-+,1/64,1,64
independent/fresh/k1,1,-1,-1,+-,9/64,9,64
independent/fresh/k1,1,-1,-1,++,3/64,3,64
independent/fresh/k1,1,1,1,--,1/64,1,64
independent/fresh/k1,1,1,1,-+,3/64,3,64
independent/fresh/k1,1,1,1,+-,3/64,3,64
independent/fresh/k1,1,1,1,++,9/64,9,64
independent/fresh/k2,-1,-1,1,--/--,81/1024,81,1024
independent/fresh/k2,-1,-1,1,--/-+,27/1024,27,1024
independent/fresh/k2,-1,-1,1,--/+-,27/1024,27,1024
independent/fresh/k2,-1,-1,1,--/++,9/1024,9,1024
independent/fresh/k2,-1,-1,1,-+/--,27/1024,27,1024
independent/fresh/k2,-1,-1,1,-+/-+,9/1024,9,1024
independent/fresh/k2,-1,-1,1,-+/+-,9/1024,9,1024
independent/fresh/k2,-1,-1,1,-+/++,3/1024,3,1024
independent/fresh/k2,-1,-1,1,+-/--,27/1024,27,1024
independent/fresh/k2,-1,-1,1,+-/-+,9/1024,9,1024
independent/fresh/k2,-1,-1,1,+-/+-,9/1024,9,1024
independent/fresh/k2,-1,-1,1,+-/++,3/1024,3,1024
independent/fresh/k2,-1,-1,1,++/--,9/1024,9,1024
independent/fresh/k2,-1,-1,1,++/-+,3/1024,3,1024
independent/fresh/k2,-1,-1,1,++/+-,3/1024,3,1024
independent/fresh/k2,-1,-1,1,++/++,1/1024,1,1024
independent/fresh/k2,-1,1,-1,--/--,9/1024,9,1024
independent/fresh/k2,-1,1,-1,--/-+,27/1024,27,1024
independent/fresh/k2,-1,1,-1,--/+-,3/1024,3,1024
independent/fresh/k2,-1,1,-1,--/++,9/1024,9,1024
independent/fresh/k2,-1,1,-1,-+/--,27/1024,27,1024
independent/fresh/k2,-1,1,-1,-+/-+,81/1024,81,1024
independent/fresh/k2,-1,1,-1,-+/+-,9/1024,9,1024
independent/fresh/k2,-1,1,-1,-+/++,27/1024,27,1024
independent/fresh/k2,-1,1,-1,+-/--,3/1024,3,1024
independent/fresh/k2,-1,1,-1,+-/-+,9/1024,9,1024
independent/fresh/k2,-1,1,-1,+-/+-,1/1024,1,1024
independent/fresh/k2,-1,1,-1,+-/++,3/1024,3,1024
independent/fresh/k2,-1,1,-1,++/--,9/1024,9,1024
independent/fresh/k2,-1,1,-1,++/-+,27/1024,27,1024
independent/fresh/k2,-1,1,-1,++/+-,3/1024,3,1024
independent/fresh/k2,-1,1,-1,++/++,9/1024,9,1024
independent/fresh/k2,1,-1,-1,--/--,9/1024,9,1024
independent/fresh/k2,1,-1,-1,--/-+,3/1024,3,1024
independent/fresh/k2,1,-1,-1,--/+-,27/1024,27,1024
independent/fresh/k2,1,-1,-1,--/++,9/1024,9,1024
independent/fresh/k2,1,-1,-1,-+/--,3/1024,3,1024
independent/fresh/k2,1,-1,-1,-+/-+,1/1024,1,1024
independent/fresh/k2,1,-1,-1,-+/+-,9/1024,9,1024
independent/fresh/k2,1,-1,-1,-+/++,3/1024,3,1024
independent/fresh/k2,1,-1,-1,+-/--,27/1024,27,1024
independent/fresh/k2,1,-1,-1,+-/-+,9/1024,9,1024
independent/fresh/k2,1,-1,-1,+-/+-,81/1024,81,1024
independent/fresh/k2,1,-1,-1,+-/++,27/1024,27,1024
independent/fresh/k2,1,-1,-1,++/--,9/1024,9,1024
independent/fresh/k2,1,-1,-1,++/-+,3/1024,3,1024
independent/fresh/k2,1,-1,-1,++/+-,27/1024,27,1024
independent/fresh/k2,1,-1,-1,++/++,9/1024,9,1024
independent/fresh/k2,1,1,1,--/--,1/1024,1,1024
independent/fresh/k2,1,1,1,--/-+,3/1024,3,1024
independent/fresh/k2,1,1,1,--/+-,3/1024,3,1024
independent/fresh/k2,1,1,1,--/++,9/1024,9,1024
independent/fresh/k2,1,1,1,-+/--,3/1024,3,1024
independent/fresh/k2,1,1,1,-+/-+,9/1024,9,1024
independent/fresh/k2,1,1,1,-+/+-,9/1024,9,1024
independent/fresh/k2,1,1,1,-+/++,27/1024,27,1024
independent/fresh/k2,1,1,1,+-/--,3/1024,3,1024
independent/fresh/k2,1,1,1,+-/-+,9/1024,9,1024
independent/fresh/k2,1,1,1,+-/+-,9/1024,9,1024
independent/fresh/k2,1,1,1,+-/++,27/1024,27,1024
independent/fresh/k2,1,1,1,++/--,9/1024,9,1024
independent/fresh/k2,1,1,1,++/-+,27/1024,27,1024
independent/fresh/k2,1,1,1,++/+-,27/1024,27,1024
independent/fresh/k2,1,1,1,++/++,81/1024,81,1024
independent/fresh/k4,-1,-1,1,--/--/--/--,6561/262144,6561,262144
independent/fresh/k4,-1,-1,1,--/--/--/-+,2187/262144,2187,262144
independent/fresh/k4,-1,-1,1,--/--/--/+-,2187/262144,2187,262144
independent/fresh/k4,-1,-1,1,--/--/--/++,729/262144,729,262144
independent/fresh/k4,-1,-1,1,--/--/-+/--,2187/262144,2187,262144
independent/fresh/k4,-1,-1,1,--/--/-+/-+,729/262144,729,262144
independent/fresh/k4,-1,-1,1,--/--/-+/+-,729/262144,729,262144
independent/fresh/k4,-1,-1,1,--/--/-+/++,243/262144,243,262144
independent/fresh/k4,-1,-1,1,--/--/+-/--,2187/262144,2187,262144
independent/fresh/k4,-1,-1,1,--/--/+-/-+,729/262144,729,262144
independent/fresh/k4,-1,-1,1,--/--/+-/+-,729/262144,729,262144
independent/fresh/k4,-1,-1,1,--/--/+-/++,243/262144,243,262144
independent/fresh/k4,-1,-1,1,--/--/++/--,729/262144,729,262144
independent/fresh/k4,-1,-1,1,--/--/++/-+,243/262144,243,262144
independent/fresh/k4,-1,-1,1,--/--/++/+-,243/262144,243,262144
independent/fresh/k4,-1,-1,1,--/--/++/++,81/262144,81,262144
independent/fresh/k4,-1,-1,1,--/-+/--/--,2187/262144,2187,262144
independent/fresh/k4,-1,-1,1,--/-+/--/-+,729/262144,729,262144
independent/fresh/k4,-1,-1,1,--/-+/--/+-,729/262144,729,262144
independent/fresh/k4,-1,-1,1,--/-+/--/++,243/262144,243,262144
independent/fresh/k4,-1,-1,1,--/-+/-+/--,729/262144,729,262144
independent/fresh/k4,-1,-1,1,--/-+/-+/-+,243/262144,243,262144
independent/fresh/k4,-1,-1,1,--/-+/-+/+-,243/262144,243,262144
independent/fresh/k4,-1,-1,1,--/-+/-+/++,81/262144,81,262144
independent/fresh/k4,-1,-1,1,--/-+/+-/--,729/262144,729,262144
independent/fresh/k4,-1,-1,1,--/-+/+-/-+,243/262144,243,262144
independent/fresh/k4,-1,-1,1,--/-+/+-/+-,243/262144,243,262144
independent/fresh/k4,-1,-1,1,--/-+/+-/++,81/262144,81,262144
independent/fresh/k4,-1,-1,1,--/-+/++/--,243/262144,243,262144
independent/fresh/k4,-1,-1,1,--/-+/++/-+,81/262144,81,262144
independent/fresh/k4,-1,-1,1,--/-+/++/+-,81/262144,81,262144
independent/fresh/k4,-1,-1,1,--/-+/++/++,27/262144,27,262144
independent/fresh/k4,-1,-1,1,--/+-/--/--,2187/262144,2187,262144
independent/fresh/k4,-1,-1,1,--/+-/--/-+,729/262144,729,262144
independent/fresh/k4,-1,-1,1,--/+-/--/+-,729/262144,729,262144
independent/fresh/k4,-1,-1,1,--/+-/--/++,243/262144,243,262144
independent/fresh/k4,-1,-1,1,--/+-/-+/--,729/262144,729,262144
