release,role,target,audit_budget,selector,split,metric,n_seeds,n_defined,complete,mean,sample_sd
R_rho0p1_C,transfer,same_residence,,primary,validation,log_loss,3,3,True,0.504408980327793,0.006054124981003174
R_rho0p1_C,transfer,same_residence,,primary,development_evaluation,log_loss,3,3,True,0.49228716663519,0.0026259418853544696
R_rho0p1_C,transfer,same_residence,,primary,validation_person_weighted,log_loss,3,3,True,0.4803122366467767,0.004883246155692867
R_rho0p1_C,transfer,same_residence,,primary,development_evaluation_person_weighted,log_loss,3,3,True,0.47178752717015865,0.010165472111400982
R_rho0p1_C,transfer,commute_over20,,primary,validation,log_loss,3,3,True,0.675405462626014,0.002001064743492957
R_rho0p1_C,transfer,commute_over20,,primary,development_evaluation,log_loss,3,3,True,0.6859055337169069,0.004020595770644163
R_rho0p1_C,transfer,commute_over20,,primary,validation_person_weighted,log_loss,3,3,True,0.6744293098861052,0.0011652838580321577
R_rho0p1_C,transfer,commute_over20,,primary,development_evaluation_person_weighted,log_loss,3,3,True,0.6890712040512829,0.006249457396079315
R_rho0p1_C,transfer,income_binary,,primary,validation,log_loss,3,3,True,0.2986927453279184,0.003939369661184462
R_rho0p1_C,transfer,income_binary,,primary,development_evaluation,log_loss,3,3,True,0.29068528545575284,0.00654131268641858
R_rho0p1_C,transfer,income_binary,,primary,validation_person_weighted,log_loss,3,3,True,0.29530016048080354,0.014145413838341968
R_rho0p1_C,transfer,income_binary,,primary,development_evaluation_person_weighted,log_loss,3,3,True,0.30159018034297314,0.010665548831487886
R_rho0p1_C,transfer,civilian_at_work,,primary,validation,log_loss,3,3,True,0.29632328155148097,0.010278727078565269
R_rho0p1_C,transfer,civilian_at_work,,primary,development_evaluation,log_loss,3,3,True,0.28358250333196405,0.007686250703261321
R_rho0p1_C,transfer,civilian_at_work,,primary,validation_person_weighted,log_loss,3,3,True,0.2963459566528778,0.009008513994187466
R_rho0p1_C,transfer,civilian_at_work,,primary,development_evaluation_person_weighted,log_loss,3,3,True,0.2754991846362528,0.014689648576654668
R_rho0p1_C,transfer,public_coverage,,primary,validation,log_loss,3,3,True,0.48643767758646345,0.0029482869737097626
R_rho0p1_C,transfer,public_coverage,,primary,development_evaluation,log_loss,3,3,True,0.4983920182327883,0.011959220752999556
R_rho0p1_C,transfer,public_coverage,,primary,validation_person_weighted,log_loss,3,3,True,0.4989521670272975,0.003652654672176756
R_rho0p1_C,transfer,public_coverage,,primary,development_evaluation_person_weighted,log_loss,3,3,True,0.5047465353902281,0.012862195118223063
R_rho0p1_C,audit,SEX,120,primary,validation,log_loss,3,3,True,0.6552574542600844,0.0073587042506089795
R_rho0p1_C,audit,SEX,120,primary,validation,signed_prior_relative_gain,3,3,True,0.03713016430673729,0.007696120929413594
R_rho0p1_C,audit,SEX,120,primary,development_evaluation,log_loss,3,3,True,0.6577056238889316,0.003022828021480325
R_rho0p1_C,audit,SEX,120,primary,development_evaluation,signed_prior_relative_gain,3,3,True,0.034981079867735056,0.0025069983437416756
R_rho0p1_C,audit,SEX,120,primary,validation_person_weighted,log_loss,3,3,True,0.6570707993881273,0.012894165901115837
R_rho0p1_C,audit,SEX,120,primary,validation_person_weighted,signed_prior_relative_gain,3,3,True,0.03525421393372415,0.012897549393108134
R_rho0p1_C,audit,SEX,120,primary,development_evaluation_person_weighted,log_loss,3,3,True,0.660913947814633,0.0011292870196661922
R_rho0p1_C,audit,SEX,120,primary,development_evaluation_person_weighted,signed_prior_relative_gain,3,3,True,0.031199475005354877,0.0015995612814186763
R_rho0p1_C,audit,RAC1P,120,primary,validation,log_loss,3,3,True,1.2078725372168049,0.010051907566840584
R_rho0p1_C,audit,RAC1P,120,primary,validation,signed_prior_relative_gain,3,3,True,0.07562451610791772,0.015081065560194897
