seed,split,release,selector,target,numeric_120,numeric_360,pass_120,pass_360,numeric_changed,assessment_changed,parent_actual_audit_budget
0,validation,R_rho0p1_C,primary,SEX,False,False,False,False,False,False,120
0,validation,R_rho0p1_C,primary,RAC1P,False,False,,,False,False,120
0,validation,R_rho0p1_D,primary,SEX,False,False,False,False,False,False,120
0,validation,R_rho0p1_D,primary,RAC1P,False,False,,,False,False,120
0,validation,R_rho0_C,primary,SEX,False,False,False,False,False,False,120
0,validation,R_rho0_C,primary,RAC1P,False,False,,,False,False,120
0,validation,R_rho0_D,primary,SEX,False,False,False,False,False,False,120
0,validation,R_rho0_D,primary,RAC1P,False,False,,,False,False,120
0,validation,E_rho0p1_C,primary,SEX,False,False,False,False,False,False,120
0,validation,E_rho0p1_C,primary,RAC1P,True,True,,,False,False,120
0,validation,E_rho0p1_D,primary,SEX,True,True,True,True,False,False,120
0,validation,E_rho0p1_D,primary,RAC1P,True,True,,,False,False,120
0,validation,E_rho0_C,primary,SEX,False,False,False,False,False,False,120
0,validation,E_rho0_C,primary,RAC1P,True,True,,,False,False,120
0,validation,E_rho0_D,primary,SEX,True,True,True,True,False,False,120
0,validation,E_rho0_D,primary,RAC1P,True,True,,,False,False,120
0,validation,S_rho0p1_C,primary,SEX,False,False,False,False,False,False,120
0,validation,S_rho0p1_C,primary,RAC1P,False,False,,,False,False,120
0,validation,S_rho0p1_D,primary,SEX,False,False,False,False,False,False,120
0,validation,S_rho0p1_D,primary,RAC1P,False,False,,,False,False,120
0,validation,S_rho0_C,primary,SEX,False,False,False,False,False,False,120
0,validation,S_rho0_C,primary,RAC1P,False,False,,,False,False,120
0,validation,S_rho0_D,primary,SEX,False,False,False,False,False,False,120
0,validation,S_rho0_D,primary,RAC1P,False,False,,,False,False,120
0,validation,PCA16,primary,SEX,False,False,False,False,False,False,120
0,validation,PCA16,primary,RAC1P,False,False,,,False,False,120
0,validation,E_direct,primary,SEX,True,True,True,True,False,False,120
0,validation,E_direct,primary,RAC1P,True,True,,,False,False,120
0,validation,S_direct,primary,SEX,False,False,False,False,False,False,120
0,validation,S_direct,primary,RAC1P,False,False,,,False,False,120
0,validation,R_rho0p1_C,pooled,SEX,False,False,False,False,False,False,120
0,validation,R_rho0p1_C,pooled,RAC1P,False,False,,,False,False,120
0,validation,R_rho0p1_D,pooled,SEX,False,False,False,False,False,False,120
0,validation,R_rho0p1_D,pooled,RAC1P,False,False,,,False,False,120
0,validation,R_rho0_C,pooled,SEX,False,False,False,False,False,False,120
0,validation,R_rho0_C,pooled,RAC1P,False,False,,,False,False,120
0,validation,R_rho0_D,pooled,SEX,False,False,False,False,False,False,120
0,validation,R_rho0_D,pooled,RAC1P,False,False,,,False,False,120
0,validation,E_rho0p1_C,pooled,SEX,False,False,False,False,False,False,120
0,validation,E_rho0p1_C,pooled,RAC1P,False,False,,,False,False,120
0,validation,E_rho0p1_D,pooled,SEX,False,False,False,False,False,False,120
0,validation,E_rho0p1_D,pooled,RAC1P,False,False,,,False,False,120
0,validation,E_rho0_C,pooled,SEX,False,False,False,False,False,False,120
0,validation,E_rho0_C,pooled,RAC1P,False,False,,,False,False,120
0,validation,E_rho0_D,pooled,SEX,False,False,False,False,False,False,120
0,validation,E_rho0_D,pooled,RAC1P,False,False,,,False,False,120
0,validation,S_rho0p1_C,pooled,SEX,False,False,False,False,False,False,120
0,validation,S_rho0p1_C,pooled,RAC1P,False,False,,,False,False,120
