unit,seed,release,split,target,mean_mse,per_coordinate_mse
static,0,E_direct,fit,R,0.5624999740399982,"[0.6631267752837295,0.566992352048002,0.6753757507247983,0.7970195940143427,0.6666856745286136,0.44786275513782176,0.7253810870631021,0.887277385094157,0.5165343552319499,0.7236390981630826,0.2036190326730587,0.49206869285825017,0.5073028169073253,0.295264424561012,0.4865751201819931,0.34527467016873326]"
static,0,E_direct,fit,E,0.0,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]"
static,0,E_direct,fit,S,0.5443103410953389,"[0.7169950635288885,0.5506139145603384,0.34574664371321717,0.8522870025315019,0.6127740443714526,0.5668768336843131,0.5289584358691697,0.49286243911331856,0.5509225092592971,0.32934034406744295,0.5373499229110144,0.5994224193499195,0.4069900251072129,0.6300708761124106,0.4504982551378271,0.5372567282080993]"
static,0,E_direct,source_validation,R,0.566435382889479,"[0.7113989738323871,0.5772130852830644,0.678033910384601,0.7787756992821463,0.6821642499215428,0.4437858272381328,0.7091799247372187,0.9180227569761689,0.5003439607180131,0.7146374964465083,0.20609455320056239,0.4971085165409872,0.5116059502081076,0.2878619169885494,0.48515028348735006,0.3615890209863245]"
static,0,E_direct,source_validation,E,0.0,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]"
static,0,E_direct,source_validation,S,0.5417632971806682,"[0.7501087470539443,0.5424331936887954,0.3479365203551432,0.8355536893067115,0.5942459168921996,0.5510611851974403,0.5124744590226676,0.4775893299713779,0.5464497658141201,0.3350142465287049,0.5390193077922014,0.5946132120770303,0.4152649590180639,0.608904529551249,0.47125824570758185,0.5462854469134589]"
static,0,E_direct,development_evaluation,R,0.5621705456147568,"[0.6019900308868855,0.5279617624079037,0.6945520473572883,0.7870676726143307,0.6891755019841395,0.43892953650445554,0.7647893936603327,0.9428834411450367,0.5082022906065617,0.7394240671502988,0.20608750726427882,0.49256493191552175,0.5136184762222281,0.2773325655237479,0.4661616858395823,0.3439878187535149]"
static,0,E_direct,development_evaluation,E,0.0,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]"
static,0,E_direct,development_evaluation,S,0.5496797868389671,"[0.6856856335148427,0.5484346103113183,0.3507482104035877,0.8939022060420778,0.6128090393520981,0.5754103808440929,0.5537527841610951,0.525946820729017,0.5296531248431656,0.3390005922288187,0.538718271533416,0.6113662421909223,0.4215405831202676,0.6046395694091496,0.4642862468700889,0.5389822738695157]"
static,0,S_direct,fit,R,0.5625000222847716,"[0.23069566303314387,0.25078963572656715,0.9084343527807385,0.17604672490082338,0.6777796419748364,0.8642502526063252,0.6179076773195101,0.7022128461322715,0.34292911061939213,0.6428881164519564,0.5581291259887277,0.6763318380680738,0.46699316722890516,0.47747374221547073,0.7981334337020118,0.6090050278075907]"
static,0,S_direct,fit,E,0.5443103410953389,"[0.7169950635288885,0.5506139145603384,0.34574664371321717,0.8522870025315019,0.6127740443714526,0.5668768336843131,0.5289584358691697,0.49286243911331856,0.5509225092592971,0.32934034406744295,0.5373499229110144,0.5994224193499195,0.4069900251072129,0.6300708761124106,0.4504982551378271,0.5372567282080993]"
static,0,S_direct,fit,S,0.0,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]"
static,0,S_direct,source_validation,R,0.5666995598175217,"[0.23777577909237482,0.2515414056824576,0.9065996693503414,0.17247334360872482,0.6830030347936403,0.8618203638705397,0.6195622598411289,0.7399891415456097,0.34774039169071047,0.6465854750763478,0.5530468491144627,0.6577822034821479,0.4824349413028325,0.4617522583849832,0.8448653555364528,0.6002204847075934]"
static,0,S_direct,source_validation,E,0.5417632971806682,"[0.7501087470539443,0.5424331936887954,0.3479365203551432,0.8355536893067115,0.5942459168921996,0.5510611851974403,0.5124744590226676,0.4775893299713779,0.5464497658141201,0.3350142465287049,0.5390193077922014,0.5946132120770303,0.4152649590180639,0.608904529551249,0.47125824570758185,0.5462854469134589]"
static,0,S_direct,source_validation,S,0.0,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]"
