seed,role,target,audit_budget,selector,split,reference_teacher,arm,comparison,E_rho0,E_rho0p1,reference_rho0,reference_rho0p1,E_reconstruction_delta,reference_reconstruction_delta,left_minus_right,signed_gain_interaction
0,transfer,same_residence,,primary,validation,R,C,E_reconstruction_interaction_vs_R,E_rho0_C,E_rho0p1_C,R_rho0_C,R_rho0p1_C,-0.0018768040826244725,0.0017432386686635493,-0.0036200427512880218,
0,transfer,same_residence,,primary,validation,S,C,E_reconstruction_interaction_vs_S,E_rho0_C,E_rho0p1_C,S_rho0_C,S_rho0p1_C,-0.0018768040826244725,0.0034794822354242694,-0.005356286318048742,
0,transfer,same_residence,,primary,development_evaluation,R,C,E_reconstruction_interaction_vs_R,E_rho0_C,E_rho0p1_C,R_rho0_C,R_rho0p1_C,-0.00031812811618392445,0.0009904702909517837,-0.0013085984071357082,
0,transfer,same_residence,,primary,development_evaluation,S,C,E_reconstruction_interaction_vs_S,E_rho0_C,E_rho0p1_C,S_rho0_C,S_rho0p1_C,-0.00031812811618392445,0.0031952864729057895,-0.003513414589089714,
0,transfer,same_residence,,primary,validation_person_weighted,R,C,E_reconstruction_interaction_vs_R,E_rho0_C,E_rho0p1_C,R_rho0_C,R_rho0p1_C,-0.0019138645869359316,0.0015643052621566733,-0.003478169849092605,
0,transfer,same_residence,,primary,validation_person_weighted,S,C,E_reconstruction_interaction_vs_S,E_rho0_C,E_rho0p1_C,S_rho0_C,S_rho0p1_C,-0.0019138645869359316,0.004550375707225107,-0.006464240294161039,
0,transfer,same_residence,,primary,development_evaluation_person_weighted,R,C,E_reconstruction_interaction_vs_R,E_rho0_C,E_rho0p1_C,R_rho0_C,R_rho0p1_C,0.0005057479952489952,0.0009896102373352922,-0.000483862242086297,
0,transfer,same_residence,,primary,development_evaluation_person_weighted,S,C,E_reconstruction_interaction_vs_S,E_rho0_C,E_rho0p1_C,S_rho0_C,S_rho0p1_C,0.0005057479952489952,0.002452695763753565,-0.00194694776850457,
0,transfer,commute_over20,,primary,validation,R,C,E_reconstruction_interaction_vs_R,E_rho0_C,E_rho0p1_C,R_rho0_C,R_rho0p1_C,-0.00015061549872508184,0.00010386201829315489,-0.00025447751701823673,
0,transfer,commute_over20,,primary,validation,S,C,E_reconstruction_interaction_vs_S,E_rho0_C,E_rho0p1_C,S_rho0_C,S_rho0p1_C,-0.00015061549872508184,0.0010889497645044655,-0.0012395652632295473,
0,transfer,commute_over20,,primary,development_evaluation,R,C,E_reconstruction_interaction_vs_R,E_rho0_C,E_rho0p1_C,R_rho0_C,R_rho0p1_C,-0.003550096689618587,0.00036664873448721824,-0.003916745424105805,
0,transfer,commute_over20,,primary,development_evaluation,S,C,E_reconstruction_interaction_vs_S,E_rho0_C,E_rho0p1_C,S_rho0_C,S_rho0p1_C,-0.003550096689618587,-0.0010929978107272476,-0.0024570988788913395,
0,transfer,commute_over20,,primary,validation_person_weighted,R,C,E_reconstruction_interaction_vs_R,E_rho0_C,E_rho0p1_C,R_rho0_C,R_rho0p1_C,-0.0027723080869299643,-0.0005493242210161675,-0.002222983865913797,
0,transfer,commute_over20,,primary,validation_person_weighted,S,C,E_reconstruction_interaction_vs_S,E_rho0_C,E_rho0p1_C,S_rho0_C,S_rho0p1_C,-0.0027723080869299643,-0.0011909472952015276,-0.0015813607917284367,
0,transfer,commute_over20,,primary,development_evaluation_person_weighted,R,C,E_reconstruction_interaction_vs_R,E_rho0_C,E_rho0p1_C,R_rho0_C,R_rho0p1_C,-0.003777607715702791,0.000814370424744193,-0.004591978140446984,
0,transfer,commute_over20,,primary,development_evaluation_person_weighted,S,C,E_reconstruction_interaction_vs_S,E_rho0_C,E_rho0p1_C,S_rho0_C,S_rho0p1_C,-0.003777607715702791,-0.0029118979499039854,-0.0008657097657988055,
0,transfer,income_binary,,primary,validation,R,C,E_reconstruction_interaction_vs_R,E_rho0_C,E_rho0p1_C,R_rho0_C,R_rho0p1_C,0.005600008671414414,0.0015571409616297882,0.0040428677097846255,
0,transfer,income_binary,,primary,validation,S,C,E_reconstruction_interaction_vs_S,E_rho0_C,E_rho0p1_C,S_rho0_C,S_rho0p1_C,0.005600008671414414,0.001384953287259405,0.004215055384155009,
0,transfer,income_binary,,primary,development_evaluation,R,C,E_reconstruction_interaction_vs_R,E_rho0_C,E_rho0p1_C,R_rho0_C,R_rho0p1_C,0.00020638939255540611,0.0006812087723530591,-0.000474819379797653,
0,transfer,income_binary,,primary,development_evaluation,S,C,E_reconstruction_interaction_vs_S,E_rho0_C,E_rho0p1_C,S_rho0_C,S_rho0p1_C,0.00020638939255540611,0.0037131348692456823,-0.003506745476690276,
0,transfer,income_binary,,primary,validation_person_weighted,R,C,E_reconstruction_interaction_vs_R,E_rho0_C,E_rho0p1_C,R_rho0_C,R_rho0p1_C,0.007850284092822013,0.0009706019426518053,0.006879682150170208,
0,transfer,income_binary,,primary,validation_person_weighted,S,C,E_reconstruction_interaction_vs_S,E_rho0_C,E_rho0p1_C,S_rho0_C,S_rho0p1_C,0.007850284092822013,0.002497941905352352,0.005352342187469661,
0,transfer,income_binary,,primary,development_evaluation_person_weighted,R,C,E_reconstruction_interaction_vs_R,E_rho0_C,E_rho0p1_C,R_rho0_C,R_rho0p1_C,-2.646829650243543e-05,0.0005539142786355478,-0.0005803825751379832,
0,transfer,income_binary,,primary,development_evaluation_person_weighted,S,C,E_reconstruction_interaction_vs_S,E_rho0_C,E_rho0p1_C,S_rho0_C,S_rho0p1_C,-2.646829650243543e-05,0.004462783200670339,-0.004489251497172775,
