comparison,reference_teacher,arm,role,target,audit_budget,selector,split,n_seeds,n_defined,complete,mean,sample_sd,per_seed
E_reconstruction_interaction_vs_R,R,C,transfer,same_residence,,primary,validation,3,3,True,-5.4060826440679076e-05,0.003190305848198789,"{""0"":-0.0036200427512880218,""1"":0.002529480627081415,""2"":0.0009283796448845694}"
E_reconstruction_interaction_vs_S,S,C,transfer,same_residence,,primary,validation,3,3,True,-0.00034083604939853335,0.005199737417033189,"{""0"":-0.005356286318048742,""1"":-0.0006916443079372225,""2"":0.0050254224777903644}"
E_reconstruction_interaction_vs_R,R,C,transfer,same_residence,,primary,development_evaluation,3,3,True,0.000748190399658973,0.0017815443051794012,"{""0"":-0.0013085984071357082,""1"":0.001743193718913405,""2"":0.0018099758871992222}"
E_reconstruction_interaction_vs_S,S,C,transfer,same_residence,,primary,development_evaluation,3,3,True,0.002221301474178724,0.005214532861916883,"{""0"":-0.003513414589089714,""1"":0.006678038857408808,""2"":0.003499280154217077}"
E_reconstruction_interaction_vs_R,R,C,transfer,same_residence,,primary,validation_person_weighted,3,3,True,-0.0005598870206895978,0.0031807950386230355,"{""0"":-0.003478169849092605,""1"":0.002830620769375125,""2"":-0.0010321119823513136}"
E_reconstruction_interaction_vs_S,S,C,transfer,same_residence,,primary,validation_person_weighted,3,3,True,-0.0018481683791065813,0.005075905026251542,"{""0"":-0.006464240294161039,""1"":-0.0026680265840806627,""2"":0.0035877617409219575}"
E_reconstruction_interaction_vs_R,R,C,transfer,same_residence,,primary,development_evaluation_person_weighted,3,3,True,0.001063145645169572,0.001373865545317991,"{""0"":-0.000483862242086297,""1"":0.0015323775325912226,""2"":0.0021409216450037905}"
E_reconstruction_interaction_vs_S,S,C,transfer,same_residence,,primary,development_evaluation_person_weighted,3,3,True,0.0016298325058128709,0.0031161274778816134,"{""0"":-0.00194694776850457,""1"":0.0037576819341230694,""2"":0.003078763351820113}"
E_reconstruction_interaction_vs_R,R,C,transfer,commute_over20,,primary,validation,3,3,True,-0.0022475510856693193,0.002923422001197441,"{""0"":-0.00025447751701823673,""1"":-0.0008846092179313203,""2"":-0.005603566522058401}"
E_reconstruction_interaction_vs_S,S,C,transfer,commute_over20,,primary,validation,3,3,True,-0.0012379575452397724,0.00114749310397561,"{""0"":-0.0012395652632295473,""1"":-8.966142696653634e-05,""2"":-0.002384645945523234}"
E_reconstruction_interaction_vs_R,R,C,transfer,commute_over20,,primary,development_evaluation,3,3,True,0.00020240633358289037,0.003867552303881432,"{""0"":-0.003916745424105805,""1"":0.0007678595865674431,""2"":0.0037561048382870332}"
E_reconstruction_interaction_vs_S,S,C,transfer,commute_over20,,primary,development_evaluation,3,3,True,0.0002222977687373895,0.002621350063004158,"{""0"":-0.0024570988788913395,""1"":0.00034252843971349645,""2"":0.0027814637453900115}"
E_reconstruction_interaction_vs_R,R,C,transfer,commute_over20,,primary,validation_person_weighted,3,3,True,-0.002166184652013977,0.0009087712127155113,"{""0"":-0.002222983865913797,""1"":-0.0012303460641757136,""2"":-0.00304522402595242}"
E_reconstruction_interaction_vs_S,S,C,transfer,commute_over20,,primary,validation_person_weighted,3,3,True,-0.0013235882922555398,0.0004356726027127491,"{""0"":-0.0015813607917284367,""1"":-0.001568835201489427,""2"":-0.0008205688835487557}"
E_reconstruction_interaction_vs_R,R,C,transfer,commute_over20,,primary,development_evaluation_person_weighted,3,3,True,0.001443222036883333,0.005992723313507192,"{""0"":-0.004591978140446984,""1"":0.0015290987711173987,""2"":0.007392545479979584}"
E_reconstruction_interaction_vs_S,S,C,transfer,commute_over20,,primary,development_evaluation_person_weighted,3,3,True,0.0031099942939163405,0.004641133284785812,"{""0"":-0.0008657097657988055,""1"":0.001985700586614403,""2"":0.008209992060933424}"
E_reconstruction_interaction_vs_R,R,C,transfer,income_binary,,primary,validation,3,3,True,0.0033543675487709055,0.001047748441571212,"{""0"":0.0040428677097846255,""1"":0.002148576730383378,""2"":0.0038716582061447125}"
E_reconstruction_interaction_vs_S,S,C,transfer,income_binary,,primary,validation,3,3,True,0.0012561939837601084,0.002596573954551983,"{""0"":0.004215055384155009,""1"":0.0001963472577532488,""2"":-0.0006428206906279321}"
E_reconstruction_interaction_vs_R,R,C,transfer,income_binary,,primary,development_evaluation,3,3,True,0.0010818495108741815,0.0021133945098545555,"{""0"":-0.000474819379797653,""1"":0.0002326020603000134,""2"":0.0034877658521201838}"
E_reconstruction_interaction_vs_S,S,C,transfer,income_binary,,primary,development_evaluation,3,3,True,-0.0007297964755959008,0.002436745106584555,"{""0"":-0.003506745476690276,""1"":0.0002660682970350159,""2"":0.001051287752867558}"
E_reconstruction_interaction_vs_R,R,C,transfer,income_binary,,primary,validation_person_weighted,3,3,True,0.0038668281124064805,0.0031299984251932683,"{""0"":0.006879682150170208,""1"":0.000631550882528753,""2"":0.00408925130452048}"
E_reconstruction_interaction_vs_S,S,C,transfer,income_binary,,primary,validation_person_weighted,3,3,True,0.0016449185348196282,0.0035301141220672643,"{""0"":0.005352342187469661,""1"":-0.0016760911854747929,""2"":0.0012585046024640167}"
E_reconstruction_interaction_vs_R,R,C,transfer,income_binary,,primary,development_evaluation_person_weighted,3,3,True,-0.00040161273875187015,0.003394096971904272,"{""0"":-0.0005803825751379832,""1"":-0.003702791971830488,""2"":0.003078336330712861}"
E_reconstruction_interaction_vs_S,S,C,transfer,income_binary,,primary,development_evaluation_person_weighted,3,3,True,-0.001925968608090689,0.0024853876052410803,"{""0"":-0.004489251497172775,""1"":-0.0017620646869379586,""2"":0.0004734103598386663}"
E_reconstruction_interaction_vs_R,R,C,transfer,civilian_at_work,,primary,validation,3,3,True,0.001234766400075804,0.0020128004478207045,"{""0"":0.0028532403997811318,""1"":0.0018700957977818011,""2"":-0.0010190369973355207}"
E_reconstruction_interaction_vs_S,S,C,transfer,civilian_at_work,,primary,validation,3,3,True,-0.0006249160728733679,0.0006740586127269277,"{""0"":-0.0009459070944246029,""1"":0.00014964668703215667,""2"":-0.0010784878112276575}"
E_reconstruction_interaction_vs_R,R,C,transfer,civilian_at_work,,primary,development_evaluation,3,3,True,0.0066664590935307895,0.005304686308171269,"{""0"":0.0018559967416182377,""1"":0.012355633904619023,""2"":0.0057877466343551065}"
E_reconstruction_interaction_vs_S,S,C,transfer,civilian_at_work,,primary,development_evaluation,3,3,True,0.004941864905443942,0.0024062493656510724,"{""0"":0.0038534737956140708,""1"":0.007700013848244147,""2"":0.0032721070724736068}"
