unit,seed,release,teacher,target,split,metric,coordinate,value
static,0,E_direct,E,raw,fit,per_coordinate_mse,0,0.6625438797360579
static,0,E_direct,E,raw,fit,per_coordinate_mse,1,0.566728824230196
static,0,E_direct,E,raw,fit,per_coordinate_mse,2,0.673018319504687
static,0,E_direct,E,raw,fit,per_coordinate_mse,3,0.7951085413806447
static,0,E_direct,E,raw,fit,per_coordinate_mse,4,0.6654474659013615
static,0,E_direct,E,raw,fit,per_coordinate_mse,5,0.4472161154338991
static,0,E_direct,E,raw,fit,per_coordinate_mse,6,0.7245000251713609
static,0,E_direct,E,raw,fit,per_coordinate_mse,7,0.8866046842669232
static,0,E_direct,E,raw,fit,per_coordinate_mse,8,0.5157426070326486
static,0,E_direct,E,raw,fit,per_coordinate_mse,9,0.7231433275822218
static,0,E_direct,E,raw,fit,per_coordinate_mse,10,0.2033944783201783
static,0,E_direct,E,raw,fit,per_coordinate_mse,11,0.4913272697585824
static,0,E_direct,E,raw,fit,per_coordinate_mse,12,0.506568852784748
static,0,E_direct,E,raw,fit,per_coordinate_mse,13,0.2944744773265636
static,0,E_direct,E,raw,fit,per_coordinate_mse,14,0.4859309728580238
static,0,E_direct,E,raw,fit,per_coordinate_mse,15,0.34459479493662865
static,0,E_direct,E,raw,fit,prior_per_coordinate_mse,0,1.000000000000006
static,0,E_direct,E,raw,fit,prior_per_coordinate_mse,1,1.0000000000000002
static,0,E_direct,E,raw,fit,prior_per_coordinate_mse,2,0.9999999999999978
static,0,E_direct,E,raw,fit,prior_per_coordinate_mse,3,0.999999999999986
static,0,E_direct,E,raw,fit,prior_per_coordinate_mse,4,1.000000000000003
static,0,E_direct,E,raw,fit,prior_per_coordinate_mse,5,0.9999999999999908
static,0,E_direct,E,raw,fit,prior_per_coordinate_mse,6,0.999999999999999
static,0,E_direct,E,raw,fit,prior_per_coordinate_mse,7,1.0000000000000022
static,0,E_direct,E,raw,fit,prior_per_coordinate_mse,8,0.9999999999999969
static,0,E_direct,E,raw,fit,prior_per_coordinate_mse,9,0.9999999999999991
static,0,E_direct,E,raw,fit,prior_per_coordinate_mse,10,0.9999999999999928
static,0,E_direct,E,raw,fit,prior_per_coordinate_mse,11,1.0000000000000016
static,0,E_direct,E,raw,fit,prior_per_coordinate_mse,12,1.000000000000004
static,0,E_direct,E,raw,fit,prior_per_coordinate_mse,13,0.999999999999999
static,0,E_direct,E,raw,fit,prior_per_coordinate_mse,14,1.000000000000009
static,0,E_direct,E,raw,fit,prior_per_coordinate_mse,15,1.000000000000005
static,0,E_direct,E,raw,fit,target_variance_per_coordinate,0,1.000000000000006
static,0,E_direct,E,raw,fit,target_variance_per_coordinate,1,1.0000000000000002
static,0,E_direct,E,raw,fit,target_variance_per_coordinate,2,0.9999999999999978
static,0,E_direct,E,raw,fit,target_variance_per_coordinate,3,0.999999999999986
static,0,E_direct,E,raw,fit,target_variance_per_coordinate,4,1.000000000000003
static,0,E_direct,E,raw,fit,target_variance_per_coordinate,5,0.9999999999999908
static,0,E_direct,E,raw,fit,target_variance_per_coordinate,6,0.999999999999999
static,0,E_direct,E,raw,fit,target_variance_per_coordinate,7,1.0000000000000022
static,0,E_direct,E,raw,fit,target_variance_per_coordinate,8,0.9999999999999969
static,0,E_direct,E,raw,fit,target_variance_per_coordinate,9,0.9999999999999991
static,0,E_direct,E,raw,fit,target_variance_per_coordinate,10,0.9999999999999928
static,0,E_direct,E,raw,fit,target_variance_per_coordinate,11,1.0000000000000016
static,0,E_direct,E,raw,fit,target_variance_per_coordinate,12,1.000000000000004
static,0,E_direct,E,raw,fit,target_variance_per_coordinate,13,0.999999999999999
static,0,E_direct,E,raw,fit,target_variance_per_coordinate,14,1.000000000000009
static,0,E_direct,E,raw,fit,target_variance_per_coordinate,15,1.000000000000005
static,0,E_direct,E,raw,fit,per_coordinate_mse_over_prior,0,0.6625438797360539
static,0,E_direct,E,raw,fit,per_coordinate_mse_over_prior,1,0.5667288242301959
static,0,E_direct,E,raw,fit,per_coordinate_mse_over_prior,2,0.6730183195046885
static,0,E_direct,E,raw,fit,per_coordinate_mse_over_prior,3,0.7951085413806558
static,0,E_direct,E,raw,fit,per_coordinate_mse_over_prior,4,0.6654474659013594
static,0,E_direct,E,raw,fit,per_coordinate_mse_over_prior,5,0.4472161154339032
static,0,E_direct,E,raw,fit,per_coordinate_mse_over_prior,6,0.7245000251713617
static,0,E_direct,E,raw,fit,per_coordinate_mse_over_prior,7,0.8866046842669212
static,0,E_direct,E,raw,fit,per_coordinate_mse_over_prior,8,0.5157426070326502
static,0,E_direct,E,raw,fit,per_coordinate_mse_over_prior,9,0.7231433275822224
static,0,E_direct,E,raw,fit,per_coordinate_mse_over_prior,10,0.20339447832017976
static,0,E_direct,E,raw,fit,per_coordinate_mse_over_prior,11,0.4913272697585816
static,0,E_direct,E,raw,fit,per_coordinate_mse_over_prior,12,0.506568852784746
static,0,E_direct,E,raw,fit,per_coordinate_mse_over_prior,13,0.2944744773265639
static,0,E_direct,E,raw,fit,per_coordinate_mse_over_prior,14,0.48593097285801934
static,0,E_direct,E,raw,fit,per_coordinate_mse_over_prior,15,0.34459479493662687
static,0,E_direct,E,raw,fit,per_coordinate_ratio_defined,0,True
static,0,E_direct,E,raw,fit,per_coordinate_ratio_defined,1,True
static,0,E_direct,E,raw,fit,per_coordinate_ratio_defined,2,True
static,0,E_direct,E,raw,fit,per_coordinate_ratio_defined,3,True
static,0,E_direct,E,raw,fit,per_coordinate_ratio_defined,4,True
static,0,E_direct,E,raw,fit,per_coordinate_ratio_defined,5,True
static,0,E_direct,E,raw,fit,per_coordinate_ratio_defined,6,True
static,0,E_direct,E,raw,fit,per_coordinate_ratio_defined,7,True
static,0,E_direct,E,raw,fit,per_coordinate_ratio_defined,8,True
static,0,E_direct,E,raw,fit,per_coordinate_ratio_defined,9,True
static,0,E_direct,E,raw,fit,per_coordinate_ratio_defined,10,True
static,0,E_direct,E,raw,fit,per_coordinate_ratio_defined,11,True
static,0,E_direct,E,raw,fit,per_coordinate_ratio_defined,12,True
static,0,E_direct,E,raw,fit,per_coordinate_ratio_defined,13,True
static,0,E_direct,E,raw,fit,per_coordinate_ratio_defined,14,True
static,0,E_direct,E,raw,fit,per_coordinate_ratio_defined,15,True
static,0,E_direct,E,raw,source_validation,per_coordinate_mse,0,0.7107959099456319
static,0,E_direct,E,raw,source_validation,per_coordinate_mse,1,0.5768833354574301
static,0,E_direct,E,raw,source_validation,per_coordinate_mse,2,0.6795374870164255
static,0,E_direct,E,raw,source_validation,per_coordinate_mse,3,0.7777680722839383
static,0,E_direct,E,raw,source_validation,per_coordinate_mse,4,0.6825761660618896
static,0,E_direct,E,raw,source_validation,per_coordinate_mse,5,0.44420778675547
static,0,E_direct,E,raw,source_validation,per_coordinate_mse,6,0.7095646239139571
static,0,E_direct,E,raw,source_validation,per_coordinate_mse,7,0.917150213799372
static,0,E_direct,E,raw,source_validation,per_coordinate_mse,8,0.499893842550247
static,0,E_direct,E,raw,source_validation,per_coordinate_mse,9,0.7145929424053127
static,0,E_direct,E,raw,source_validation,per_coordinate_mse,10,0.20636165633300804
static,0,E_direct,E,raw,source_validation,per_coordinate_mse,11,0.4977664607703535
static,0,E_direct,E,raw,source_validation,per_coordinate_mse,12,0.5107394388424298
static,0,E_direct,E,raw,source_validation,per_coordinate_mse,13,0.2900536510567761
static,0,E_direct,E,raw,source_validation,per_coordinate_mse,14,0.48605095391554787
static,0,E_direct,E,raw,source_validation,per_coordinate_mse,15,0.3624955407927257
static,0,E_direct,E,raw,source_validation,prior_per_coordinate_mse,0,1.0375578121569773
static,0,E_direct,E,raw,source_validation,prior_per_coordinate_mse,1,1.0351422418203997
static,0,E_direct,E,raw,source_validation,prior_per_coordinate_mse,2,0.9750677344807709
static,0,E_direct,E,raw,source_validation,prior_per_coordinate_mse,3,0.9852156941423459
static,0,E_direct,E,raw,source_validation,prior_per_coordinate_mse,4,1.0449103277810163
static,0,E_direct,E,raw,source_validation,prior_per_coordinate_mse,5,1.0149874253989823
static,0,E_direct,E,raw,source_validation,prior_per_coordinate_mse,6,0.9938024083599571
static,0,E_direct,E,raw,source_validation,prior_per_coordinate_mse,7,1.0459225809466342
