comparison,left,right,role,target,audit_budget,selector,split,n_seeds,n_defined,complete,mean,sample_sd,per_seed
E_minus_R,E_rho0p1_C,R_rho0p1_C,transfer,same_residence,,primary,validation,3,3,True,0.005837731612524748,0.0044984711440819985,"{""0"":0.008512936680837635,""1"":0.0006441336146789101,""2"":0.008356124542057697}"
E_minus_R,E_rho0p1_C,R_rho0p1_C,transfer,same_residence,,primary,development_evaluation,3,3,True,0.00874074353560587,0.0004970083780816016,"{""0"":0.009256488451927947,""1"":0.008700868127537842,""2"":0.00826487402735182}"
E_minus_R,E_rho0p1_C,R_rho0p1_C,transfer,same_residence,,primary,validation_person_weighted,3,3,True,0.005644787599780894,0.0076441285835286265,"{""0"":0.01121990741462231,""1"":-0.003069089130856517,""2"":0.008783544515576891}"
E_minus_R,E_rho0p1_C,R_rho0p1_C,transfer,same_residence,,primary,development_evaluation_person_weighted,3,3,True,0.0058261691548171885,0.00037674298777408806,"{""0"":0.005393092259459942,""1"":0.006007090459604458,""2"":0.006078324745387165}"
E_minus_R,E_rho0p1_C,R_rho0p1_C,transfer,commute_over20,,primary,validation,3,3,True,0.003926645415014603,0.003919993255540085,"{""0"":0.004860835266009111,""1"":-0.0003760477839210852,""2"":0.007295148762955783}"
E_minus_R,E_rho0p1_C,R_rho0p1_C,transfer,commute_over20,,primary,development_evaluation,3,3,True,-0.0011679895370357112,0.004258439757282644,"{""0"":0.0026274915882233962,""1"":-0.00035832332615359785,""2"":-0.005773136873176932}"
E_minus_R,E_rho0p1_C,R_rho0p1_C,transfer,commute_over20,,primary,validation_person_weighted,3,3,True,0.005869042877262938,0.00452018032233663,"{""0"":0.008726658098076712,""1"":0.0006577021759539559,""2"":0.008222768357758148}"
E_minus_R,E_rho0p1_C,R_rho0p1_C,transfer,commute_over20,,primary,development_evaluation_person_weighted,3,3,True,-0.002435247670491044,0.006441253364389459,"{""0"":0.004496829323560991,""1"":-0.0035668748250884397,""2"":-0.008235697509945683}"
E_minus_R,E_rho0p1_C,R_rho0p1_C,transfer,income_binary,,primary,validation,3,3,True,0.0010324377137846212,0.002604259756410447,"{""0"":-0.001480118755584181,""1"":0.0008578197712312274,""2"":0.003719612125706817}"
E_minus_R,E_rho0p1_C,R_rho0p1_C,transfer,income_binary,,primary,development_evaluation,3,3,True,-0.002043186173083004,0.0032221296083405505,"{""0"":0.0011916162790900908,""1"":-0.005252491615668153,""2"":-0.0020686831826709495}"
E_minus_R,E_rho0p1_C,R_rho0p1_C,transfer,income_binary,,primary,validation_person_weighted,3,3,True,-0.0006780219369327267,0.0033756878083098817,"{""0"":-0.002681098116928793,""1"":-0.0025723485782405686,""2"":0.0032193808843711813}"
E_minus_R,E_rho0p1_C,R_rho0p1_C,transfer,income_binary,,primary,development_evaluation_person_weighted,3,3,True,-0.0015970089615203003,0.0010706443242901988,"{""0"":-0.0016792719084136043,""1"":-0.00048760604559699994,""2"":-0.0026241489305502963}"
E_minus_R,E_rho0p1_C,R_rho0p1_C,transfer,civilian_at_work,,primary,validation,3,3,True,0.005193952612951469,0.001486358126680777,"{""0"":0.003943587999372833,""1"":0.004800949410816824,""2"":0.00683732042866475}"
