seed,interface,J_beta,Iplus_beta,J_condition,Iplus_condition,attribute,weighting,scope,panel,delta,close120,close360,directional120,directional360,gain_difference120,gain_difference360
0,F,0.1,0.025,F_J_b0p1,F_Iplus_b0p025,RAC1P,unweighted,expanded_independent,source_only,0.002,False,True,False,True,0.010121078495174407,-0.010177697358196625
0,F,0.1,0.05,F_J_b0p1,F_Iplus_b0p05,RAC1P,unweighted,expanded_independent,source_only,0.002,False,True,False,True,0.01347301438673032,-0.006825761466640712
0,F,0.1,0.05,F_J_b0p1,F_Iplus_b0p05,RAC1P,unweighted,expanded_independent,residential_transfer,0.002,False,True,False,True,0.01347301438673032,-0.006825761466640712
0,F,0.1,0.05,F_J_b0p1,F_Iplus_b0p05,RAC1P,unweighted,expanded_independent,source_commute,0.002,False,True,False,True,0.01347301438673032,-0.006825761466640712
0,F,0.1,0.05,F_J_b0p1,F_Iplus_b0p05,RAC1P,unweighted,expanded_independent,full_authorized,0.002,False,True,False,True,0.01347301438673032,-0.006825761466640712
0,F,0.1,0.1,F_J_b0p1,F_Iplus_b0p1,RAC1P,unweighted,expanded_independent,source_only,0.002,False,True,False,True,0.016071223703153725,-0.004227552150217306
0,F,0.1,0.1,F_J_b0p1,F_Iplus_b0p1,RAC1P,unweighted,expanded_independent,residential_transfer,0.002,False,True,False,True,0.016071223703153725,-0.004227552150217306
0,F,0.1,0.1,F_J_b0p1,F_Iplus_b0p1,RAC1P,person_weighted,expanded_independent,source_only,0.001,False,True,False,True,0.013271960405414784,-0.0016805265483565979
0,F,0.1,0.1,F_J_b0p1,F_Iplus_b0p1,RAC1P,person_weighted,expanded_independent,source_only,0.002,False,True,False,True,0.013271960405414784,-0.0016805265483565979
0,F,0.1,0.1,F_J_b0p1,F_Iplus_b0p1,RAC1P,person_weighted,expanded_independent,residential_transfer,0.001,False,False,False,True,0.013271960405414784,-0.0016805265483565979
0,F,0.1,0.1,F_J_b0p1,F_Iplus_b0p1,RAC1P,person_weighted,expanded_independent,residential_transfer,0.002,False,True,False,True,0.013271960405414784,-0.0016805265483565979
0,F,0.1,0.1,F_J_b0p1,F_Iplus_b0p1,RAC1P,person_weighted,expanded_independent,source_commute,0.002,False,True,False,True,0.013271960405414784,-0.0016805265483565979
0,F,0.1,0.1,F_J_b0p1,F_Iplus_b0p1,RAC1P,person_weighted,expanded_independent,full_authorized,0.002,False,True,False,True,0.013271960405414784,-0.0016805265483565979
0,P,0.05,0.025,P_J_b0p05,P_Iplus_b0p025,RAC1P,unweighted,standard_independent,source_only,0.001,True,False,True,False,-0.00274130801529604,0.00019655536759799475
0,P,0.05,0.025,P_J_b0p05,P_Iplus_b0p025,RAC1P,unweighted,standard_independent,source_only,0.002,True,False,True,False,-0.00274130801529604,0.00019655536759799475
0,P,0.05,0.025,P_J_b0p05,P_Iplus_b0p025,RAC1P,unweighted,standard_independent,residential_transfer,0.001,True,False,True,False,-0.00274130801529604,0.00019655536759799475
0,P,0.05,0.025,P_J_b0p05,P_Iplus_b0p025,RAC1P,unweighted,standard_independent,residential_transfer,0.002,True,False,True,False,-0.00274130801529604,0.00019655536759799475
0,P,0.05,0.025,P_J_b0p05,P_Iplus_b0p025,RAC1P,unweighted,standard_independent,source_commute,0.001,True,False,True,False,-0.00274130801529604,0.00019655536759799475
0,P,0.05,0.025,P_J_b0p05,P_Iplus_b0p025,RAC1P,unweighted,standard_independent,source_commute,0.002,True,False,True,False,-0.00274130801529604,0.00019655536759799475
0,P,0.05,0.025,P_J_b0p05,P_Iplus_b0p025,RAC1P,unweighted,standard_independent,full_authorized,0.001,True,False,True,False,-0.00274130801529604,0.00019655536759799475
0,P,0.05,0.025,P_J_b0p05,P_Iplus_b0p025,RAC1P,unweighted,standard_independent,full_authorized,0.002,True,False,True,False,-0.00274130801529604,0.00019655536759799475
0,P,0.05,0.025,P_J_b0p05,P_Iplus_b0p025,RAC1P,unweighted,expanded_independent,source_only,0.001,True,False,True,False,-0.00274130801529604,0.00019655536759799475
0,P,0.05,0.025,P_J_b0p05,P_Iplus_b0p025,RAC1P,unweighted,expanded_independent,source_only,0.002,True,False,True,False,-0.00274130801529604,0.00019655536759799475
0,P,0.05,0.025,P_J_b0p05,P_Iplus_b0p025,RAC1P,unweighted,expanded_independent,residential_transfer,0.001,True,False,True,False,-0.00274130801529604,0.00019655536759799475
0,P,0.05,0.025,P_J_b0p05,P_Iplus_b0p025,RAC1P,unweighted,expanded_independent,residential_transfer,0.002,True,False,True,False,-0.00274130801529604,0.00019655536759799475
0,P,0.05,0.025,P_J_b0p05,P_Iplus_b0p025,RAC1P,unweighted,expanded_independent,source_commute,0.001,True,False,True,False,-0.00274130801529604,0.00019655536759799475
0,P,0.05,0.025,P_J_b0p05,P_Iplus_b0p025,RAC1P,unweighted,expanded_independent,source_commute,0.002,True,False,True,False,-0.00274130801529604,0.00019655536759799475
0,P,0.05,0.025,P_J_b0p05,P_Iplus_b0p025,RAC1P,unweighted,expanded_independent,full_authorized,0.001,True,False,True,False,-0.00274130801529604,0.00019655536759799475
0,P,0.05,0.025,P_J_b0p05,P_Iplus_b0p025,RAC1P,unweighted,expanded_independent,full_authorized,0.002,True,False,True,False,-0.00274130801529604,0.00019655536759799475
0,P,0.05,0.025,P_J_b0p05,P_Iplus_b0p025,RAC1P,person_weighted,standard_independent,source_only,0.001,True,False,True,False,-0.001598199225577135,0.0017026170522140838
0,P,0.05,0.025,P_J_b0p05,P_Iplus_b0p025,RAC1P,person_weighted,standard_independent,source_only,0.002,True,False,True,False,-0.001598199225577135,0.0017026170522140838
0,P,0.05,0.025,P_J_b0p05,P_Iplus_b0p025,RAC1P,person_weighted,standard_independent,residential_transfer,0.001,True,False,True,False,-0.001598199225577135,0.0017026170522140838
