seed,condition,interface,family,beta,reused,training_record,training_record_sha256,loaded_base_epochs,loaded_observer_warmup_epochs,new_source_epochs,new_observer_passes,final_inherited_source_exposure_per_row,final_observer_exposure_per_row,forward_parameters,counts,source_valid_label_exposures,observer_valid_label_exposures,selected_epoch,new_warmup_epochs,new_continuation_optimizer_steps,new_observer_optimizer_steps
0,F_I,F,I,0.0,True,results/redesign_20260908_acs_coalition_v1/seed_0/training/training.json,fb0428eae01495fddb2084f3158a3206cc66418a9980ad4695c11395d52ac6f1,60,20,0,0,140,260,6355,"{""mapper_optimizer_steps"":5880,""adversary_optimizer_steps"":10920}","{""income_binary"":1471820,""civilian_at_work"":1471820,""public_coverage"":1471820}","{""A__public_coverage"":2733380,""A__SEX"":2733380,""A__RAC1P"":2733380,""B__income_binary"":2733380,""B__civilian_at_work"":2733380,""B__SEX"":2733380,""B__RAC1P"":2733380,""AB__SEX"":2733380,""AB__RAC1P"":2733380}",80,0,0,0
0,F_Iplus_b0p025,F,Iplus,0.025,False,results/redesign_20260909_acs_coalition_strength_v1/seed_0/training/F_Iplus_b0p025/training.json,578397f4700de11792e0da88b442d65000ddb9dfa344c7ea83c27ba35f72428c,60,20,80,240,140,260,6355,"{""mapper_optimizer_steps"":5880,""adversary_optimizer_steps"":10920}","{""income_binary"":1471820,""civilian_at_work"":1471820,""public_coverage"":1471820}","{""A__public_coverage"":2733380,""A__SEX"":2733380,""A__RAC1P"":2733380,""B__income_binary"":2733380,""B__civilian_at_work"":2733380,""B__SEX"":2733380,""B__RAC1P"":2733380,""AB__SEX"":2733380,""AB__RAC1P"":2733380}",80,0,3360,10080
0,F_J_b0p025,F,J,0.025,False,results/redesign_20260909_acs_coalition_strength_v1/seed_0/training/F_J_b0p025/training.json,13ab2cc4b7fe665739d09ffed22c0625b5c530d7bf3268b8190a4dab1dcfb3c3,60,20,80,240,140,260,6355,"{""mapper_optimizer_steps"":5880,""adversary_optimizer_steps"":10920}","{""income_binary"":1471820,""civilian_at_work"":1471820,""public_coverage"":1471820}","{""A__public_coverage"":2733380,""A__SEX"":2733380,""A__RAC1P"":2733380,""B__income_binary"":2733380,""B__civilian_at_work"":2733380,""B__SEX"":2733380,""B__RAC1P"":2733380,""AB__SEX"":2733380,""AB__RAC1P"":2733380}",80,0,3360,10080
0,F_Iplus_b0p05,F,Iplus,0.05,False,results/redesign_20260909_acs_coalition_strength_v1/seed_0/training/F_Iplus_b0p05/training.json,0e20321762475fb9e7b07a4ac21445fbb1ae880e931e53de250a7b349211b16b,60,20,80,240,140,260,6355,"{""mapper_optimizer_steps"":5880,""adversary_optimizer_steps"":10920}","{""income_binary"":1471820,""civilian_at_work"":1471820,""public_coverage"":1471820}","{""A__public_coverage"":2733380,""A__SEX"":2733380,""A__RAC1P"":2733380,""B__income_binary"":2733380,""B__civilian_at_work"":2733380,""B__SEX"":2733380,""B__RAC1P"":2733380,""AB__SEX"":2733380,""AB__RAC1P"":2733380}",80,0,3360,10080
0,F_J_b0p05,F,J,0.05,False,results/redesign_20260909_acs_coalition_strength_v1/seed_0/training/F_J_b0p05/training.json,cb01d6218c41bba6e255db135650050a1dc3c44af474c476f7bc163a309cd114,60,20,80,240,140,260,6355,"{""mapper_optimizer_steps"":5880,""adversary_optimizer_steps"":10920}","{""income_binary"":1471820,""civilian_at_work"":1471820,""public_coverage"":1471820}","{""A__public_coverage"":2733380,""A__SEX"":2733380,""A__RAC1P"":2733380,""B__income_binary"":2733380,""B__civilian_at_work"":2733380,""B__SEX"":2733380,""B__RAC1P"":2733380,""AB__SEX"":2733380,""AB__RAC1P"":2733380}",80,0,3360,10080
0,F_Iplus_b0p1,F,Iplus,0.1,True,results/redesign_20260908_acs_coalition_v1/seed_0/training/training.json,fb0428eae01495fddb2084f3158a3206cc66418a9980ad4695c11395d52ac6f1,60,20,0,0,140,260,6355,"{""mapper_optimizer_steps"":5880,""adversary_optimizer_steps"":10920}","{""income_binary"":1471820,""civilian_at_work"":1471820,""public_coverage"":1471820}","{""A__public_coverage"":2733380,""A__SEX"":2733380,""A__RAC1P"":2733380,""B__income_binary"":2733380,""B__civilian_at_work"":2733380,""B__SEX"":2733380,""B__RAC1P"":2733380,""AB__SEX"":2733380,""AB__RAC1P"":2733380}",80,0,0,0
0,F_J_b0p1,F,J,0.1,True,results/redesign_20260908_acs_coalition_v1/seed_0/training/training.json,fb0428eae01495fddb2084f3158a3206cc66418a9980ad4695c11395d52ac6f1,60,20,0,0,140,260,6355,"{""mapper_optimizer_steps"":5880,""adversary_optimizer_steps"":10920}","{""income_binary"":1471820,""civilian_at_work"":1471820,""public_coverage"":1471820}","{""A__public_coverage"":2733380,""A__SEX"":2733380,""A__RAC1P"":2733380,""B__income_binary"":2733380,""B__civilian_at_work"":2733380,""B__SEX"":2733380,""B__RAC1P"":2733380,""AB__SEX"":2733380,""AB__RAC1P"":2733380}",80,0,0,0
0,F_Iplus_b0p2,F,Iplus,0.2,False,results/redesign_20260909_acs_coalition_strength_v1/seed_0/training/F_Iplus_b0p2/training.json,7d80894f97cefe4e5241c2c08af5c255a5f566a1a220874b39b40561eea1514e,60,20,80,240,140,260,6355,"{""mapper_optimizer_steps"":5880,""adversary_optimizer_steps"":10920}","{""income_binary"":1471820,""civilian_at_work"":1471820,""public_coverage"":1471820}","{""A__public_coverage"":2733380,""A__SEX"":2733380,""A__RAC1P"":2733380,""B__income_binary"":2733380,""B__civilian_at_work"":2733380,""B__SEX"":2733380,""B__RAC1P"":2733380,""AB__SEX"":2733380,""AB__RAC1P"":2733380}",80,0,3360,10080
0,F_J_b0p2,F,J,0.2,False,results/redesign_20260909_acs_coalition_strength_v1/seed_0/training/F_J_b0p2/training.json,71b32bdea0b4759bf33c61f7cb8521edf737c6bc656af140defd1e1758b3221e,60,20,80,240,140,260,6355,"{""mapper_optimizer_steps"":5880,""adversary_optimizer_steps"":10920}","{""income_binary"":1471820,""civilian_at_work"":1471820,""public_coverage"":1471820}","{""A__public_coverage"":2733380,""A__SEX"":2733380,""A__RAC1P"":2733380,""B__income_binary"":2733380,""B__civilian_at_work"":2733380,""B__SEX"":2733380,""B__RAC1P"":2733380,""AB__SEX"":2733380,""AB__RAC1P"":2733380}",80,0,3360,10080
0,P_I,P,I,0.0,True,results/redesign_20260908_acs_coalition_v1/seed_0/training/training.json,fb0428eae01495fddb2084f3158a3206cc66418a9980ad4695c11395d52ac6f1,60,20,0,0,140,260,6355,"{""mapper_optimizer_steps"":5880,""adversary_optimizer_steps"":10920}","{""income_binary"":1471820,""civilian_at_work"":1471820,""public_coverage"":1471820}","{""A__public_coverage"":2733380,""A__SEX"":2733380,""A__RAC1P"":2733380,""B__income_binary"":2733380,""B__civilian_at_work"":2733380,""B__SEX"":2733380,""B__RAC1P"":2733380,""AB__SEX"":2733380,""AB__RAC1P"":2733380}",80,0,0,0
0,P_Iplus_b0p025,P,Iplus,0.025,False,results/redesign_20260909_acs_coalition_strength_v1/seed_0/training/P_Iplus_b0p025/training.json,3fff6fdbf880f0235b42089a8cffd807cc5d3ae7106cab4959c76e06c3336aaf,60,20,80,240,140,260,6355,"{""mapper_optimizer_steps"":5880,""adversary_optimizer_steps"":10920}","{""income_binary"":1471820,""civilian_at_work"":1471820,""public_coverage"":1471820}","{""A__public_coverage"":2733380,""A__SEX"":2733380,""A__RAC1P"":2733380,""B__income_binary"":2733380,""B__civilian_at_work"":2733380,""B__SEX"":2733380,""B__RAC1P"":2733380,""AB__SEX"":2733380,""AB__RAC1P"":2733380}",80,0,3360,10080
0,P_J_b0p025,P,J,0.025,False,results/redesign_20260909_acs_coalition_strength_v1/seed_0/training/P_J_b0p025/training.json,e04de890953a0e776b122188703c321775f833764db4869c23c5b44075485530,60,20,80,240,140,260,6355,"{""mapper_optimizer_steps"":5880,""adversary_optimizer_steps"":10920}","{""income_binary"":1471820,""civilian_at_work"":1471820,""public_coverage"":1471820}","{""A__public_coverage"":2733380,""A__SEX"":2733380,""A__RAC1P"":2733380,""B__income_binary"":2733380,""B__civilian_at_work"":2733380,""B__SEX"":2733380,""B__RAC1P"":2733380,""AB__SEX"":2733380,""AB__RAC1P"":2733380}",80,0,3360,10080
0,P_Iplus_b0p05,P,Iplus,0.05,False,results/redesign_20260909_acs_coalition_strength_v1/seed_0/training/P_Iplus_b0p05/training.json,6f44bb37a1d516e89025f328d32d4b049986a08326de66a5af8dc011c406e1e5,60,20,80,240,140,260,6355,"{""mapper_optimizer_steps"":5880,""adversary_optimizer_steps"":10920}","{""income_binary"":1471820,""civilian_at_work"":1471820,""public_coverage"":1471820}","{""A__public_coverage"":2733380,""A__SEX"":2733380,""A__RAC1P"":2733380,""B__income_binary"":2733380,""B__civilian_at_work"":2733380,""B__SEX"":2733380,""B__RAC1P"":2733380,""AB__SEX"":2733380,""AB__RAC1P"":2733380}",80,0,3360,10080
0,P_J_b0p05,P,J,0.05,False,results/redesign_20260909_acs_coalition_strength_v1/seed_0/training/P_J_b0p05/training.json,5180575a4ab120d40a3c5c35b300b0f544e55f4def5f892fabe829e53774b0b9,60,20,80,240,140,260,6355,"{""mapper_optimizer_steps"":5880,""adversary_optimizer_steps"":10920}","{""income_binary"":1471820,""civilian_at_work"":1471820,""public_coverage"":1471820}","{""A__public_coverage"":2733380,""A__SEX"":2733380,""A__RAC1P"":2733380,""B__income_binary"":2733380,""B__civilian_at_work"":2733380,""B__SEX"":2733380,""B__RAC1P"":2733380,""AB__SEX"":2733380,""AB__RAC1P"":2733380}",80,0,3360,10080
0,P_Iplus_b0p1,P,Iplus,0.1,True,results/redesign_20260908_acs_coalition_v1/seed_0/training/training.json,fb0428eae01495fddb2084f3158a3206cc66418a9980ad4695c11395d52ac6f1,60,20,0,0,140,260,6355,"{""mapper_optimizer_steps"":5880,""adversary_optimizer_steps"":10920}","{""income_binary"":1471820,""civilian_at_work"":1471820,""public_coverage"":1471820}","{""A__public_coverage"":2733380,""A__SEX"":2733380,""A__RAC1P"":2733380,""B__income_binary"":2733380,""B__civilian_at_work"":2733380,""B__SEX"":2733380,""B__RAC1P"":2733380,""AB__SEX"":2733380,""AB__RAC1P"":2733380}",80,0,0,0
0,P_J_b0p1,P,J,0.1,True,results/redesign_20260908_acs_coalition_v1/seed_0/training/training.json,fb0428eae01495fddb2084f3158a3206cc66418a9980ad4695c11395d52ac6f1,60,20,0,0,140,260,6355,"{""mapper_optimizer_steps"":5880,""adversary_optimizer_steps"":10920}","{""income_binary"":1471820,""civilian_at_work"":1471820,""public_coverage"":1471820}","{""A__public_coverage"":2733380,""A__SEX"":2733380,""A__RAC1P"":2733380,""B__income_binary"":2733380,""B__civilian_at_work"":2733380,""B__SEX"":2733380,""B__RAC1P"":2733380,""AB__SEX"":2733380,""AB__RAC1P"":2733380}",80,0,0,0
0,P_Iplus_b0p2,P,Iplus,0.2,False,results/redesign_20260909_acs_coalition_strength_v1/seed_0/training/P_Iplus_b0p2/training.json,7596454e080890bf154184e71843e15f3df5072a463e3e1990dc072690690928,60,20,80,240,140,260,6355,"{""mapper_optimizer_steps"":5880,""adversary_optimizer_steps"":10920}","{""income_binary"":1471820,""civilian_at_work"":1471820,""public_coverage"":1471820}","{""A__public_coverage"":2733380,""A__SEX"":2733380,""A__RAC1P"":2733380,""B__income_binary"":2733380,""B__civilian_at_work"":2733380,""B__SEX"":2733380,""B__RAC1P"":2733380,""AB__SEX"":2733380,""AB__RAC1P"":2733380}",80,0,3360,10080
