seed,interface,J_beta,Iplus_beta,J_condition,Iplus_condition,weighting,scope,audit_budget,utility_differences,audit_gain_differences,components_worse_for_J,components_better_for_J,missing_components,J_dominates_Iplus_numeric,Iplus_dominates_J_numeric,roundoff_tolerance,delta_used_for_dominance,assessment_scope
0,F,0,0,F_I,F_I,unweighted,standard_independent,120,"{""income_binary"":0.0,""civilian_at_work"":0.0,""public_coverage"":0.0,""same_residence"":0.0,""commute_over20"":0.0}","{""A/public_coverage"":0.0,""A/commute_over20"":0.0,""A/SEX"":0.0,""A/RAC1P"":0.0,""B/income_binary"":0.0,""B/civilian_at_work"":0.0,""B/same_residence"":0.0,""B/SEX"":0.0,""B/RAC1P"":0.0,""AB/SEX"":0.0,""AB/RAC1P"":0.0}",[],[],[],False,False,1e-12,False,complete numerical utility/recovery vector; no all-target or race-support certificate
0,F,0,0,F_I,F_I,unweighted,standard_independent,360,"{""income_binary"":0.0,""civilian_at_work"":0.0,""public_coverage"":0.0,""same_residence"":0.0,""commute_over20"":0.0}","{""A/public_coverage"":0.0,""A/commute_over20"":0.0,""A/SEX"":0.0,""A/RAC1P"":0.0,""B/income_binary"":0.0,""B/civilian_at_work"":0.0,""B/same_residence"":0.0,""B/SEX"":0.0,""B/RAC1P"":0.0,""AB/SEX"":0.0,""AB/RAC1P"":0.0}",[],[],[],False,False,1e-12,False,complete numerical utility/recovery vector; no all-target or race-support certificate
0,F,0,0,F_I,F_I,unweighted,expanded_independent,120,"{""income_binary"":0.0,""civilian_at_work"":0.0,""public_coverage"":0.0,""same_residence"":0.0,""commute_over20"":0.0}","{""A/public_coverage"":0.0,""A/commute_over20"":0.0,""A/SEX"":0.0,""A/RAC1P"":0.0,""B/income_binary"":0.0,""B/civilian_at_work"":0.0,""B/same_residence"":0.0,""B/SEX"":0.0,""B/RAC1P"":0.0,""AB/SEX"":0.0,""AB/RAC1P"":0.0}",[],[],[],False,False,1e-12,False,complete numerical utility/recovery vector; no all-target or race-support certificate
0,F,0,0,F_I,F_I,unweighted,expanded_independent,360,"{""income_binary"":0.0,""civilian_at_work"":0.0,""public_coverage"":0.0,""same_residence"":0.0,""commute_over20"":0.0}","{""A/public_coverage"":0.0,""A/commute_over20"":0.0,""A/SEX"":0.0,""A/RAC1P"":0.0,""B/income_binary"":0.0,""B/civilian_at_work"":0.0,""B/same_residence"":0.0,""B/SEX"":0.0,""B/RAC1P"":0.0,""AB/SEX"":0.0,""AB/RAC1P"":0.0}",[],[],[],False,False,1e-12,False,complete numerical utility/recovery vector; no all-target or race-support certificate
0,F,0,0,F_I,F_I,unweighted,expanded_catchup,120,"{""income_binary"":0.0,""civilian_at_work"":0.0,""public_coverage"":0.0,""same_residence"":0.0,""commute_over20"":0.0}","{""A/public_coverage"":0.0,""A/commute_over20"":0.0,""A/SEX"":0.0,""A/RAC1P"":0.0,""B/income_binary"":0.0,""B/civilian_at_work"":0.0,""B/same_residence"":0.0,""B/SEX"":0.0,""B/RAC1P"":0.0,""AB/SEX"":0.0,""AB/RAC1P"":0.0}",[],[],[],False,False,1e-12,False,complete numerical utility/recovery vector; no all-target or race-support certificate
0,F,0,0,F_I,F_I,unweighted,expanded_catchup,360,"{""income_binary"":0.0,""civilian_at_work"":0.0,""public_coverage"":0.0,""same_residence"":0.0,""commute_over20"":0.0}","{""A/public_coverage"":0.0,""A/commute_over20"":0.0,""A/SEX"":0.0,""A/RAC1P"":0.0,""B/income_binary"":0.0,""B/civilian_at_work"":0.0,""B/same_residence"":0.0,""B/SEX"":0.0,""B/RAC1P"":0.0,""AB/SEX"":0.0,""AB/RAC1P"":0.0}",[],[],[],False,False,1e-12,False,complete numerical utility/recovery vector; no all-target or race-support certificate
0,F,0,0,F_I,F_I,person_weighted,standard_independent,120,"{""income_binary"":0.0,""civilian_at_work"":0.0,""public_coverage"":0.0,""same_residence"":0.0,""commute_over20"":0.0}","{""A/public_coverage"":0.0,""A/commute_over20"":0.0,""A/SEX"":0.0,""A/RAC1P"":0.0,""B/income_binary"":0.0,""B/civilian_at_work"":0.0,""B/same_residence"":0.0,""B/SEX"":0.0,""B/RAC1P"":0.0,""AB/SEX"":0.0,""AB/RAC1P"":0.0}",[],[],[],False,False,1e-12,False,complete numerical utility/recovery vector; no all-target or race-support certificate
0,F,0,0,F_I,F_I,person_weighted,standard_independent,360,"{""income_binary"":0.0,""civilian_at_work"":0.0,""public_coverage"":0.0,""same_residence"":0.0,""commute_over20"":0.0}","{""A/public_coverage"":0.0,""A/commute_over20"":0.0,""A/SEX"":0.0,""A/RAC1P"":0.0,""B/income_binary"":0.0,""B/civilian_at_work"":0.0,""B/same_residence"":0.0,""B/SEX"":0.0,""B/RAC1P"":0.0,""AB/SEX"":0.0,""AB/RAC1P"":0.0}",[],[],[],False,False,1e-12,False,complete numerical utility/recovery vector; no all-target or race-support certificate
0,F,0,0,F_I,F_I,person_weighted,expanded_independent,120,"{""income_binary"":0.0,""civilian_at_work"":0.0,""public_coverage"":0.0,""same_residence"":0.0,""commute_over20"":0.0}","{""A/public_coverage"":0.0,""A/commute_over20"":0.0,""A/SEX"":0.0,""A/RAC1P"":0.0,""B/income_binary"":0.0,""B/civilian_at_work"":0.0,""B/same_residence"":0.0,""B/SEX"":0.0,""B/RAC1P"":0.0,""AB/SEX"":0.0,""AB/RAC1P"":0.0}",[],[],[],False,False,1e-12,False,complete numerical utility/recovery vector; no all-target or race-support certificate
0,F,0,0,F_I,F_I,person_weighted,expanded_independent,360,"{""income_binary"":0.0,""civilian_at_work"":0.0,""public_coverage"":0.0,""same_residence"":0.0,""commute_over20"":0.0}","{""A/public_coverage"":0.0,""A/commute_over20"":0.0,""A/SEX"":0.0,""A/RAC1P"":0.0,""B/income_binary"":0.0,""B/civilian_at_work"":0.0,""B/same_residence"":0.0,""B/SEX"":0.0,""B/RAC1P"":0.0,""AB/SEX"":0.0,""AB/RAC1P"":0.0}",[],[],[],False,False,1e-12,False,complete numerical utility/recovery vector; no all-target or race-support certificate
