metric,condition,role,view,target,audit_budget,scope,split,n_seeds,n_defined,complete,mean,sample_sd,observed_mean,observed_sample_sd,n_present,present_scores_defined,partial_seed_summary
log_loss,F_T,utility,A,income_binary,,utility,validation,3,3,True,0.29462068523214907,0.004996465894518944,0.29462068523214907,0.004996465894518944,3,True,False
log_loss,F_T,utility,A,income_binary,,utility,development_evaluation,3,3,True,0.2920226894365983,0.011284529681254053,0.2920226894365983,0.011284529681254053,3,True,False
log_loss,F_T,utility,A,income_binary,,utility,validation_person_weighted,3,3,True,0.29268472178990435,0.018322669994026576,0.29268472178990435,0.018322669994026576,3,True,False
log_loss,F_T,utility,A,income_binary,,utility,development_evaluation_person_weighted,3,3,True,0.30441382788518145,0.007914077345188206,0.30441382788518145,0.007914077345188206,3,True,False
log_loss,F_T,utility,A,civilian_at_work,,utility,validation,3,3,True,0.29229940815436994,0.007586194492563402,0.29229940815436994,0.007586194492563402,3,True,False
log_loss,F_T,utility,A,civilian_at_work,,utility,development_evaluation,3,3,True,0.2777952077290106,0.006981144828037026,0.2777952077290106,0.006981144828037026,3,True,False
log_loss,F_T,utility,A,civilian_at_work,,utility,validation_person_weighted,3,3,True,0.29184187588040766,0.0052019707154471245,0.29184187588040766,0.0052019707154471245,3,True,False
log_loss,F_T,utility,A,civilian_at_work,,utility,development_evaluation_person_weighted,3,3,True,0.26839835839838994,0.012528310310850681,0.26839835839838994,0.012528310310850681,3,True,False
log_loss,F_T,utility,B,public_coverage,,utility,validation,3,3,True,0.4894806870224717,0.005207360175205861,0.4894806870224717,0.005207360175205861,3,True,False
log_loss,F_T,utility,B,public_coverage,,utility,development_evaluation,3,3,True,0.5036892994498056,0.009752946756930921,0.5036892994498056,0.009752946756930921,3,True,False
log_loss,F_T,utility,B,public_coverage,,utility,validation_person_weighted,3,3,True,0.5032293118557033,0.005622727360872053,0.5032293118557033,0.005622727360872053,3,True,False
log_loss,F_T,utility,B,public_coverage,,utility,development_evaluation_person_weighted,3,3,True,0.5140792726537456,0.007627083812928075,0.5140792726537456,0.007627083812928075,3,True,False
log_loss,F_T,utility,A,same_residence,,utility,validation,3,3,True,0.5064245078932219,0.002877798996361326,0.5064245078932219,0.002877798996361326,3,True,False
log_loss,F_T,utility,A,same_residence,,utility,development_evaluation,3,3,True,0.49837466143920445,0.002407562070783946,0.49837466143920445,0.002407562070783946,3,True,False
