seed,condition,interface,arm,reused,training_record,training_record_sha256,forward_alias,unique_forward_counted_here,new_interface_forward_steps,new_unique_forward_steps,new_live_forward_parameter_transitions,new_guarded_parameter_transitions,new_disposable_candidate_adam_calculations,new_live_source_only_adam_step_calls,T_interface_forward_alias_not_a_second_transition,new_observer_steps,inherited_source_warmup_epochs,inherited_observer_warmup_passes,new_interface_source_epochs,new_unique_forward_epochs,new_observer_passes,source_exposure_per_row,observer_exposure_per_row,shared_T,source_valid_label_exposures,observer_valid_label_exposures
0,F_T,F,T,False,results/redesign_20260909_acs_source_guard_v1/seed_0/training/F_T/training.json,63bcd2fe4fc3d65dd5c59b4221cb300225b8be3904dd8e486b2e63e634afd5d1,seed_0/T_shared,True,3360,3360,3360,0,0,3360,False,10080,60,20,80,80,240,140,260,"{""forward_alias"":""seed_0/T_shared"",""unique_new_forward_continuations"":1,""interface_systems"":2,""same_pre_step_forward_for_both_observer_sets"":true,""isolated_interface_rng"":true,""new_forward_optimizer_steps"":3360,""initial_forward_state_sha256"":""55707383decea70ca6a67a6678abd0920e4a04834b0e93dab16491885aad8bee"",""final_forward_state_sha256"":""8faa441408c399878600f588cd03f4026a556fb14d05270c17c273ab9deceb85"",""source_only_no_float64_roundtrip"":true,""runtime_seconds"":36.3417932089651,""all_step_diagnostics"":{""path"":""/Users/nathansamson/PCRL/results/redesign_20260909_acs_source_guard_v1/seed_0/training/T_shared_step_diagnostics.jsonl.gz"",""sha256"":""eeefca281da8640094bd3dc6e97691b0e60d1c28c696be8839021d89c2f13e29"",""rows"":3360,""format"":""gzip JSONL; one actual shared source-only step per row""}}","{""income_binary"":1471820,""civilian_at_work"":1471820,""public_coverage"":1471820}","{""A__public_coverage"":2733380,""A__SEX"":2733380,""A__RAC1P"":2733380,""B__income_binary"":2733380,""B__civilian_at_work"":2733380,""B__SEX"":2733380,""B__RAC1P"":2733380,""AB__SEX"":2733380,""AB__RAC1P"":2733380}"
0,P_T,P,T,False,results/redesign_20260909_acs_source_guard_v1/seed_0/training/P_T/training.json,ca7fbc16d05d2cab3d57784057fb5e5427fb58736ec8609bfdbdda854e9e6a96,seed_0/T_shared,False,3360,0,0,0,0,0,True,10080,60,20,80,0,240,140,260,"{""forward_alias"":""seed_0/T_shared"",""unique_new_forward_continuations"":1,""interface_systems"":2,""same_pre_step_forward_for_both_observer_sets"":true,""isolated_interface_rng"":true,""new_forward_optimizer_steps"":3360,""initial_forward_state_sha256"":""55707383decea70ca6a67a6678abd0920e4a04834b0e93dab16491885aad8bee"",""final_forward_state_sha256"":""8faa441408c399878600f588cd03f4026a556fb14d05270c17c273ab9deceb85"",""source_only_no_float64_roundtrip"":true,""runtime_seconds"":36.3417932089651,""all_step_diagnostics"":{""path"":""/Users/nathansamson/PCRL/results/redesign_20260909_acs_source_guard_v1/seed_0/training/T_shared_step_diagnostics.jsonl.gz"",""sha256"":""eeefca281da8640094bd3dc6e97691b0e60d1c28c696be8839021d89c2f13e29"",""rows"":3360,""format"":""gzip JSONL; one actual shared source-only step per row""}}","{""income_binary"":1471820,""civilian_at_work"":1471820,""public_coverage"":1471820}","{""A__public_coverage"":2733380,""A__SEX"":2733380,""A__RAC1P"":2733380,""B__income_binary"":2733380,""B__civilian_at_work"":2733380,""B__SEX"":2733380,""B__RAC1P"":2733380,""AB__SEX"":2733380,""AB__RAC1P"":2733380}"
0,F_G_J,F,G_J,False,results/redesign_20260909_acs_source_guard_v1/seed_0/training/F_G_J/training.json,ea6e6afa54bdabfe084335718eefb75e8b7ca1299fdeffd102a06408ac5c4433,seed_0/F_G_J,True,3360,3360,3360,3360,6720,0,False,10080,60,20,80,80,240,140,260,,"{""income_binary"":1471820,""civilian_at_work"":1471820,""public_coverage"":1471820}","{""A__public_coverage"":2733380,""A__SEX"":2733380,""A__RAC1P"":2733380,""B__income_binary"":2733380,""B__civilian_at_work"":2733380,""B__SEX"":2733380,""B__RAC1P"":2733380,""AB__SEX"":2733380,""AB__RAC1P"":2733380}"
0,F_G_L025,F,G_L025,False,results/redesign_20260909_acs_source_guard_v1/seed_0/training/F_G_L025/training.json,b9854394d3e88ba13d69b944497866c6828fb80726928bcaaa6fa844fb817ea4,seed_0/F_G_L025,True,3360,3360,3360,3360,6720,0,False,10080,60,20,80,80,240,140,260,,"{""income_binary"":1471820,""civilian_at_work"":1471820,""public_coverage"":1471820}","{""A__public_coverage"":2733380,""A__SEX"":2733380,""A__RAC1P"":2733380,""B__income_binary"":2733380,""B__civilian_at_work"":2733380,""B__SEX"":2733380,""B__RAC1P"":2733380,""AB__SEX"":2733380,""AB__RAC1P"":2733380}"
0,F_G_L20,F,G_L20,False,results/redesign_20260909_acs_source_guard_v1/seed_0/training/F_G_L20/training.json,9722a4e872c913d98202daeedd70f4e2acc19a224d4e38e3d0f7af137dcd0cee,seed_0/F_G_L20,True,3360,3360,3360,3360,6720,0,False,10080,60,20,80,80,240,140,260,,"{""income_binary"":1471820,""civilian_at_work"":1471820,""public_coverage"":1471820}","{""A__public_coverage"":2733380,""A__SEX"":2733380,""A__RAC1P"":2733380,""B__income_binary"":2733380,""B__civilian_at_work"":2733380,""B__SEX"":2733380,""B__RAC1P"":2733380,""AB__SEX"":2733380,""AB__RAC1P"":2733380}"
0,P_G_J,P,G_J,False,results/redesign_20260909_acs_source_guard_v1/seed_0/training/P_G_J/training.json,6e9d106b92ccc2c183bba9ddfec9c4dbd4b54ab19d9ceb82916390a68079a387,seed_0/P_G_J,True,3360,3360,3360,3360,6720,0,False,10080,60,20,80,80,240,140,260,,"{""income_binary"":1471820,""civilian_at_work"":1471820,""public_coverage"":1471820}","{""A__public_coverage"":2733380,""A__SEX"":2733380,""A__RAC1P"":2733380,""B__income_binary"":2733380,""B__civilian_at_work"":2733380,""B__SEX"":2733380,""B__RAC1P"":2733380,""AB__SEX"":2733380,""AB__RAC1P"":2733380}"
0,P_G_L025,P,G_L025,False,results/redesign_20260909_acs_source_guard_v1/seed_0/training/P_G_L025/training.json,97c9aba4810c0904313c522cc0b74f87e95d0af01be3138bfec9efe091b3066a,seed_0/P_G_L025,True,3360,3360,3360,3360,6720,0,False,10080,60,20,80,80,240,140,260,,"{""income_binary"":1471820,""civilian_at_work"":1471820,""public_coverage"":1471820}","{""A__public_coverage"":2733380,""A__SEX"":2733380,""A__RAC1P"":2733380,""B__income_binary"":2733380,""B__civilian_at_work"":2733380,""B__SEX"":2733380,""B__RAC1P"":2733380,""AB__SEX"":2733380,""AB__RAC1P"":2733380}"
0,P_G_L20,P,G_L20,False,results/redesign_20260909_acs_source_guard_v1/seed_0/training/P_G_L20/training.json,6b34d22d27bd047c199962bb56803960c63f2659f8d7fe5ca26a35d0d1dc831b,seed_0/P_G_L20,True,3360,3360,3360,3360,6720,0,False,10080,60,20,80,80,240,140,260,,"{""income_binary"":1471820,""civilian_at_work"":1471820,""public_coverage"":1471820}","{""A__public_coverage"":2733380,""A__SEX"":2733380,""A__RAC1P"":2733380,""B__income_binary"":2733380,""B__civilian_at_work"":2733380,""B__SEX"":2733380,""B__RAC1P"":2733380,""AB__SEX"":2733380,""AB__RAC1P"":2733380}"
0,F_J_b0p1,F,U_J,True,results/redesign_20260908_acs_coalition_v1/seed_0/training/training.json,fb0428eae01495fddb2084f3158a3206cc66418a9980ad4695c11395d52ac6f1,historical/0/F_J_b0p1,False,0,0,0,0,0,0,False,0,60,20,0,0,0,140,260,,"{""income_binary"":1471820,""civilian_at_work"":1471820,""public_coverage"":1471820}","{""A__public_coverage"":2733380,""A__SEX"":2733380,""A__RAC1P"":2733380,""B__income_binary"":2733380,""B__civilian_at_work"":2733380,""B__SEX"":2733380,""B__RAC1P"":2733380,""AB__SEX"":2733380,""AB__RAC1P"":2733380}"
0,F_Iplus_b0p025,F,U_L025,True,results/redesign_20260909_acs_coalition_strength_v1/seed_0/training/F_Iplus_b0p025/training.json,578397f4700de11792e0da88b442d65000ddb9dfa344c7ea83c27ba35f72428c,historical/0/F_Iplus_b0p025,False,0,0,0,0,0,0,False,0,60,20,0,0,0,140,260,,"{""income_binary"":1471820,""civilian_at_work"":1471820,""public_coverage"":1471820}","{""A__public_coverage"":2733380,""A__SEX"":2733380,""A__RAC1P"":2733380,""B__income_binary"":2733380,""B__civilian_at_work"":2733380,""B__SEX"":2733380,""B__RAC1P"":2733380,""AB__SEX"":2733380,""AB__RAC1P"":2733380}"
