seed,condition,kind,endpoint,budget,scope,weight,candidate_id,candidate_path,value,pass,status,reason
0,H,utility,A/income_binary,,,unweighted,mlp,results/redesign_20260909_acs_fixed_predictions_v1/seed_0/H/fitted/utility/A/income_binary/mlp,,,unavailable,No unused eligible households; no new outcome scored
0,H,utility,A/income_binary,,,PWGTP,mlp,results/redesign_20260909_acs_fixed_predictions_v1/seed_0/H/fitted/utility/A/income_binary/mlp,,,unavailable,No unused eligible households; no new outcome scored
0,H,utility,A/civilian_at_work,,,unweighted,mlp,results/redesign_20260909_acs_fixed_predictions_v1/seed_0/H/fitted/utility/A/civilian_at_work/mlp,,,unavailable,No unused eligible households; no new outcome scored
0,H,utility,A/civilian_at_work,,,PWGTP,mlp,results/redesign_20260909_acs_fixed_predictions_v1/seed_0/H/fitted/utility/A/civilian_at_work/mlp,,,unavailable,No unused eligible households; no new outcome scored
0,H,utility,A/same_residence,,,unweighted,mlp,results/redesign_20260909_acs_fixed_predictions_v1/seed_0/H/fitted/utility/A/same_residence/mlp,,,unavailable,No unused eligible households; no new outcome scored
0,H,utility,A/same_residence,,,PWGTP,mlp,results/redesign_20260909_acs_fixed_predictions_v1/seed_0/H/fitted/utility/A/same_residence/mlp,,,unavailable,No unused eligible households; no new outcome scored
0,H,utility,B/public_coverage,,,unweighted,mlp,results/redesign_20260909_acs_fixed_predictions_v1/seed_0/H/fitted/utility/B/public_coverage/mlp,,,unavailable,No unused eligible households; no new outcome scored
0,H,utility,B/public_coverage,,,PWGTP,mlp,results/redesign_20260909_acs_fixed_predictions_v1/seed_0/H/fitted/utility/B/public_coverage/mlp,,,unavailable,No unused eligible households; no new outcome scored
0,H,utility,B/commute_over20,,,unweighted,logistic,results/redesign_20260909_acs_fixed_predictions_v1/seed_0/H/fitted/utility/B/commute_over20/logistic,,,unavailable,No unused eligible households; no new outcome scored
0,H,utility,B/commute_over20,,,PWGTP,logistic,results/redesign_20260909_acs_fixed_predictions_v1/seed_0/H/fitted/utility/B/commute_over20/logistic,,,unavailable,No unused eligible households; no new outcome scored
0,H,audit,A/public_coverage,120,standard_independent,unweighted,wire__mlp_1,results/redesign_20260909_acs_fixed_predictions_v1/seed_0/H/audits/fitted/wire/A/public_coverage/fresh/nested120/mlp_1,,,unavailable,No unused eligible households; no new outcome scored
