seed,condition,weight,task,native_loss,selected_readout_loss,fresh_PCA32_reference_loss,allowance,pass,reason
0,H,unweighted,income_binary,,,,0.01,,No unused eligible households; no new outcome scored
0,H,unweighted,civilian_at_work,,,,0.01,,No unused eligible households; no new outcome scored
0,H,unweighted,public_coverage,,,,0.01,,No unused eligible households; no new outcome scored
0,H,PWGTP,income_binary,,,,0.01,,No unused eligible households; no new outcome scored
0,H,PWGTP,civilian_at_work,,,,0.01,,No unused eligible households; no new outcome scored
0,H,PWGTP,public_coverage,,,,0.01,,No unused eligible households; no new outcome scored
0,E,unweighted,income_binary,,,,0.01,,No unused eligible households; no new outcome scored
0,E,unweighted,civilian_at_work,,,,0.01,,No unused eligible households; no new outcome scored
0,E,unweighted,public_coverage,,,,0.01,,No unused eligible households; no new outcome scored
0,E,PWGTP,income_binary,,,,0.01,,No unused eligible households; no new outcome scored
0,E,PWGTP,civilian_at_work,,,,0.01,,No unused eligible households; no new outcome scored
0,E,PWGTP,public_coverage,,,,0.01,,No unused eligible households; no new outcome scored
0,A0,unweighted,income_binary,,,,0.01,,No unused eligible households; no new outcome scored
0,A0,unweighted,civilian_at_work,,,,0.01,,No unused eligible households; no new outcome scored
0,A0,unweighted,public_coverage,,,,0.01,,No unused eligible households; no new outcome scored
0,A0,PWGTP,income_binary,,,,0.01,,No unused eligible households; no new outcome scored
0,A0,PWGTP,civilian_at_work,,,,0.01,,No unused eligible households; no new outcome scored
0,A0,PWGTP,public_coverage,,,,0.01,,No unused eligible households; no new outcome scored
0,L025,unweighted,income_binary,,,,0.01,,No unused eligible households; no new outcome scored
0,L025,unweighted,civilian_at_work,,,,0.01,,No unused eligible households; no new outcome scored
0,L025,unweighted,public_coverage,,,,0.01,,No unused eligible households; no new outcome scored
0,L025,PWGTP,income_binary,,,,0.01,,No unused eligible households; no new outcome scored
0,L025,PWGTP,civilian_at_work,,,,0.01,,No unused eligible households; no new outcome scored
0,L025,PWGTP,public_coverage,,,,0.01,,No unused eligible households; no new outcome scored
0,L20,unweighted,income_binary,,,,0.01,,No unused eligible households; no new outcome scored
0,L20,unweighted,civilian_at_work,,,,0.01,,No unused eligible households; no new outcome scored
0,L20,unweighted,public_coverage,,,,0.01,,No unused eligible households; no new outcome scored
0,L20,PWGTP,income_binary,,,,0.01,,No unused eligible households; no new outcome scored
0,L20,PWGTP,civilian_at_work,,,,0.01,,No unused eligible households; no new outcome scored
0,L20,PWGTP,public_coverage,,,,0.01,,No unused eligible households; no new outcome scored
0,J,unweighted,income_binary,,,,0.01,,No unused eligible households; no new outcome scored
0,J,unweighted,civilian_at_work,,,,0.01,,No unused eligible households; no new outcome scored
0,J,unweighted,public_coverage,,,,0.01,,No unused eligible households; no new outcome scored
0,J,PWGTP,income_binary,,,,0.01,,No unused eligible households; no new outcome scored
0,J,PWGTP,civilian_at_work,,,,0.01,,No unused eligible households; no new outcome scored
0,J,PWGTP,public_coverage,,,,0.01,,No unused eligible households; no new outcome scored
1,H,unweighted,income_binary,,,,0.01,,No unused eligible households; no new outcome scored
1,H,unweighted,civilian_at_work,,,,0.01,,No unused eligible households; no new outcome scored
1,H,unweighted,public_coverage,,,,0.01,,No unused eligible households; no new outcome scored
1,H,PWGTP,income_binary,,,,0.01,,No unused eligible households; no new outcome scored
1,H,PWGTP,civilian_at_work,,,,0.01,,No unused eligible households; no new outcome scored
1,H,PWGTP,public_coverage,,,,0.01,,No unused eligible households; no new outcome scored
1,E,unweighted,income_binary,,,,0.01,,No unused eligible households; no new outcome scored
1,E,unweighted,civilian_at_work,,,,0.01,,No unused eligible households; no new outcome scored
1,E,unweighted,public_coverage,,,,0.01,,No unused eligible households; no new outcome scored
1,E,PWGTP,income_binary,,,,0.01,,No unused eligible households; no new outcome scored
1,E,PWGTP,civilian_at_work,,,,0.01,,No unused eligible households; no new outcome scored
1,E,PWGTP,public_coverage,,,,0.01,,No unused eligible households; no new outcome scored
1,A0,unweighted,income_binary,,,,0.01,,No unused eligible households; no new outcome scored
1,A0,unweighted,civilian_at_work,,,,0.01,,No unused eligible households; no new outcome scored
1,A0,unweighted,public_coverage,,,,0.01,,No unused eligible households; no new outcome scored
1,A0,PWGTP,income_binary,,,,0.01,,No unused eligible households; no new outcome scored
1,A0,PWGTP,civilian_at_work,,,,0.01,,No unused eligible households; no new outcome scored
1,A0,PWGTP,public_coverage,,,,0.01,,No unused eligible households; no new outcome scored
1,L025,unweighted,income_binary,,,,0.01,,No unused eligible households; no new outcome scored
1,L025,unweighted,civilian_at_work,,,,0.01,,No unused eligible households; no new outcome scored
1,L025,unweighted,public_coverage,,,,0.01,,No unused eligible households; no new outcome scored
1,L025,PWGTP,income_binary,,,,0.01,,No unused eligible households; no new outcome scored
1,L025,PWGTP,civilian_at_work,,,,0.01,,No unused eligible households; no new outcome scored
1,L025,PWGTP,public_coverage,,,,0.01,,No unused eligible households; no new outcome scored
1,L20,unweighted,income_binary,,,,0.01,,No unused eligible households; no new outcome scored
1,L20,unweighted,civilian_at_work,,,,0.01,,No unused eligible households; no new outcome scored
1,L20,unweighted,public_coverage,,,,0.01,,No unused eligible households; no new outcome scored
1,L20,PWGTP,income_binary,,,,0.01,,No unused eligible households; no new outcome scored
1,L20,PWGTP,civilian_at_work,,,,0.01,,No unused eligible households; no new outcome scored
1,L20,PWGTP,public_coverage,,,,0.01,,No unused eligible households; no new outcome scored
1,J,unweighted,income_binary,,,,0.01,,No unused eligible households; no new outcome scored
1,J,unweighted,civilian_at_work,,,,0.01,,No unused eligible households; no new outcome scored
1,J,unweighted,public_coverage,,,,0.01,,No unused eligible households; no new outcome scored
1,J,PWGTP,income_binary,,,,0.01,,No unused eligible households; no new outcome scored
1,J,PWGTP,civilian_at_work,,,,0.01,,No unused eligible households; no new outcome scored
1,J,PWGTP,public_coverage,,,,0.01,,No unused eligible households; no new outcome scored
2,H,unweighted,income_binary,,,,0.01,,No unused eligible households; no new outcome scored
2,H,unweighted,civilian_at_work,,,,0.01,,No unused eligible households; no new outcome scored
2,H,unweighted,public_coverage,,,,0.01,,No unused eligible households; no new outcome scored
2,H,PWGTP,income_binary,,,,0.01,,No unused eligible households; no new outcome scored
2,H,PWGTP,civilian_at_work,,,,0.01,,No unused eligible households; no new outcome scored
2,H,PWGTP,public_coverage,,,,0.01,,No unused eligible households; no new outcome scored
2,E,unweighted,income_binary,,,,0.01,,No unused eligible households; no new outcome scored
2,E,unweighted,civilian_at_work,,,,0.01,,No unused eligible households; no new outcome scored
2,E,unweighted,public_coverage,,,,0.01,,No unused eligible households; no new outcome scored
2,E,PWGTP,income_binary,,,,0.01,,No unused eligible households; no new outcome scored
2,E,PWGTP,civilian_at_work,,,,0.01,,No unused eligible households; no new outcome scored
2,E,PWGTP,public_coverage,,,,0.01,,No unused eligible households; no new outcome scored
2,A0,unweighted,income_binary,,,,0.01,,No unused eligible households; no new outcome scored
2,A0,unweighted,civilian_at_work,,,,0.01,,No unused eligible households; no new outcome scored
2,A0,unweighted,public_coverage,,,,0.01,,No unused eligible households; no new outcome scored
2,A0,PWGTP,income_binary,,,,0.01,,No unused eligible households; no new outcome scored
2,A0,PWGTP,civilian_at_work,,,,0.01,,No unused eligible households; no new outcome scored
2,A0,PWGTP,public_coverage,,,,0.01,,No unused eligible households; no new outcome scored
2,L025,unweighted,income_binary,,,,0.01,,No unused eligible households; no new outcome scored
2,L025,unweighted,civilian_at_work,,,,0.01,,No unused eligible households; no new outcome scored
2,L025,unweighted,public_coverage,,,,0.01,,No unused eligible households; no new outcome scored
2,L025,PWGTP,income_binary,,,,0.01,,No unused eligible households; no new outcome scored
2,L025,PWGTP,civilian_at_work,,,,0.01,,No unused eligible households; no new outcome scored
2,L025,PWGTP,public_coverage,,,,0.01,,No unused eligible households; no new outcome scored
2,L20,unweighted,income_binary,,,,0.01,,No unused eligible households; no new outcome scored
2,L20,unweighted,civilian_at_work,,,,0.01,,No unused eligible households; no new outcome scored
2,L20,unweighted,public_coverage,,,,0.01,,No unused eligible households; no new outcome scored
2,L20,PWGTP,income_binary,,,,0.01,,No unused eligible households; no new outcome scored
2,L20,PWGTP,civilian_at_work,,,,0.01,,No unused eligible households; no new outcome scored
2,L20,PWGTP,public_coverage,,,,0.01,,No unused eligible households; no new outcome scored
2,J,unweighted,income_binary,,,,0.01,,No unused eligible households; no new outcome scored
2,J,unweighted,civilian_at_work,,,,0.01,,No unused eligible households; no new outcome scored
2,J,unweighted,public_coverage,,,,0.01,,No unused eligible households; no new outcome scored
2,J,PWGTP,income_binary,,,,0.01,,No unused eligible households; no new outcome scored
2,J,PWGTP,civilian_at_work,,,,0.01,,No unused eligible households; no new outcome scored
2,J,PWGTP,public_coverage,,,,0.01,,No unused eligible households; no new outcome scored
