seed,J,comparator,weight,budget,scope,panel,delta,attribute,both_source_feasible,utility_close,utility_directional,lower_recovery,qualifies_close,qualifies_directional,reason
0,J,L025,unweighted,120,standard_independent,source_only,0,SEX,,,,,,,No unused eligible households; no new outcome scored
0,J,L025,unweighted,120,standard_independent,source_only,0,RAC1P,,,,,,,No unused eligible households; no new outcome scored
0,J,L025,unweighted,120,standard_independent,source_only,0.0005,SEX,,,,,,,No unused eligible households; no new outcome scored
0,J,L025,unweighted,120,standard_independent,source_only,0.0005,RAC1P,,,,,,,No unused eligible households; no new outcome scored
0,J,L025,unweighted,120,standard_independent,source_only,0.001,SEX,,,,,,,No unused eligible households; no new outcome scored
0,J,L025,unweighted,120,standard_independent,source_only,0.001,RAC1P,,,,,,,No unused eligible households; no new outcome scored
0,J,L025,unweighted,120,standard_independent,source_only,0.002,SEX,,,,,,,No unused eligible households; no new outcome scored
0,J,L025,unweighted,120,standard_independent,source_only,0.002,RAC1P,,,,,,,No unused eligible households; no new outcome scored
0,J,L025,unweighted,120,standard_independent,residential_transfer,0,SEX,,,,,,,No unused eligible households; no new outcome scored
0,J,L025,unweighted,120,standard_independent,residential_transfer,0,RAC1P,,,,,,,No unused eligible households; no new outcome scored
0,J,L025,unweighted,120,standard_independent,residential_transfer,0.0005,SEX,,,,,,,No unused eligible households; no new outcome scored
0,J,L025,unweighted,120,standard_independent,residential_transfer,0.0005,RAC1P,,,,,,,No unused eligible households; no new outcome scored
0,J,L025,unweighted,120,standard_independent,residential_transfer,0.001,SEX,,,,,,,No unused eligible households; no new outcome scored
0,J,L025,unweighted,120,standard_independent,residential_transfer,0.001,RAC1P,,,,,,,No unused eligible households; no new outcome scored
0,J,L025,unweighted,120,standard_independent,residential_transfer,0.002,SEX,,,,,,,No unused eligible households; no new outcome scored
0,J,L025,unweighted,120,standard_independent,residential_transfer,0.002,RAC1P,,,,,,,No unused eligible households; no new outcome scored
0,J,L025,unweighted,120,standard_independent,source_commute,0,SEX,,,,,,,No unused eligible households; no new outcome scored
0,J,L025,unweighted,120,standard_independent,source_commute,0,RAC1P,,,,,,,No unused eligible households; no new outcome scored
0,J,L025,unweighted,120,standard_independent,source_commute,0.0005,SEX,,,,,,,No unused eligible households; no new outcome scored
0,J,L025,unweighted,120,standard_independent,source_commute,0.0005,RAC1P,,,,,,,No unused eligible households; no new outcome scored
0,J,L025,unweighted,120,standard_independent,source_commute,0.001,SEX,,,,,,,No unused eligible households; no new outcome scored
0,J,L025,unweighted,120,standard_independent,source_commute,0.001,RAC1P,,,,,,,No unused eligible households; no new outcome scored
0,J,L025,unweighted,120,standard_independent,source_commute,0.002,SEX,,,,,,,No unused eligible households; no new outcome scored
0,J,L025,unweighted,120,standard_independent,source_commute,0.002,RAC1P,,,,,,,No unused eligible households; no new outcome scored
0,J,L025,unweighted,120,standard_independent,full_authorized,0,SEX,,,,,,,No unused eligible households; no new outcome scored
0,J,L025,unweighted,120,standard_independent,full_authorized,0,RAC1P,,,,,,,No unused eligible households; no new outcome scored
0,J,L025,unweighted,120,standard_independent,full_authorized,0.0005,SEX,,,,,,,No unused eligible households; no new outcome scored
0,J,L025,unweighted,120,standard_independent,full_authorized,0.0005,RAC1P,,,,,,,No unused eligible households; no new outcome scored
0,J,L025,unweighted,120,standard_independent,full_authorized,0.001,SEX,,,,,,,No unused eligible households; no new outcome scored
0,J,L025,unweighted,120,standard_independent,full_authorized,0.001,RAC1P,,,,,,,No unused eligible households; no new outcome scored
0,J,L025,unweighted,120,standard_independent,full_authorized,0.002,SEX,,,,,,,No unused eligible households; no new outcome scored
0,J,L025,unweighted,120,standard_independent,full_authorized,0.002,RAC1P,,,,,,,No unused eligible households; no new outcome scored
0,J,L025,unweighted,120,expanded_independent,source_only,0,SEX,,,,,,,No unused eligible households; no new outcome scored
0,J,L025,unweighted,120,expanded_independent,source_only,0,RAC1P,,,,,,,No unused eligible households; no new outcome scored
0,J,L025,unweighted,120,expanded_independent,source_only,0.0005,SEX,,,,,,,No unused eligible households; no new outcome scored
0,J,L025,unweighted,120,expanded_independent,source_only,0.0005,RAC1P,,,,,,,No unused eligible households; no new outcome scored
0,J,L025,unweighted,120,expanded_independent,source_only,0.001,SEX,,,,,,,No unused eligible households; no new outcome scored
0,J,L025,unweighted,120,expanded_independent,source_only,0.001,RAC1P,,,,,,,No unused eligible households; no new outcome scored
0,J,L025,unweighted,120,expanded_independent,source_only,0.002,SEX,,,,,,,No unused eligible households; no new outcome scored
0,J,L025,unweighted,120,expanded_independent,source_only,0.002,RAC1P,,,,,,,No unused eligible households; no new outcome scored
0,J,L025,unweighted,120,expanded_independent,residential_transfer,0,SEX,,,,,,,No unused eligible households; no new outcome scored
0,J,L025,unweighted,120,expanded_independent,residential_transfer,0,RAC1P,,,,,,,No unused eligible households; no new outcome scored
0,J,L025,unweighted,120,expanded_independent,residential_transfer,0.0005,SEX,,,,,,,No unused eligible households; no new outcome scored
0,J,L025,unweighted,120,expanded_independent,residential_transfer,0.0005,RAC1P,,,,,,,No unused eligible households; no new outcome scored
0,J,L025,unweighted,120,expanded_independent,residential_transfer,0.001,SEX,,,,,,,No unused eligible households; no new outcome scored
0,J,L025,unweighted,120,expanded_independent,residential_transfer,0.001,RAC1P,,,,,,,No unused eligible households; no new outcome scored
0,J,L025,unweighted,120,expanded_independent,residential_transfer,0.002,SEX,,,,,,,No unused eligible households; no new outcome scored
0,J,L025,unweighted,120,expanded_independent,residential_transfer,0.002,RAC1P,,,,,,,No unused eligible households; no new outcome scored
0,J,L025,unweighted,120,expanded_independent,source_commute,0,SEX,,,,,,,No unused eligible households; no new outcome scored
0,J,L025,unweighted,120,expanded_independent,source_commute,0,RAC1P,,,,,,,No unused eligible households; no new outcome scored
0,J,L025,unweighted,120,expanded_independent,source_commute,0.0005,SEX,,,,,,,No unused eligible households; no new outcome scored
0,J,L025,unweighted,120,expanded_independent,source_commute,0.0005,RAC1P,,,,,,,No unused eligible households; no new outcome scored
0,J,L025,unweighted,120,expanded_independent,source_commute,0.001,SEX,,,,,,,No unused eligible households; no new outcome scored
0,J,L025,unweighted,120,expanded_independent,source_commute,0.001,RAC1P,,,,,,,No unused eligible households; no new outcome scored
0,J,L025,unweighted,120,expanded_independent,source_commute,0.002,SEX,,,,,,,No unused eligible households; no new outcome scored
0,J,L025,unweighted,120,expanded_independent,source_commute,0.002,RAC1P,,,,,,,No unused eligible households; no new outcome scored
0,J,L025,unweighted,120,expanded_independent,full_authorized,0,SEX,,,,,,,No unused eligible households; no new outcome scored
0,J,L025,unweighted,120,expanded_independent,full_authorized,0,RAC1P,,,,,,,No unused eligible households; no new outcome scored
