left,right,endpoint,weight,estimate,seed_0,seed_1,seed_2,se,unadjusted_low,unadjusted_high,degenerate,adjusted_low,adjusted_high,family,critical_value
spectral_C1,spectral_L1,utility/same_residence,unweighted,0.00028969938352940705,0.0005396927194342149,0.0004327645179673656,-0.00010335908681335937,0.0005017714339038175,-0.0006609013140398957,0.0012483315620835092,False,-0.001180543976660334,0.0017599427437191481,F1_primary,2.930105743069395
spectral_C1,spectral_L1,utility/same_residence,person_weighted,9.937663234934244e-05,-8.282054268382577e-05,-2.38315661149624e-06,0.0003833335963433493,0.0005637886286763266,-0.0010360075457856307,0.001182992947818714,False,-0.0015525836664123812,0.001751336931111066,F1_primary,2.930105743069395
spectral_C1,spectral_L1,recovery/A/SEX,unweighted,-0.0028239554465482575,-0.004643239172023025,-0.005542729900932991,0.0017141027333112437,0.00103230689950388,-0.00485535438677449,-0.0008783819870360321,False,-0.005848723821394737,0.000200812928298222,F1_primary,2.930105743069395
spectral_C1,spectral_L1,recovery/A/SEX,person_weighted,-0.004978946292307298,-0.004981496600540276,-0.010794010668547668,0.0008386683921660504,0.0012155819148143778,-0.007408173926689046,-0.002563468575561092,False,-0.008540729842076197,-0.001417162742538398,F1_primary,2.930105743069395
spectral_C1,spectral_L1,recovery/AB/SEX,unweighted,-0.005926134319687546,-0.004643239172023025,-0.009379590118572954,-0.0037555736684666587,0.0010990441464467076,-0.00807076745289429,-0.003778206680343255,False,-0.009146449885077844,-0.002705818754297249,F1_primary,2.930105743069395
spectral_C1,spectral_L1,recovery/AB/SEX,person_weighted,-0.006876572306322303,-0.004981496600540276,-0.014299949377286167,-0.0013482709411404663,0.0012440974121320485,-0.009292707798727312,-0.004478289814045084,False,-0.010521909278548191,-0.0032312353340964144,F1_primary,2.930105743069395
spectral_C1,spectral_L1,recovery/A/RAC1P,unweighted,-0.013694865243006626,-0.014472057241295064,-0.0129411793280002,-0.01367135915972461,0.001255043034855985,-0.01608120078330642,-0.011210022308946674,False,-0.01737227404723739,-0.010017456438775859,F1_primary,2.930105743069395
spectral_C1,spectral_L1,recovery/A/RAC1P,person_weighted,-0.01585687536591066,-0.013481526139924503,-0.016786288596268135,-0.01730281136153934,0.0015380980935345164,-0.018899104157176015,-0.01288427174545341,False,-0.020363665423180233,-0.011350085308641084,F1_primary,2.930105743069395
spectral_C1,spectral_L1,recovery/AB/RAC1P,unweighted,-0.007915242012695051,-0.00536602369497112,-0.010905665682951607,-0.007474036660162428,0.001070495142232037,-0.009993672003582558,-0.005736443934578635,False,-0.011051905976877031,-0.004778578048513071,F1_primary,2.930105743069395
spectral_C1,spectral_L1,recovery/AB/RAC1P,person_weighted,-0.007661967366520089,-0.005583330388216359,-0.00809784106666063,-0.009304730644683276,0.0012218829669083532,-0.010042919450972515,-0.005261417502621085,False,-0.011242213665216922,-0.004081721067823256,F1_primary,2.930105743069395
spectral_C1,spectral_L2,utility/same_residence,unweighted,0.0005912756752329088,0.001240244214063102,0.0009137335930372581,-0.0003801507814016336,0.00044950015270557976,-0.00028196669368320645,0.0014878233149128147,False,-0.0007258073037202797,0.0019083586541860974,F1_primary,2.930105743069395
spectral_C1,spectral_L2,utility/same_residence,person_weighted,0.0001739210123854843,0.0005589476588945264,0.0002240589605557175,-0.00026124358229379085,0.00052886253848305,-0.0008419794318702239,0.0011888307628420125,False,-0.00137570214891796,0.0017235441736889287,F1_primary,2.930105743069395
spectral_C1,spectral_L2,recovery/A/SEX,unweighted,-0.0025795412798358163,-0.0019821481617285815,-0.005079579756451191,-0.0006768959213276776,0.0010569129045089718,-0.0047012318716237135,-0.0005790040315567602,False,-0.005676407851261712,0.0005173252915900788,F1_primary,2.930105743069395
