mode,condition,weight,residence_gain_mean,residence_gain_min,half_headroom_pass_seeds,source_allowance_pass_seeds,residence_01_all_seeds_and_mean
A,A0,person_weighted,0.028067721299562403,0.01920929295593443,1,3,True
A,A0,unweighted,0.030585772951640222,0.0229955584368845,0,3,True
A,E,person_weighted,0.02402138117669152,0.020753143823859566,0,3,True
A,E,unweighted,0.027869400703409486,0.024975181499319432,0,3,True
A,H,person_weighted,0.0,0.0,0,3,False
A,H,unweighted,0.0,0.0,0,3,False
A,J,person_weighted,0.017699408660289278,0.014324569496858564,0,3,True
A,J,unweighted,0.020400947471806246,0.01681140006525872,0,3,True
A,L025,person_weighted,0.01716603501700172,0.01664405919820522,0,3,True
A,L025,unweighted,0.018925491341784045,0.01866195142833338,0,3,True
A,L20,person_weighted,0.016654871748235878,0.013676915947348434,0,3,True
A,L20,unweighted,0.019132971051941006,0.016624127615132767,0,3,True
A,spectral_C025,person_weighted,0.028309082527758083,0.024056420223024955,1,1,True
A,spectral_C025,unweighted,0.031131091325843203,0.028470867534972744,0,1,True
A,spectral_C1,person_weighted,0.02620501500229085,0.021799722038473857,0,0,True
A,spectral_C1,unweighted,0.028157190949755107,0.024180095449831795,0,0,True
A,spectral_L025,person_weighted,0.028657181932860782,0.024605693358077774,2,0,True
A,spectral_L025,unweighted,0.031619837656832996,0.028752245806254906,1,0,True
A,spectral_L1,person_weighted,0.026352215133798856,0.023059126732241808,0,0,True
A,spectral_L1,unweighted,0.029093152792246113,0.02674236485194914,0,0,True
A,spectral_L2,person_weighted,0.025817811475949026,0.02270695461383182,0,0,True
A,spectral_L2,unweighted,0.028296819131582957,0.02346360838434214,0,0,True
A,spectral_M025,person_weighted,0.027324699606381803,0.021120138676908595,1,1,True
A,spectral_M025,unweighted,0.02881389372298056,0.024232364396881034,1,1,True
A,spectral_M1,person_weighted,0.02995051547690325,0.02375317530523835,1,0,True
A,spectral_M1,unweighted,0.03323283706297131,0.02888701064984822,1,0,True
A,spectral_S0,person_weighted,0.029585918741056243,0.024564977180654424,2,0,True
A,spectral_S0,unweighted,0.03276160215639945,0.029029273707589565,2,0,True
B,A0,person_weighted,0.026578214166797304,0.020020419295692538,2,3,True
B,A0,unweighted,0.028880319860929277,0.022262556900268016,1,3,True
B,E,person_weighted,0.02193491234578628,0.01705497347744589,0,3,True
B,E,unweighted,0.02630639060007574,0.020895143976799035,0,3,True
B,H,person_weighted,0.0,0.0,0,3,False
B,H,unweighted,0.0,0.0,0,3,False
B,J,person_weighted,0.017115676366541283,0.011126996453417415,1,3,True
B,J,unweighted,0.018885336173653105,0.013386306892118505,0,3,True
B,L025,person_weighted,0.01596528754409876,0.012433670390460838,0,3,True
B,L025,unweighted,0.01746327115679865,0.014314919220738465,0,3,True
B,L20,person_weighted,0.0158289276624128,0.012456574296783374,0,3,True
B,L20,unweighted,0.018131418948463335,0.015612152903129894,0,3,True
B,spectral_C025,person_weighted,0.026419526250189673,0.024336050590489267,2,3,True
B,spectral_C025,unweighted,0.029498003263688826,0.02815920609017053,1,3,True
B,spectral_C1,person_weighted,0.025263259866576866,0.023629548314568483,1,3,True
B,spectral_C1,unweighted,0.028201474185656477,0.027519534431815762,1,3,True
B,spectral_L025,person_weighted,0.026196326934104192,0.023233471387744675,1,3,True
B,spectral_L025,unweighted,0.02986978984800977,0.027926579149710085,1,3,True
B,spectral_L1,person_weighted,0.025362636498925468,0.023627165157956154,1,3,True
B,spectral_L1,unweighted,0.028491173569185624,0.028059227151248423,1,3,True
B,spectral_L2,person_weighted,0.025437180878962445,0.0238536072751257,1,3,True
B,spectral_L2,unweighted,0.028792749860888273,0.0287393054977938,1,3,True
B,spectral_M025,person_weighted,0.026592605757757126,0.023956312542667002,1,3,True
B,spectral_M025,unweighted,0.029623650205631402,0.02784148588232338,1,3,True
B,spectral_M1,person_weighted,0.02672446884849422,0.02362140321186168,2,3,True
B,spectral_M1,unweighted,0.029802654918408684,0.02809056226607165,1,3,True
B,spectral_S0,person_weighted,0.026279044022177345,0.021549170597575107,1,3,True
B,spectral_S0,unweighted,0.030351373739612348,0.027000399212721127,1,3,True
