family,left,right,endpoint,weight,development_seed_mean,transport_estimate,status
F1_primary,spectral_C1,spectral_L1,utility/same_residence,unweighted,0.0023063056056596,0.00028969938352940705,consistent
F1_primary,spectral_C1,spectral_L1,utility/same_residence,person_weighted,0.0018486551991234665,9.937663234934244e-05,consistent
F1_primary,spectral_C1,spectral_L1,recovery/A/SEX,unweighted,-0.0015185483611322333,-0.0028239554465482575,consistent
F1_primary,spectral_C1,spectral_L1,recovery/A/SEX,person_weighted,-0.002038472904951467,-0.004978946292307298,consistent
F1_primary,spectral_C1,spectral_L1,recovery/AB/SEX,unweighted,-0.005149519287908067,-0.005926134319687546,consistent
F1_primary,spectral_C1,spectral_L1,recovery/AB/SEX,person_weighted,-0.006029618188310067,-0.006876572306322303,consistent
F1_primary,spectral_C1,spectral_L1,recovery/A/RAC1P,unweighted,-0.010658035141672366,-0.013694865243006626,consistent
F1_primary,spectral_C1,spectral_L1,recovery/A/RAC1P,person_weighted,-0.012032948288783133,-0.01585687536591066,consistent
F1_primary,spectral_C1,spectral_L1,recovery/AB/RAC1P,unweighted,-0.0142668569356243,-0.007915242012695051,consistent
F1_primary,spectral_C1,spectral_L1,recovery/AB/RAC1P,person_weighted,-0.015021786509925033,-0.007661967366520089,consistent
F1_primary,spectral_C1,spectral_L2,utility/same_residence,unweighted,0.0020568596355590757,0.0005912756752329088,consistent
F1_primary,spectral_C1,spectral_L2,utility/same_residence,person_weighted,0.0018097452570517,0.0001739210123854843,consistent
F1_primary,spectral_C1,spectral_L2,recovery/A/SEX,unweighted,-0.0006523449016776001,-0.0025795412798358163,consistent
F1_primary,spectral_C1,spectral_L2,recovery/A/SEX,person_weighted,-0.0014202637413465666,-0.003976163721524713,consistent
F1_primary,spectral_C1,spectral_L2,recovery/AB/SEX,unweighted,-0.00031852908854409996,-0.00471949989742541,consistent
F1_primary,spectral_C1,spectral_L2,recovery/AB/SEX,person_weighted,-0.000912747691946,-0.004747071057600402,consistent
F1_primary,spectral_C1,spectral_L2,recovery/A/RAC1P,unweighted,-0.0053085961424718005,-0.007409851146524515,consistent
F1_primary,spectral_C1,spectral_L2,recovery/A/RAC1P,person_weighted,-0.005534409675829933,-0.008995350122373662,consistent
F1_primary,spectral_C1,spectral_L2,recovery/AB/RAC1P,unweighted,-0.0005733455774876001,-0.003024518148549403,consistent
F1_primary,spectral_C1,spectral_L2,recovery/AB/RAC1P,person_weighted,-0.0004233782159733333,-0.0036637789798546717,consistent
F2_neural_replication,J,L025,utility/same_residence,unweighted,-0.0034301799376865332,-0.001422065016854379,consistent
F2_neural_replication,J,L025,utility/same_residence,person_weighted,-0.0030943548508973,-0.0011503888224421537,consistent
F2_neural_replication,J,L025,recovery/A/SEX,unweighted,-0.0047670484943005,-0.0019012822322902862,consistent
F2_neural_replication,J,L025,recovery/A/SEX,person_weighted,-0.0056348644055028005,-0.0027526229655917374,consistent
F2_neural_replication,J,L025,recovery/AB/SEX,unweighted,0.0009446634967333333,-0.004288332098357462,unresolved
F2_neural_replication,J,L025,recovery/AB/SEX,person_weighted,-0.0003544180347331333,-0.002959770239194615,consistent
