mode,scope,budget,weight,negative,total
A,expanded_catchup,120,person_weighted,21,429
A,expanded_catchup,120,unweighted,20,429
A,expanded_catchup,360,person_weighted,21,429
A,expanded_catchup,360,unweighted,20,429
A,expanded_independent,120,person_weighted,26,429
A,expanded_independent,120,unweighted,19,429
A,expanded_independent,360,person_weighted,25,429
A,expanded_independent,360,unweighted,19,429
A,kernel_expanded_catchup,120,person_weighted,17,429
A,kernel_expanded_catchup,120,unweighted,18,429
A,kernel_expanded_catchup,360,person_weighted,17,429
A,kernel_expanded_catchup,360,unweighted,18,429
A,kernel_expanded_independent,120,person_weighted,24,429
A,kernel_expanded_independent,120,unweighted,20,429
A,kernel_expanded_independent,360,person_weighted,23,429
A,kernel_expanded_independent,360,unweighted,20,429
A,kernel_standard_independent,120,person_weighted,22,429
A,kernel_standard_independent,120,unweighted,17,429
A,kernel_standard_independent,360,person_weighted,22,429
A,kernel_standard_independent,360,unweighted,17,429
A,standard_independent,120,person_weighted,24,429
A,standard_independent,120,unweighted,16,429
A,standard_independent,360,person_weighted,24,429
A,standard_independent,360,unweighted,16,429
B,common_fresh,120,person_weighted,23,429
B,common_fresh,120,unweighted,26,429
B,common_fresh,360,person_weighted,23,429
B,common_fresh,360,unweighted,26,429
B,fresh_catchup,120,person_weighted,17,429
B,fresh_catchup,120,unweighted,23,429
B,fresh_catchup,360,person_weighted,18,429
B,fresh_catchup,360,unweighted,23,429
B,fresh_expanded,120,person_weighted,23,429
B,fresh_expanded,120,unweighted,26,429
B,fresh_expanded,360,person_weighted,23,429
B,fresh_expanded,360,unweighted,26,429
B,transport_all,120,person_weighted,18,429
B,transport_all,120,unweighted,22,429
B,transport_all,360,person_weighted,19,429
B,transport_all,360,unweighted,22,429
