mode,scope,seed,condition,endpoint,weight,selected_minus_routed_H_selected
B,transport_all,0,E,A/SEX,unweighted,-0.01324010219736349
B,transport_all,0,E,A/SEX,person_weighted,-0.013998050537085693
B,transport_all,0,E,A/RAC1P,unweighted,-0.0569100446161237
B,transport_all,0,E,A/RAC1P,person_weighted,-0.053665063170343696
B,transport_all,0,E,AB/SEX,unweighted,-0.016529591154502365
B,transport_all,0,E,AB/SEX,person_weighted,-0.014449423903244552
B,transport_all,0,E,AB/RAC1P,unweighted,-0.04462943382763984
B,transport_all,0,E,AB/RAC1P,person_weighted,-0.040740519987282564
B,transport_all,0,A0,A/SEX,unweighted,-0.025528132941256443
B,transport_all,0,A0,A/SEX,person_weighted,-0.0244923759204404
B,transport_all,0,A0,A/RAC1P,unweighted,-0.06971650180437883
B,transport_all,0,A0,A/RAC1P,person_weighted,-0.06511226388715796
B,transport_all,0,A0,AB/SEX,unweighted,-0.02564480342798703
B,transport_all,0,A0,AB/SEX,person_weighted,-0.02448353598954367
B,transport_all,0,A0,AB/RAC1P,unweighted,-0.04993041728086456
B,transport_all,0,A0,AB/RAC1P,person_weighted,-0.0464389780959491
B,transport_all,0,L025,A/SEX,unweighted,0.0014995886077457943
B,transport_all,0,L025,A/SEX,person_weighted,0.003633569638276324
B,transport_all,0,L025,A/RAC1P,unweighted,-0.006487205438947985
B,transport_all,0,L025,A/RAC1P,person_weighted,-0.004201938306200637
B,transport_all,0,L025,AB/SEX,unweighted,-0.006516549914067915
B,transport_all,0,L025,AB/SEX,person_weighted,-0.003762331716882339
B,transport_all,0,L025,AB/RAC1P,unweighted,-0.008326843863057931
B,transport_all,0,L025,AB/RAC1P,person_weighted,-0.007432469586029722
B,transport_all,0,L20,A/SEX,unweighted,0.002813994918058893
B,transport_all,0,L20,A/SEX,person_weighted,0.003462767085505858
B,transport_all,0,L20,A/RAC1P,unweighted,-0.010951665512928477
B,transport_all,0,L20,A/RAC1P,person_weighted,-0.011790920055160914
B,transport_all,0,L20,AB/SEX,unweighted,-0.005896471579481366
