mode,scope,spectral_arm,withholding_source,p,withholding_dominates_count,spectral_dominates_count,comparisons,withholding_dominates_all
A,kernel_expanded_catchup,spectral_S0,E,0.0,0,0,6,False
A,kernel_expanded_catchup,spectral_S0,E,0.25,0,0,6,False
A,kernel_expanded_catchup,spectral_S0,E,0.5,0,0,6,False
A,kernel_expanded_catchup,spectral_S0,E,0.75,0,0,6,False
A,kernel_expanded_catchup,spectral_S0,E,1.0,0,0,6,False
A,kernel_expanded_catchup,spectral_S0,A0,0.0,0,0,6,False
A,kernel_expanded_catchup,spectral_S0,A0,0.25,0,0,6,False
A,kernel_expanded_catchup,spectral_S0,A0,0.5,0,0,6,False
A,kernel_expanded_catchup,spectral_S0,A0,0.75,0,0,6,False
A,kernel_expanded_catchup,spectral_S0,A0,1.0,0,0,6,False
A,kernel_expanded_catchup,spectral_S0,L025,0.0,0,0,6,False
A,kernel_expanded_catchup,spectral_S0,L025,0.25,0,0,6,False
A,kernel_expanded_catchup,spectral_S0,L025,0.5,0,0,6,False
A,kernel_expanded_catchup,spectral_S0,L025,0.75,0,0,6,False
A,kernel_expanded_catchup,spectral_S0,L025,1.0,0,0,6,False
A,kernel_expanded_catchup,spectral_S0,L20,0.0,0,0,6,False
A,kernel_expanded_catchup,spectral_S0,L20,0.25,0,0,6,False
A,kernel_expanded_catchup,spectral_S0,L20,0.5,0,0,6,False
A,kernel_expanded_catchup,spectral_S0,L20,0.75,0,0,6,False
A,kernel_expanded_catchup,spectral_S0,L20,1.0,0,0,6,False
A,kernel_expanded_catchup,spectral_S0,J,0.0,0,0,6,False
A,kernel_expanded_catchup,spectral_S0,J,0.25,0,0,6,False
A,kernel_expanded_catchup,spectral_S0,J,0.5,0,0,6,False
A,kernel_expanded_catchup,spectral_S0,J,0.75,0,0,6,False
A,kernel_expanded_catchup,spectral_S0,J,1.0,0,0,6,False
A,kernel_expanded_catchup,spectral_S0,spectral_S0,0.0,0,0,6,False
A,kernel_expanded_catchup,spectral_S0,spectral_S0,0.25,0,0,6,False
A,kernel_expanded_catchup,spectral_S0,spectral_S0,0.5,0,0,6,False
A,kernel_expanded_catchup,spectral_S0,spectral_S0,0.75,0,0,6,False
A,kernel_expanded_catchup,spectral_S0,spectral_S0,1.0,0,0,6,False
A,kernel_expanded_catchup,spectral_M025,E,0.0,0,0,6,False
A,kernel_expanded_catchup,spectral_M025,E,0.25,0,0,6,False
A,kernel_expanded_catchup,spectral_M025,E,0.5,0,0,6,False
A,kernel_expanded_catchup,spectral_M025,E,0.75,0,0,6,False
A,kernel_expanded_catchup,spectral_M025,E,1.0,0,0,6,False
A,kernel_expanded_catchup,spectral_M025,A0,0.0,0,0,6,False
A,kernel_expanded_catchup,spectral_M025,A0,0.25,0,0,6,False
A,kernel_expanded_catchup,spectral_M025,A0,0.5,0,0,6,False
A,kernel_expanded_catchup,spectral_M025,A0,0.75,0,0,6,False
A,kernel_expanded_catchup,spectral_M025,A0,1.0,0,0,6,False
A,kernel_expanded_catchup,spectral_M025,L025,0.0,0,0,6,False
A,kernel_expanded_catchup,spectral_M025,L025,0.25,0,0,6,False
A,kernel_expanded_catchup,spectral_M025,L025,0.5,0,0,6,False
A,kernel_expanded_catchup,spectral_M025,L025,0.75,0,0,6,False
A,kernel_expanded_catchup,spectral_M025,L025,1.0,0,0,6,False
A,kernel_expanded_catchup,spectral_M025,L20,0.0,0,0,6,False
A,kernel_expanded_catchup,spectral_M025,L20,0.25,0,0,6,False
A,kernel_expanded_catchup,spectral_M025,L20,0.5,0,0,6,False
A,kernel_expanded_catchup,spectral_M025,L20,0.75,0,0,6,False
