dataset,purpose,attribute,task,n_groups_total,n_groups_present,m_classes,B,Delta_DP,F,sum_Err,slack,normalized_slack,F_theory,theory_slack
adult,income_prediction,race,income,5,5,2,0.309664,0.026908,0.202031,0.957674,0.755643,0.151129,-0.584764,1.542437
adult,income_prediction,sex,income,2,2,2,0.196374,0.033764,0.162610,0.392628,0.230019,0.115009,-0.027233,0.419861
adult,employment_analysis,race,occupation_group,5,5,4,0.393584,0.206598,-0.432806,0.118501,0.551307,0.110261,N/A,N/A
adult,employment_analysis,age_group,occupation_group,4,4,4,0.378610,0.252241,-0.378112,0.038767,0.416878,0.104220,N/A,N/A
adult,employment_analysis,marital_status,occupation_group,5,2,4,0.113118,0.112185,0.000933,0.016732,0.015799,0.007899,N/A,N/A
adult,education_assessment,sex,education_level,2,2,5,0.057618,0.057618,0.000000,0.000296,0.000296,0.000148,N/A,N/A
adult,education_assessment,race,education_level,5,5,5,0.637767,0.338054,-0.714450,0.011356,0.725807,0.145161,N/A,N/A
adult,education_assessment,income,education_level,2,2,5,0.319695,0.319695,0.000000,0.000264,0.000264,0.000132,N/A,N/A
hmda,underwriting,race,loan_decision,5,5,2,0.146384,0.068685,-0.128356,0.490992,0.619348,0.123870,-0.748043,1.239035
hmda,underwriting,ethnicity,loan_decision,2,2,2,0.024606,0.001447,0.023159,0.194739,0.171580,0.085790,-0.199001,0.393740
hmda,pricing_analysis,race,loan_amount_band,5,5,4,0.342013,0.500000,-1.657987,3.812674,5.470661,1.094132,N/A,N/A
hmda,pricing_analysis,sex,loan_amount_band,2,2,4,0.065993,0.500000,-0.434007,1.480251,1.914258,0.957129,N/A,N/A
hmda,fair_lending_audit,race,tract_denial_high,5,5,2,0.127384,0.000000,0.127384,1.759559,1.632175,0.326435,-0.767043,2.526602
hmda,fair_lending_audit,sex,tract_denial_high,2,2,2,0.011423,0.000000,0.011423,0.734346,0.722923,0.361462,-0.212184,0.946530
diabetes,billing_audit,race,primary_diagnosis_category,5,5,9,0.274549,0.012346,0.225166,4.072474,3.847308,0.769462,N/A,N/A
diabetes,billing_audit,gender,primary_diagnosis_category,2,2,9,0.088932,0.001567,0.087365,1.662614,1.575249,0.787625,N/A,N/A
diabetes,quality_research,race,readmission_outcome,5,5,2,0.073310,0.000000,0.073310,0.381987,0.308677,0.061735,-0.821117,1.203104
diabetes,quality_research,age_bucket,readmission_outcome,10,10,2,0.218477,0.000000,0.218477,0.671336,0.452859,0.045286,-1.793985,2.465320
diabetes,clinical_decision_support,race,medication_change_outcome,5,5,2,0.135317,0.087239,-0.213640,0.000744,0.214384,0.042877,-0.759110,0.759855
diabetes,clinical_decision_support,gender,medication_change_outcome,2,2,2,0.032684,0.032631,0.000052,0.001150,0.001098,0.000549,-0.190923,0.192073
