dataset,method,n_seeds,best_emp_acc_mean,best_emp_acc_std,delta_age_group_mean,delta_age_group_std,delta_income_mean,delta_income_std,delta_marital_status_mean,delta_marital_status_std,delta_race_mean,delta_race_std,delta_sex_mean,delta_sex_std,education_level_acc_mean,education_level_acc_std,income_acc_mean,income_acc_std,occupation_group_acc_mean,occupation_group_acc_std,pass_count_mean,pass_count_std,total_pairs_mean,total_pairs_std,activity_acc_mean,activity_acc_std,delta_activity_mean,delta_activity_std,delta_subject_id_mean,delta_subject_id_std,is_active_acc_mean,is_active_acc_std
adult,INLP,3,0.8883,0.0053,0.2192,0.0113,0.0723,0.0066,0.3986,0.0134,0.027,0.0053,0.2123,0.0143,0.3282,0.0,0.7543,0.0,0.2808,0.0,1.6667,0.9428,8.0,0.0,,,,,,,,
adult,LAFTR,3,0.8639,0.0002,0.0079,0.0013,0.0244,0.0004,0.0289,0.0009,0.0026,0.0002,0.005,0.0003,0.335,0.0048,0.7564,0.0011,0.2854,0.0008,6.0,0.0,8.0,0.0,,,,,,,,
adult,LEACE,3,0.9136,0.0041,0.2929,0.0038,0.0988,0.0004,0.4497,0.0008,0.0534,0.0053,0.2693,0.0037,1.0,0.0,0.848,0.0006,0.9998,0.0,0.0,0.0,8.0,0.0,,,,,,,,
adult,PCRL,3,0.8636,0.0006,0.0052,0.0011,0.0264,0.0015,0.0285,0.0023,0.0031,0.0005,0.0032,0.0017,0.325,0.0192,0.7628,0.0025,0.2841,0.0008,6.0,0.0,8.0,0.0,,,,,,,,
adult,Standard,3,0.9166,0.0048,0.2951,0.0025,0.0987,0.0005,0.4503,0.0005,0.0559,0.0049,0.2689,0.0044,1.0,0.0,0.8504,0.0009,1.0,0.0,0.0,0.0,8.0,0.0,,,,,,,,
har,INLP,3,0.2984,0.0064,,,,,,,,,,,,,,,,,0.3333,0.4714,3.0,0.0,0.9879,0.0012,0.2168,0.0626,0.2565,0.0064,0.5778,0.0194
har,LAFTR,3,0.1687,0.0109,,,,,,,,,,,,,,,,,0.0,0.0,3.0,0.0,0.3875,0.0348,0.5705,0.0418,0.1272,0.0111,1.0,0.0
har,LEACE,3,0.0421,0.0,,,,,,,,,,,,,,,,,3.0,0.0,3.0,0.0,0.1922,0.0,0.0026,0.0,0.0001,0.0,0.5502,0.0
har,PCRL,3,0.1896,0.0056,,,,,,,,,,,,,,,,,0.0,0.0,3.0,0.0,0.9556,0.0176,0.7055,0.0052,0.1488,0.0044,0.6175,0.0822
har,Standard,3,0.2984,0.0064,,,,,,,,,,,,,,,,,0.0,0.0,3.0,0.0,0.9877,0.0014,0.7985,0.0015,0.2565,0.0064,1.0,0.0
