lambda_adv,lambda_verify,auditor_steps,train_time_s,task_acc_task_A,train_aud_task_A_z_1,r2_task_A_z_1,emp_best_task_A_z_1,certified_task_A_z_1,train_aud_task_A_z_2,r2_task_A_z_2,emp_best_task_A_z_2,certified_task_A_z_2,task_acc_task_B,train_aud_task_B_z_1,r2_task_B_z_1,emp_best_task_B_z_1,certified_task_B_z_1
1,0,5,187.3,0.767,0.56,0.3475,0.707,False,0.533,0.3335,0.716,False,0.918,0.56,0.366,0.746,False
1,0,10,315.7,0.878,0.5585,0.3031,0.71,False,0.561,0.2929,0.722,False,0.92,0.5585,0.3223,0.727,False
1,1,5,183.6,0.898,0.5595,0.136,0.599,False,0.544,0.1822,0.654,False,0.911,0.5595,0.1531,0.627,False
1,1,10,334.0,0.879,0.5515,0.1268,0.608,False,0.552,0.162,0.608,False,0.911,0.5515,0.1256,0.586,False
1,5,5,214.0,0.869,0.515,0.0955,0.563,False,0.524,0.1034,0.577,False,0.89,0.515,0.0782,0.514,False
1,5,10,353.7,0.891,0.5185,0.0745,0.544,False,0.501,0.0946,0.541,False,0.919,0.5185,0.1035,0.52,False
5,0,5,426.5,0.775,0.535,0.2389,0.638,False,0.491,0.2311,0.656,False,0.919,0.535,0.2879,0.701,False
5,0,10,372.8,0.764,0.5485,0.2727,0.667,False,0.496,0.215,0.626,False,0.913,0.5485,0.2389,0.695,False
5,1,5,219.0,0.903,0.546,0.1072,0.58,False,0.516,0.1456,0.573,False,0.911,0.546,0.1462,0.572,False
5,1,10,397.0,0.883,0.527,0.1554,0.613,False,0.517,0.1351,0.597,False,0.914,0.527,0.1526,0.625,False
5,5,5,219.3,0.848,0.4845,0.1076,0.551,False,0.547,0.1274,0.584,False,0.912,0.4845,0.074,0.52,False
5,5,10,357.6,0.865,0.501,0.0769,0.542,False,0.526,0.1096,0.586,False,0.882,0.501,0.1019,0.526,False
10,0,5,202.4,0.83,0.5265,0.2717,0.66,False,0.516,0.1892,0.631,False,0.922,0.5265,0.1891,0.632,False
10,0,10,351.8,0.875,0.52,0.2228,0.651,False,0.52,0.2781,0.709,False,0.909,0.52,0.253,0.664,False
10,1,5,210.0,0.883,0.525,0.121,0.579,False,0.502,0.1388,0.618,False,0.914,0.525,0.1327,0.603,False
10,1,10,363.0,0.869,0.5195,0.1372,0.607,False,0.52,0.1611,0.619,False,0.92,0.5195,0.1421,0.629,False
10,5,5,219.0,0.868,0.507,0.0796,0.517,False,0.529,0.0835,0.528,False,0.922,0.507,0.1006,0.56,False
10,5,10,362.0,0.859,0.5155,0.0824,0.527,False,0.52,0.1072,0.563,False,0.916,0.5155,0.0774,0.546,False
20,0,5,212.7,0.715,0.5465,0.1747,0.6,False,0.561,0.2479,0.653,False,0.915,0.5465,0.2463,0.669,False
20,0,10,1365.3,0.85,0.5755,0.2369,0.666,False,0.503,0.2573,0.657,False,0.913,0.5755,0.2354,0.658,False
20,1,5,211.0,0.824,0.5325,0.1175,0.586,False,0.524,0.1423,0.612,False,0.919,0.5325,0.1697,0.621,False
20,1,10,342.3,0.882,0.513,0.1117,0.572,False,0.547,0.1324,0.604,False,0.903,0.513,0.1118,0.545,False
20,5,5,200.1,0.861,0.5105,0.0753,0.546,False,0.521,0.0995,0.565,False,0.906,0.5105,0.0745,0.55,False
20,5,10,1918.3,0.788,0.5055,0.0815,0.541,False,0.523,0.1228,0.572,False,0.898,0.5055,0.1214,0.511,False
