epoch,race_s2_r2,race_s2_lambda,sex_s2_r2,sex_s2_lambda,age_s0_r2,age_s0_lambda
0,0.763917,,0.949394,,0.569062,
1,0.761564,,0.953408,,0.550261,
2,0.745800,,0.954651,,0.546671,
3,0.748671,,0.954945,,0.544810,
4,0.748854,,0.956088,,0.544097,
5,0.523139,,0.632948,,0.469610,
6,0.471182,,0.475119,,0.421478,
7,0.495243,,0.449714,,0.389941,
8,0.481972,,0.465925,,0.382734,
9,0.545786,,0.500625,,0.361126,
10,0.497998,,0.428922,,0.371449,
11,0.531471,,0.476931,,0.347876,
12,0.448132,,0.466220,,0.338973,
13,0.482620,,0.486628,,0.337923,
14,0.448021,,0.492447,,0.343899,
15,0.436122,,0.499509,,0.340369,
16,0.390991,,0.451657,,0.333919,
17,0.449875,,0.531962,,0.323043,
18,0.355061,,0.466065,,0.323806,
19,0.378834,,0.496625,,0.332828,
20,0.362087,,0.522250,,0.322352,
21,0.336527,,0.503512,,0.330379,
22,0.332871,,0.500504,,0.319700,
23,0.318940,,0.515491,,0.325282,
24,0.284800,,0.523515,,0.315909,
25,0.283938,,0.504968,,0.310626,
26,0.253608,,0.487009,,0.327451,
27,0.250769,,0.532854,,0.324637,
28,0.241337,,0.487800,,0.303448,
29,0.195358,,0.457264,,0.311329,
30,0.186303,,0.426851,,0.318514,
31,0.180491,,0.424951,,0.314425,
32,0.171580,,0.408398,,0.316047,
33,0.151313,,0.405232,,0.317188,
34,0.142098,,0.370394,,0.311374,
35,0.119510,,0.341302,,0.300478,
36,0.107791,,0.323297,,0.311822,
37,0.096880,,0.301947,,0.316659,
38,0.081688,,0.256108,,0.316572,
39,0.077592,,0.273442,,0.312506,
40,0.070081,,0.237748,,0.313062,
41,0.063843,,0.206410,,0.316118,
42,0.056806,,0.196025,,0.316411,
43,0.055879,,0.188854,,0.301938,
44,0.046377,,0.149781,,0.306494,
45,0.056073,,0.065980,,0.300561,
46,0.028324,,0.050706,,0.302789,
47,0.008521,,0.023440,,0.296173,
48,0.016404,,0.024507,,0.288303,
49,0.011139,,0.056010,,0.294497,
50,0.016626,,0.016749,,0.291462,
51,0.008079,,0.047769,,0.292826,
52,0.007351,,0.036651,,0.286091,
53,0.030945,,0.028382,,0.284089,
54,0.012210,,0.012716,,0.287163,
55,0.010514,,0.013886,,0.282657,
56,0.006794,,0.028230,,0.274764,
57,0.008289,,0.018720,,0.286977,
58,0.007342,,0.018362,,0.278313,
59,0.024961,,0.019671,,0.283724,
60,0.024996,,0.020207,,0.284145,
61,0.009627,,0.052306,,0.278293,
62,0.011527,,0.014447,,0.279824,
63,0.013897,,0.081524,,0.288256,
64,0.007759,,0.037310,,0.277349,
65,0.042464,,0.033647,,0.281226,
66,0.009486,,0.019973,,0.276961,
67,0.012058,,0.020832,,0.288533,
68,0.089988,,0.070508,,0.281186,
69,0.014645,,0.014695,,0.284067,
70,0.018724,,0.015872,,0.265118,
71,0.008857,,0.057121,,0.268889,
72,0.013004,,0.080345,,0.267882,
73,0.050391,,0.034971,,0.277019,
74,0.050819,,0.042130,,0.277096,
75,0.010803,,0.018458,,0.279786,
76,0.007047,,0.025336,,0.285350,
77,0.058049,,0.052690,,0.280106,
78,0.034723,,0.022237,,0.273946,
79,0.016845,,0.012956,,0.276770,
80,0.006660,,0.029131,,0.281016,
81,0.010021,,0.046792,,0.269022,
82,0.013751,,0.014575,,0.273746,
83,0.010234,,0.045149,,0.273483,
84,0.017351,,0.012827,,0.286434,
85,0.022400,,0.014851,,0.285516,
